# tADMM live log — ieee123C_1ph T=96, ρ_init=4500.0, adaptive=false
# k, objective, r_norm, s_norm, rho, sp_max, sp_med, elapsed_s, event
1,1322.331049,1.2801614130e-03,4.1469095451e-01,4500.00,6.1780,4.7235,41.31,
2,1322.331018,1.2775165508e-03,4.8431324978e-01,4500.00,3.8100,2.1490,57.77,
3,1322.331034,1.2736288894e-03,5.5847604726e-01,4500.00,3.2230,2.1685,72.40,
4,1322.331051,1.2697753811e-03,6.2192372479e-01,4500.00,2.6280,1.5110,83.68,
5,1322.331051,1.2663940273e-03,6.7944725319e-01,4500.00,2.2670,1.4490,93.85,
6,1322.331097,1.2631934430e-03,7.3440264917e-01,4500.00,2.2550,1.3670,103.53,
7,1322.331082,1.2600510039e-03,7.8722029572e-01,4500.00,2.2440,1.3805,113.28,
8,1322.331142,1.2569330045e-03,8.3774959960e-01,4500.00,5.7930,1.9355,127.46,
9,1322.331257,1.2538453748e-03,8.8598336764e-01,4500.00,11.1990,2.4815,149.06,
10,1322.331352,1.2507795171e-03,9.3209182898e-01,4500.00,6.1590,2.2780,164.87,
11,1327.545908,1.2400131219e-03,9.7670226031e-01,4500.00,5.1860,1.5515,176.69,
12,1359.882682,1.2094096631e-03,1.0219917794e+00,4500.00,4.9100,1.7700,191.16,
13,1397.393215,1.1731834498e-03,1.0679930297e+00,4500.00,5.3340,1.5210,205.11,
14,1437.912093,1.1422681050e-03,9.5168828311e-01,4500.00,6.6480,1.9785,220.78,
15,1481.036254,1.1069600660e-03,9.3777001101e-01,4500.00,6.5520,1.8450,235.26,
16,1524.736157,1.0783755893e-03,9.3175102052e-01,4500.00,4.9160,1.7180,248.75,
17,1556.763870,1.0582076539e-03,9.2295500413e-01,4500.00,4.2870,1.4565,261.12,
18,1597.692104,1.0307641014e-03,9.1002494564e-01,4500.00,5.1000,1.5720,274.70,
19,1641.464956,1.0049044893e-03,8.8477561172e-01,4500.00,5.3080,1.7390,288.35,
20,1680.534810,9.8299488189e-04,8.5467141873e-01,4500.00,4.9680,1.5730,300.75,
21,1720.559998,9.6028045996e-04,8.1624997924e-01,4500.00,4.2920,1.6300,314.30,
22,1769.220842,9.3141903468e-04,7.8895550240e-01,4500.00,4.7760,1.5150,327.26,
23,1823.160939,9.0193003190e-04,7.7219731359e-01,4500.00,5.3090,1.4940,339.67,
24,1876.371078,8.7144141017e-04,7.5736789595e-01,4500.00,5.1880,1.6110,353.50,
25,1935.038950,8.3718426526e-04,7.5260363635e-01,4500.00,4.3330,1.6125,366.47,
26,2006.361294,7.9540345431e-04,7.5179237214e-01,4500.00,4.7010,1.8735,380.59,
27,2110.249096,7.2982598378e-04,7.5298553090e-01,4500.00,4.8880,1.7245,394.33,
28,2181.828852,6.9628344002e-04,7.5179388856e-01,4500.00,4.9200,2.0510,408.89,
29,2222.739756,6.6930840736e-04,7.5607778244e-01,4500.00,4.2020,2.1800,424.50,
30,2273.640501,6.3507756289e-04,7.6617373577e-01,4500.00,5.9890,1.9735,439.82,
31,2355.989280,5.7964663308e-04,7.7243377634e-01,4500.00,7.2340,2.6630,458.43,
32,2397.393128,5.5811673547e-04,7.7795280264e-01,4500.00,6.7110,2.9090,478.92,
33,2428.824172,5.3461818080e-04,7.8518929078e-01,4500.00,6.9190,2.8200,499.15,
34,2462.549350,5.1007544121e-04,7.9664415541e-01,4500.00,7.3080,2.8155,518.44,
35,2505.833133,4.7798963680e-04,8.0813954068e-01,4500.00,6.7210,3.2160,540.21,
36,2566.622983,4.2999683390e-04,8.1701395349e-01,4500.00,9.4370,3.4320,563.80,
37,2600.309216,4.0823093513e-04,8.2525825490e-01,4500.00,5.6170,3.1255,584.65,
38,2621.393129,3.9019639076e-04,8.3546586451e-01,4500.00,5.8080,3.1035,606.21,
