# tADMM live log — ieee2552C_1ph T=144, ρ_init=30000.0, adaptive=true
# k, objective, r_norm, s_norm, rho, sp_max, sp_med, elapsed_s, event
1,4377.392382,4.4498733804e-04,1.2627434156e+00,30000.00,93.1010,56.3790,601.45,
2,4332.295256,4.4928829607e-04,1.2805400645e+00,30000.00,67.3350,47.9310,1052.95,
3,4332.297345,4.4629347332e-04,1.3268100348e+00,30000.00,56.9630,15.5085,1266.02,
4,4332.296535,4.4619259638e-04,1.2559401897e+00,30000.00,49.7110,16.6910,1509.48,
5,4332.317853,4.4540983148e-04,1.3081684122e+00,60000.00,55.1420,16.8820,1780.89,
6,4606.061398,4.0966406258e-04,1.5969383633e+00,60000.00,56.4830,18.3955,2053.40,
7,5242.171356,3.5432834360e-04,1.8854038912e+00,60000.00,59.9990,22.4925,2367.69,
8,5856.443699,3.0754953210e-04,2.1046419116e+00,60000.00,53.2510,32.9820,2737.06,
9,6653.670919,2.4307380062e-04,2.2389364522e+00,60000.00,54.4290,25.1505,3048.17,
10,7587.019473,1.6716697380e-04,2.2906552488e+00,120000.00,41.2600,21.0455,3283.00,
11,8362.061034,7.2880501070e-05,2.3588221966e+00,120000.00,37.1550,21.9580,3519.69,
12,8676.930157,3.8727030772e-06,2.3574511008e+00,120000.00,39.7330,19.0050,3755.84,
13,8674.247739,2.1228010063e-06,2.2876241549e+00,120000.00,39.7090,19.4420,3991.81,
14,8671.560969,1.2352205263e-06,2.2061783357e+00,120000.00,40.1790,18.7825,4220.49,
15,8668.004404,1.0359353580e-06,2.1274999095e+00,30000.00,42.1580,19.7320,4444.97,
16,8659.207852,4.7393581280e-06,1.9703024301e+00,30000.00,46.0840,21.2110,4704.25,
17,8650.296072,5.2829501612e-06,1.8693668234e+00,30000.00,46.1240,24.4335,4970.64,
18,8640.430661,4.0367155212e-06,1.8209776105e+00,30000.00,66.5190,25.6790,5246.22,
19,8631.774278,4.5757713907e-06,1.7141767160e+00,30000.00,45.7290,23.7180,5512.91,
20,8623.275389,4.5262115772e-06,1.6473712099e+00,7500.00,47.8290,26.3945,5785.90,
21,8599.304579,1.1273766520e-05,1.5861819031e+00,7500.00,43.0290,20.1705,6044.99,
22,8580.665261,1.8556928211e-05,1.4485755965e+00,7500.00,46.5110,18.7385,6286.88,
23,8564.766092,3.0664859936e-05,1.1411114857e+00,7500.00,48.4790,21.3180,6551.89,
24,8549.261752,2.8509558858e-05,9.8681326343e-01,7500.00,61.8100,22.9435,6822.37,
25,8531.521898,2.9806195102e-05,9.1019149339e-01,1875.00,48.2620,21.3800,7090.55,
26,8482.729334,5.3891127106e-05,8.1387852983e-01,1875.00,58.0890,22.8705,7367.72,
27,8457.801710,6.3448595470e-05,6.9079166302e-01,1875.00,54.1960,24.4700,7661.30,
28,8427.980989,5.9391996783e-05,6.2824444618e-01,1875.00,52.4090,23.8995,7950.51,
29,8407.774649,5.1079882844e-05,6.0332169876e-01,1875.00,56.6680,23.1810,8232.45,
30,8379.825260,4.8647334373e-05,5.8901260808e-01,468.75,55.6330,21.4645,8507.68,
31,8244.640958,8.2898352116e-05,5.7083138924e-01,468.75,63.7270,31.1475,8827.55,
32,8188.389848,9.7280551325e-05,5.2244914506e-01,468.75,54.8760,23.2590,9119.17,
33,8142.951137,1.0710678802e-04,3.9505014179e-01,468.75,61.5000,32.2755,9454.21,
34,8128.525132,1.1254741232e-04,2.6924910734e-01,468.75,61.1760,36.7330,9827.80,
35,8102.793929,1.0609343225e-04,2.0319857740e-01,468.75,59.4570,35.8640,10204.67,
36,8093.728508,8.9100572553e-05,1.6564174534e-01,468.75,56.8820,37.0875,10587.25,
37,8096.239297,7.4058399539e-05,1.4120263827e-01,468.75,57.5880,37.9735,10978.91,
38,8108.715856,6.4737111360e-05,1.2222240944e-01,468.75,73.4800,39.5050,11381.27,
39,8109.588889,5.8567568350e-05,1.0785502965e-01,468.75,67.1110,39.6025,11785.99,
40,8118.257951,5.9578567463e-05,9.5787496900e-02,117.19,61.5440,39.6335,12186.99,
41,8163.906585,1.0267784737e-04,7.2332703625e-02,117.19,74.6760,42.3925,12612.71,
42,8204.392312,1.2914566745e-04,5.2789704775e-02,117.19,68.7240,41.5200,13037.41,
43,8221.560658,1.4026690319e-04,3.8950809730e-02,117.19,79.2780,39.4855,13468.24,
44,8249.155575,1.4060921267e-04,3.0184539033e-02,117.19,67.2650,38.4005,13855.03,
45,8257.730232,1.3494365357e-04,2.3985756461e-02,117.19,59.9750,33.3505,14200.45,
46,8254.257059,1.3847404377e-04,1.7528120437e-02,117.19,56.7330,35.8425,14543.83,
