iteration,subproblem,solve_time_sec,ipopt_iters
1,1,35.242000,36
1,2,14.978000,42
1,3,33.360000,32
1,4,17.207000,35
1,5,36.442000,37
1,6,14.873000,35
1,7,30.517000,26
1,8,17.170000,31
1,9,30.379000,27
1,10,14.917000,26
1,11,28.631000,24
1,12,14.421000,24
1,13,30.944000,26
1,14,13.100000,20
1,15,26.786000,22
1,16,13.601000,23
1,17,29.945000,26
1,18,28.058000,23
1,19,27.498000,23
1,20,27.332000,23
1,21,29.325000,25
1,22,38.711000,44
1,23,29.461000,24
1,24,31.642000,30
2,1,25.494000,21
2,2,12.627000,23
2,3,28.618000,33
2,4,5.511000,7
2,5,25.912000,20
2,6,13.838000,32
2,7,31.156000,34
2,8,10.986000,35
2,9,32.038000,35
2,10,11.156000,37
2,11,32.481000,37
2,12,10.493000,35
2,13,29.446000,30
2,14,9.198000,14
2,15,22.193000,15
2,16,14.216000,19
2,17,20.874000,17
2,18,26.805000,28
2,19,32.042000,28
2,20,16.042000,12
2,21,15.427000,12
2,22,15.504000,11
2,23,15.954000,11
2,24,32.089000,34
3,1,12.540000,11
3,2,12.334000,23
3,3,14.542000,13
3,4,6.348000,12
3,5,23.642000,33
3,6,2.698000,9
3,7,12.013000,9
3,8,6.799000,10
3,9,13.468000,11
3,10,8.534000,12
3,11,19.587000,20
3,12,7.526000,27
3,13,23.398000,33
3,14,3.186000,11
3,15,14.871000,13
3,16,6.991000,10
3,17,14.854000,11
3,18,12.314000,11
3,19,12.322000,10
3,20,12.793000,10
3,21,16.720000,16
3,22,21.645000,25
3,23,16.321000,13
3,24,10.829000,8
4,1,11.600000,8
4,2,12.337000,21
4,3,22.654000,23
4,4,6.317000,16
4,5,22.152000,29
4,6,7.025000,21
4,7,23.034000,24
4,8,6.416000,19
4,9,23.695000,29
4,10,6.939000,31
4,11,17.980000,15
4,12,8.518000,15
4,13,19.792000,22
4,14,4.103000,6
4,15,10.804000,7
4,16,15.236000,26
4,17,20.345000,27
4,18,17.190000,20
4,19,9.775000,6
4,20,20.325000,26
4,21,9.676000,7
4,22,9.907000,7
4,23,23.592000,30
4,24,13.920000,11
5,1,16.169000,26
5,2,3.995000,12
5,3,7.737000,7
5,4,7.386000,11
5,5,15.723000,22
5,6,5.433000,22
5,7,15.491000,23
5,8,4.700000,13
5,9,16.395000,22
5,10,5.181000,21
5,11,15.711000,22
5,12,3.102000,7
5,13,8.962000,7
5,14,9.982000,26
5,15,8.837000,7
5,16,4.179000,6
5,17,8.879000,6
5,18,7.376000,6
5,19,8.781000,6
5,20,7.275000,6
5,21,11.396000,10
5,22,9.355000,7
5,23,10.881000,10
5,24,11.083000,11
6,1,13.920000,22
6,2,4.617000,21
6,3,8.467000,7
6,4,5.034000,9
6,5,9.885000,11
6,6,6.369000,11
6,7,9.846000,11
6,8,8.193000,21
6,9,10.347000,12
6,10,6.089000,12
6,11,9.620000,12
6,12,4.959000,7
6,13,9.600000,7
6,14,4.886000,7
6,15,8.899000,7
6,16,4.807000,7
6,17,8.720000,7
6,18,9.609000,7
6,19,10.867000,10
6,20,8.719000,7
6,21,8.715000,7
6,22,8.697000,7
6,23,19.229000,32
6,24,8.134000,8
7,1,16.954000,22
7,2,2.915000,21
7,3,8.669000,7
7,4,10.802000,25
7,5,10.502000,11
7,6,7.381000,11
7,7,11.233000,11
7,8,6.805000,12
7,9,11.198000,12
7,10,6.868000,12
7,11,11.198000,12
7,12,6.925000,7
7,13,9.946000,7
7,14,6.396000,7
7,15,10.481000,7
7,16,6.192000,7
7,17,10.023000,7
7,18,10.462000,7
7,19,9.670000,7
7,20,10.491000,7
7,21,18.910000,24
7,22,15.511000,20
7,23,18.887000,26
7,24,8.908000,8
8,1,14.806000,22
8,2,3.290000,21
8,3,9.340000,7
8,4,5.740000,11
8,5,10.614000,11
8,6,5.332000,11
8,7,9.019000,11
8,8,6.501000,12
8,9,10.307000,12
8,10,6.504000,12
8,11,11.002000,12
8,12,4.324000,7
8,13,8.380000,7
8,14,5.508000,7
8,15,16.724000,26
8,16,1.187000,7
8,17,11.087000,7
8,18,8.116000,7
8,19,8.824000,7
8,20,9.805000,7
8,21,9.770000,7
8,22,11.954000,12
8,23,12.689000,12
8,24,11.971000,12
9,1,14.010000,22
9,2,2.655000,21
9,3,8.288000,7
9,4,5.379000,11
9,5,10.979000,11
9,6,3.983000,11
9,7,10.704000,12
9,8,4.319000,12
9,9,10.977000,12
9,10,4.043000,12
9,11,10.991000,12
9,12,3.404000,7
9,13,9.237000,7
9,14,3.666000,7
9,15,9.229000,7
9,16,4.157000,7
9,17,9.260000,7
9,18,9.240000,7
9,19,7.680000,7
9,20,9.282000,7
9,21,8.885000,7
9,22,11.421000,14
9,23,12.750000,14
9,24,11.352000,11
10,1,8.512000,8
10,2,7.264000,16
10,3,9.091000,7
10,4,5.838000,11
10,5,10.179000,11
10,6,4.876000,12
10,7,11.017000,12
10,8,4.762000,12
10,9,9.744000,12
10,10,5.797000,12
10,11,9.352000,12
10,12,4.484000,7
10,13,9.092000,7
10,14,5.530000,7
10,15,11.026000,11
10,16,4.362000,7
10,17,9.091000,7
10,18,7.927000,7
10,19,8.305000,7
10,20,8.758000,7
10,21,9.086000,7
10,22,9.703000,10
10,23,13.086000,15
10,24,10.264000,12
11,1,8.243000,7
11,2,8.400000,22
11,3,8.600000,7
11,4,5.754000,11
11,5,11.083000,12
11,6,5.671000,12
11,7,10.815000,12
11,8,5.793000,12
11,9,11.556000,14
11,10,5.406000,15
11,11,10.293000,12
11,12,4.771000,7
11,13,8.330000,9
11,14,4.546000,7
11,15,10.281000,10
11,16,5.040000,7
11,17,9.974000,7
11,18,8.611000,7
11,19,9.024000,7
11,20,9.672000,7
11,21,10.822000,11
11,22,14.699000,21
11,23,15.001000,18
11,24,11.160000,12
12,1,13.420000,14
12,2,7.739000,22
12,3,15.671000,21
12,4,5.307000,13
12,5,11.365000,12
12,6,7.927000,12
12,7,10.783000,12
12,8,7.903000,12
12,9,14.022000,16
12,10,6.760000,14
12,11,10.799000,10
12,12,6.432000,7
12,13,12.064000,13
12,14,5.631000,7
12,15,12.621000,11
12,16,6.332000,7
12,17,11.531000,7
12,18,9.788000,7
12,19,8.906000,7
12,20,10.014000,7
12,21,14.109000,17
12,22,19.039000,22
12,23,12.646000,14
12,24,9.143000,8
13,1,14.263000,18
13,2,4.833000,22
13,3,10.794000,9
13,4,6.832000,13
13,5,10.975000,12
13,6,6.732000,12
13,7,11.950000,12
13,8,6.841000,15
13,9,14.736000,16
13,10,4.164000,8
13,11,18.127000,22
13,12,1.716000,7
13,13,12.719000,12
13,14,5.192000,10
13,15,15.170000,16
13,16,4.068000,8
13,17,9.461000,7
13,18,10.479000,7
13,19,9.714000,7
13,20,10.099000,7
13,21,13.175000,15
13,22,16.961000,23
13,23,9.121000,7
13,24,11.648000,8
14,1,14.559000,15
14,2,7.551000,19
14,3,18.945000,21
14,4,4.574000,11
14,5,14.448000,14
14,6,5.644000,12
14,7,14.080000,12
14,8,8.125000,15
14,9,18.959000,22
14,10,5.573000,21
14,11,16.187000,17
14,12,4.369000,7
14,13,14.508000,12
14,14,4.643000,7
14,15,16.191000,18
14,16,8.757000,28
14,17,9.961000,7
14,18,10.100000,7
14,19,12.364000,7
14,20,12.469000,7
14,21,15.761000,17
14,22,18.254000,22
14,23,11.597000,7
14,24,12.045000,8
15,1,12.984000,17
15,2,4.569000,16
15,3,11.211000,10
15,4,4.076000,7
15,5,12.881000,15
15,6,4.682000,12
15,7,12.502000,13
15,8,4.979000,13
15,9,16.400000,22
15,10,3.539000,17
15,11,10.781000,10
15,12,3.719000,6
15,13,11.985000,11
15,14,3.646000,7
15,15,13.120000,16
15,16,5.364000,15
15,17,9.979000,7
15,18,11.769000,7
15,19,8.115000,7
15,20,9.166000,7
15,21,13.848000,18
15,22,11.203000,11
15,23,13.132000,14
15,24,11.228000,8
16,1,9.410000,7
16,2,7.940000,11
16,3,11.078000,8
16,4,10.929000,23
16,5,12.100000,11
16,6,9.120000,18
16,7,20.045000,23
16,8,1.835000,10
16,9,22.457000,27
16,10,1.074000,9
16,11,12.001000,10
16,12,6.338000,7
16,13,11.405000,10
16,14,6.604000,7
16,15,13.491000,9
16,16,6.999000,10
16,17,18.113000,22
16,18,14.239000,12
16,19,12.009000,9
16,20,10.869000,8
16,21,18.729000,19
16,22,18.392000,22
16,23,11.060000,7
16,24,12.089000,8
17,1,11.224000,7
17,2,8.090000,11
17,3,12.660000,11
17,4,7.050000,11
17,5,17.796000,21
17,6,4.365000,20
17,7,17.773000,22
17,8,4.695000,25
17,9,17.279000,22
17,10,2.918000,7
17,11,11.130000,10
17,12,6.967000,7
17,13,11.630000,9
17,14,6.656000,7
17,15,11.724000,8
17,16,9.015000,15
17,17,15.407000,17
17,18,19.554000,22
17,19,20.439000,27
17,20,17.069000,20
17,21,9.845000,7
17,22,11.638000,8
17,23,11.790000,8
17,24,10.932000,8
18,1,10.255000,7
18,2,7.860000,11
18,3,11.244000,10
18,4,8.155000,12
18,5,19.617000,22
18,6,3.193000,26
18,7,19.604000,26
18,8,2.878000,23
18,9,12.468000,11
18,10,5.752000,7
18,11,10.558000,10
18,12,5.883000,7
18,13,11.963000,10
18,14,5.961000,7
18,15,9.787000,8
18,16,7.691000,7
18,17,15.865000,16
18,18,16.871000,16
18,19,17.564000,22
18,20,17.738000,22
18,21,9.022000,7
18,22,10.538000,8
18,23,10.527000,8
18,24,9.425000,8
19,1,13.442000,7
19,2,9.423000,11
19,3,13.889000,10
19,4,9.502000,11
19,5,21.121000,19
19,6,5.633000,26
19,7,25.988000,28
19,8,2.255000,21
19,9,16.779000,11
19,10,6.373000,7
19,11,16.170000,10
19,12,6.665000,7
19,13,16.493000,10
19,14,6.614000,7
19,15,14.176000,8
19,16,9.360000,11
19,17,19.201000,15
19,18,21.618000,18
19,19,22.110000,19
19,20,15.323000,11
19,21,17.241000,16
19,22,12.928000,8
19,23,13.094000,8
19,24,14.230000,8
20,1,11.402000,7
20,2,7.383000,11
20,3,14.313000,10
20,4,5.890000,11
20,5,16.145000,13
20,6,6.816000,27
20,7,21.718000,28
20,8,4.059000,50
20,9,14.424000,11
20,10,4.957000,8
20,11,13.608000,10
20,12,4.806000,7
20,13,15.021000,10
20,14,4.357000,7
20,15,13.927000,8
20,16,4.283000,7
20,17,15.748000,14
20,18,18.879000,18
20,19,21.080000,20
20,20,13.603000,8
20,21,16.134000,14
20,22,12.990000,7
20,23,12.613000,8
20,24,11.530000,8
21,1,7.827000,7
21,2,7.223000,11
21,3,9.397000,8
21,4,6.726000,12
21,5,13.070000,15
21,6,6.597000,25
21,7,18.174000,28
21,8,2.473000,23
21,9,11.902000,13
21,10,4.676000,8
21,11,11.504000,10
21,12,4.866000,7
21,13,11.887000,10
21,14,4.327000,7
21,15,10.165000,8
21,16,4.915000,8
21,17,8.528000,7
21,18,13.541000,18
21,19,16.070000,21
21,20,13.275000,15
21,21,9.136000,8
21,22,11.058000,8
21,23,9.975000,8
21,24,9.000000,8
22,1,10.093000,7
22,2,6.985000,11
22,3,13.554000,10
22,4,5.774000,12
22,5,15.967000,16
22,6,4.902000,27
22,7,19.736000,28
22,8,2.523000,24
22,9,13.813000,13
22,10,4.224000,8
22,11,13.110000,10
22,12,4.146000,7
22,13,13.353000,10
22,14,4.738000,7
22,15,11.665000,8
22,16,5.243000,8
22,17,10.716000,7
22,18,17.422000,19
22,19,19.045000,21
22,20,11.922000,8
