iteration,objective,r_norm,s_norm,rho,eff_time_this_k,cum_eff_time,max_sp_time_this_k,mean_ipopt_iters_this_k
1,4253.418564,2.7109984811e-03,6.1968404348e+00,16000.00,36.3680,36.3680,36.3680,28.54
2,4338.118821,2.6055659929e-03,7.1885538506e+00,16000.00,22.3150,58.6830,22.3150,19.08
3,5219.921245,2.0407695986e-03,8.3721432186e+00,16000.00,21.7030,80.3860,21.7030,19.38
4,6266.386958,1.5162175354e-03,6.3267683231e+00,16000.00,20.2870,100.6730,20.2870,15.17
5,7526.993012,8.4575649734e-04,3.9401327427e+00,16000.00,23.5830,124.2560,23.5830,18.79
6,8316.459667,1.7778431001e-04,3.9213175020e+00,32000.00,13.6300,137.8860,13.6300,12.75
7,8435.897939,1.1031233622e-05,3.9583077996e+00,32000.00,14.7960,152.6820,14.7960,11.33
8,8430.500562,3.3341557224e-08,3.9583098348e+00,32000.00,10.9610,163.6430,10.9610,8.46
9,8422.214747,8.4472968674e-09,3.9582912982e+00,32000.00,14.0920,177.7350,14.0920,8.79
10,8414.054958,4.3338170960e-06,3.9252911623e+00,32000.00,12.2300,189.9650,12.2300,9.04
11,8375.041536,3.7176562858e-05,3.8436767724e+00,6400.00,16.1970,206.1620,16.1970,10.29
12,8337.136669,3.9733175190e-05,3.8035194643e+00,6400.00,19.6370,225.7990,19.6370,10.88
13,8303.875001,2.5123167028e-05,3.7683597560e+00,6400.00,23.1080,248.9070,23.1080,11.00
14,8255.694652,7.6536118302e-05,3.5626052900e+00,6400.00,12.2080,261.1150,12.2080,9.83
15,8204.297762,1.1820230343e-04,3.3497954355e+00,6400.00,19.7400,280.8550,19.7400,10.75
16,8176.791223,1.0622386662e-04,3.1379699389e+00,6400.00,16.2440,297.0990,16.2440,10.79
17,8168.488505,5.6572740559e-05,2.8763654563e+00,6400.00,15.8420,312.9410,15.8420,11.62
18,8165.728808,2.3926047621e-05,2.4840516190e+00,6400.00,11.1110,324.0520,11.1110,10.96
19,8160.340913,3.0470752605e-05,2.0639963151e+00,6400.00,13.4270,337.4790,13.4270,12.17
20,8151.853530,2.7166520972e-05,1.6921606710e+00,6400.00,14.6390,352.1180,14.6390,13.33
21,8129.859121,3.1917100394e-05,1.0657555185e+00,1280.00,20.3640,372.4820,20.3640,13.92
22,8127.708427,3.5432889422e-05,6.4331409178e-01,1280.00,21.4570,393.9390,21.4570,13.79
23,8134.163274,3.4675469293e-05,3.9564319670e-01,1280.00,20.3720,414.3110,20.3720,13.00
24,8147.149974,3.3917751673e-05,1.2077173080e-01,1280.00,18.0990,432.4100,18.0990,12.21
25,8135.475746,2.6367881457e-05,4.8888954934e-02,1280.00,17.2030,449.6130,17.2030,12.33
26,8110.201599,3.9803263040e-05,3.2841257861e-02,256.00,20.8600,470.4730,20.8600,12.71
27,8104.801244,4.5163866875e-05,1.7029270856e-02,256.00,21.1250,491.5980,21.1250,11.96
28,8104.218177,3.9110948387e-05,8.9113978763e-03,256.00,18.5590,510.1570,18.5590,12.08
29,8107.010737,2.1898359149e-05,1.1255241748e-02,256.00,21.0960,531.2530,21.0960,12.33
30,8112.067733,1.0780895409e-05,1.0509409139e-02,256.00,17.4500,548.7030,17.4500,12.21
31,8129.249821,5.3464202681e-05,5.9996520934e-03,51.20,16.0250,564.7280,16.0250,12.83
32,8133.332535,5.9699778286e-05,9.9174524976e-04,51.20,24.0870,588.8150,24.0870,13.50
33,8128.102686,3.7572236900e-05,2.4824920985e-03,51.20,21.0220,609.8370,21.0220,13.46
34,8119.372768,9.7471118435e-06,3.2535067026e-03,51.20,19.4150,629.2520,19.4150,13.58
35,8112.735052,1.1414237740e-05,2.2989386050e-03,51.20,19.7530,649.0050,19.7530,13.62
36,8133.534667,1.3262897623e-04,1.6903559675e-03,10.24,20.9700,669.9750,20.9700,14.00
37,8100.280029,6.9861745289e-05,1.1591378448e-03,10.24,20.6980,690.6730,20.6980,14.25
38,8080.755599,6.5081176369e-05,8.3720744310e-04,10.24,18.9840,709.6570,18.9840,13.00
39,8092.025409,5.0320456071e-05,6.8795571988e-04,10.24,19.3900,729.0470,19.3900,13.17
40,8108.947895,2.6855434436e-05,5.2954072202e-04,10.24,18.6050,747.6520,18.6050,13.08
41,8213.326752,2.0133352881e-04,4.9156395499e-04,2.05,19.5120,767.1640,19.5120,13.29
42,8142.599144,8.2343057033e-05,3.3624343396e-04,2.05,21.0590,788.2230,21.0590,12.96
