iteration,subproblem,solve_time_sec,ipopt_iters
1,1,32.329000,36
1,2,10.754000,24
1,3,27.479000,23
1,4,14.918000,32
1,5,32.891000,36
1,6,13.352000,44
1,7,31.757000,33
1,8,13.082000,32
1,9,36.368000,38
1,10,9.410000,30
1,11,28.719000,28
1,12,11.022000,24
1,13,25.757000,24
1,14,16.460000,41
1,15,22.959000,20
1,16,13.088000,21
1,17,28.721000,25
1,18,30.146000,27
1,19,24.971000,24
1,20,27.985000,24
1,21,26.259000,25
1,22,24.971000,22
1,23,28.719000,25
1,24,29.777000,27
2,1,14.249000,11
2,2,4.920000,7
2,3,21.597000,31
2,4,5.211000,30
2,5,21.585000,31
2,6,5.562000,33
2,7,20.845000,31
2,8,2.456000,7
2,9,7.832000,6
2,10,6.874000,7
2,11,10.036000,7
2,12,8.934000,15
2,13,11.118000,9
2,14,7.564000,8
2,15,22.315000,36
2,16,5.192000,34
2,17,13.508000,12
2,18,12.262000,11
2,19,15.123000,15
2,20,22.245000,33
2,21,21.930000,34
2,22,22.250000,36
2,23,9.730000,8
2,24,6.603000,6
3,1,17.773000,17
3,2,6.352000,14
3,3,11.409000,13
3,4,8.850000,13
3,5,11.920000,12
3,6,7.285000,12
3,7,14.452000,15
3,8,12.245000,35
3,9,21.487000,35
3,10,5.602000,38
3,11,20.781000,28
3,12,3.530000,10
3,13,21.358000,32
3,14,4.523000,15
3,15,18.178000,22
3,16,6.788000,22
3,17,15.048000,16
3,18,15.069000,14
3,19,14.088000,16
3,20,20.293000,24
3,21,21.703000,24
3,22,16.262000,16
3,23,14.172000,14
3,24,9.310000,8
4,1,10.791000,10
4,2,7.015000,11
4,3,11.078000,12
4,4,5.356000,9
4,5,10.194000,9
4,6,5.801000,8
4,7,7.965000,8
4,8,12.065000,26
4,9,8.712000,9
4,10,6.924000,11
4,11,12.292000,13
4,12,9.144000,33
4,13,20.287000,33
4,14,2.139000,20
4,15,11.778000,14
4,16,8.264000,24
4,17,9.293000,9
4,18,11.209000,11
4,19,9.162000,8
4,20,15.602000,21
4,21,17.862000,25
4,22,17.031000,22
4,23,10.680000,10
4,24,9.309000,8
5,1,7.736000,9
