# tADMM live log — ieee2552C_1ph T=24, ρ_init=20000.0, adaptive=true
# k, objective, r_norm, s_norm, rho, sp_max, sp_med, elapsed_s, event
# tADMM live log — ieee2552C_1ph T=24, ρ_init=20000.0, adaptive=true
# k, objective, r_norm, s_norm, rho, sp_max, sp_med, elapsed_s, event
1,4338.543947,2.6357720222e-03,5.6844370694e+00,20000.00,42.0130,29.2695,64.11,
2,4602.435932,2.3999050966e-03,9.3306970824e+00,20000.00,27.8400,15.7595,104.84,
3,5811.817906,1.7534138095e-03,9.9554191778e+00,20000.00,25.9490,15.6080,136.30,
4,7393.674291,9.0887422968e-04,7.3425673073e+00,20000.00,32.9320,16.1960,173.94,
5,8268.769454,2.6915156841e-04,4.0811706078e+00,40000.00,22.8370,11.0960,201.17,
6,8420.375112,3.9584152910e-05,3.8574362222e+00,40000.00,19.0390,9.2570,226.37,
7,8425.130339,1.8389164169e-05,3.9074479569e+00,40000.00,13.5830,10.0505,246.88,
8,8424.138028,6.6142466798e-06,3.9375644901e+00,40000.00,14.4610,9.2135,267.14,
9,8419.640422,6.5469689997e-07,3.9297133566e+00,40000.00,15.5710,9.6065,286.92,
10,8413.393476,6.2318752119e-06,3.8581257927e+00,8000.00,11.7990,8.1315,302.91,
11,8382.836635,2.5904996385e-05,3.8106081599e+00,8000.00,11.0700,6.4410,318.10,
12,8352.262716,1.8659616259e-05,3.8024937924e+00,8000.00,12.1890,6.5205,334.43,
13,8322.752977,6.8790331334e-06,3.7954294083e+00,8000.00,12.9950,7.0150,349.67,
14,8290.349071,2.9143754526e-05,3.7030579353e+00,8000.00,13.5590,8.0390,365.95,
15,8244.704863,8.6888572827e-05,3.4394404776e+00,1600.00,11.6550,7.5665,380.54,
16,8133.222819,1.8062826527e-04,2.8383347612e+00,1600.00,15.8610,8.8460,403.15,
17,8092.430366,1.8289113949e-04,1.5153846198e+00,1600.00,23.0980,13.3315,431.10,
18,8081.093381,1.6109469224e-04,9.3990086680e-01,1600.00,19.3090,10.1625,455.42,
19,8081.369945,1.2858340864e-04,6.6278812103e-01,1600.00,21.5280,11.0270,482.56,
20,8111.614366,7.8842061336e-05,4.5075656599e-01,320.00,20.1520,8.8835,508.18,
21,8233.907868,1.9169535887e-04,1.2851271889e-01,320.00,18.4260,10.2145,528.87,
22,8227.879895,2.1462790181e-04,2.5187706642e-02,320.00,13.1460,6.5965,545.53,
23,8172.421722,1.2872755887e-04,4.7761768089e-02,320.00,13.2180,6.6595,562.14,
24,8135.003286,6.7492490907e-05,5.2176095012e-02,320.00,13.7180,6.6235,578.79,
25,8114.752702,5.0139727505e-05,4.5070119842e-02,64.00,12.8580,6.2365,595.34,
26,8048.506469,2.1368647761e-04,2.5239915485e-02,64.00,13.4370,6.9480,612.15,
27,8036.906374,2.2784980441e-04,4.6454406598e-03,64.00,14.3230,7.3830,630.76,
28,8060.467795,1.2681726004e-04,9.3852474327e-03,64.00,14.6760,7.6650,649.61,
29,8102.000162,3.5688479566e-05,1.2723804668e-02,64.00,13.9360,7.3840,667.59,
30,8129.099248,4.2931064926e-05,9.3247770177e-03,12.80,20.9720,9.9390,693.58,
31,8191.603456,2.1494294610e-04,4.8291701112e-03,12.80,21.4170,11.4755,723.99,
32,8192.652745,2.1836669735e-04,3.8793538816e-04,12.80,22.3550,11.5025,751.36,
33,8159.378055,1.2050348669e-04,2.2917930889e-03,12.80,14.4970,9.4130,771.06,
34,8120.141214,2.7377075859e-05,2.8303099775e-03,12.80,20.1830,10.6350,798.43,
35,8099.352227,4.2779607632e-05,1.9307678406e-03,2.56,22.3900,12.4615,828.14,
36,8098.338602,2.1332633827e-04,7.7532100876e-04,2.56,22.8760,11.5865,856.63,
37,8083.592100,2.0538309366e-04,7.7229774599e-05,2.56,24.8770,13.3115,886.97,
38,8136.567258,1.9129160138e-04,5.8619517300e-04,2.56,20.5250,11.1980,914.42,
39,8079.761028,4.1948489020e-05,5.8892203383e-04,2.56,21.1340,11.1895,941.52,
40,8065.162106,8.3802958870e-05,3.7400129409e-04,2.56,20.3380,9.9775,968.51,
# CONVERGED at k=40 (r=8.38e-05 <= 1.00e-04, s=3.74e-04 <= 5.00e-04)
# Final objective: $8065.162106
