# tADMM live log — ieee2552C_1ph T=48, ρ_init=2000.0, adaptive=true
# k, objective, r_norm, s_norm, rho, sp_max, sp_med, elapsed_s, event
# tADMM live log — ieee2552C_1ph T=48, ρ_init=2000.0, adaptive=true
# k, objective, r_norm, s_norm, rho, sp_max, sp_med, elapsed_s, event
1,4299.553302,1.3474173414e-03,2.7441079791e-01,2000.00,67.8840,39.9910,149.92,
2,4299.557518,1.3435774683e-03,3.2119380054e-01,2000.00,54.7610,11.1485,228.11,
3,4299.555255,1.3352772607e-03,3.6710582636e-01,2000.00,41.8840,12.8770,295.55,
4,4299.555018,1.3266718473e-03,4.0979217335e-01,2000.00,39.1940,12.0570,347.06,
5,4299.555946,1.3194309946e-03,4.4807307847e-01,4000.00,31.1850,13.2025,398.14,
6,4299.554794,1.3151696009e-03,5.4213067189e-01,4000.00,35.8870,12.7590,454.85,
7,4299.554968,1.3101454941e-03,6.4360367268e-01,4000.00,34.5310,10.8070,498.78,
8,4299.554987,1.3046995584e-03,7.4212716445e-01,4000.00,14.7300,8.9210,534.05,
9,4299.554711,1.3003656064e-03,6.4264786119e-01,4000.00,25.8550,8.5740,567.06,
10,4299.554774,1.2977277667e-03,6.2925299053e-01,8000.00,13.7240,8.4885,601.27,
11,4299.555074,1.2967184153e-03,6.6867344924e-01,8000.00,16.8710,8.4585,632.78,
12,4299.554377,1.2956569679e-03,7.3139881512e-01,8000.00,11.3300,8.9915,666.33,
13,4328.304877,1.2797124034e-03,7.9123814739e-01,8000.00,16.9320,8.9175,702.41,
14,4499.896585,1.2214840136e-03,8.6806675577e-01,8000.00,19.7370,9.1760,736.86,
15,4706.541680,1.1639775292e-03,9.3550985683e-01,16000.00,15.3000,9.9300,774.54,
16,4998.014107,1.0850419783e-03,1.0649128167e+00,16000.00,19.2020,11.8595,821.16,
17,5400.278940,9.9097182700e-04,1.2471403612e+00,16000.00,32.8710,13.2480,882.07,
18,5932.296831,8.7049783238e-04,1.4717086026e+00,16000.00,39.1150,13.1140,940.35,
19,6740.809824,6.7795760775e-04,1.6702710927e+00,16000.00,38.9200,13.1935,998.06,
20,7504.960986,4.9025048775e-04,1.8003503510e+00,8000.00,23.8620,11.7105,1046.34,
21,7913.459535,3.7579245214e-04,1.8413205460e+00,8000.00,27.1990,12.7485,1104.37,
22,8060.987193,3.1105323411e-04,1.8699427732e+00,8000.00,27.0750,11.8460,1162.45,
23,8240.536683,2.3158688106e-04,1.8874301311e+00,8000.00,18.9320,8.8150,1200.32,
24,8304.921193,1.8725510058e-04,1.8836316697e+00,8000.00,21.5880,8.6905,1239.41,
25,8410.426004,7.4018419622e-05,1.8857039997e+00,4000.00,27.4980,12.2515,1293.29,
26,8419.039617,4.1434396797e-05,1.8458714866e+00,4000.00,28.0130,14.8790,1352.75,
27,8370.672902,7.2549066710e-05,1.7944992478e+00,4000.00,29.6070,13.0515,1403.50,
28,8356.640673,5.9742872538e-05,1.7715324204e+00,4000.00,25.8000,12.1745,1455.83,
29,8355.596139,4.0733093199e-05,1.7603215235e+00,4000.00,25.8770,12.6705,1508.36,
30,8344.263529,4.4759060049e-05,1.7489128189e+00,2000.00,25.1790,12.8360,1564.81,
31,8290.809474,5.6776208366e-05,1.6460357733e+00,2000.00,30.9330,15.5435,1625.62,
32,8240.665173,6.7182383869e-05,1.4044064890e+00,2000.00,34.6420,18.3415,1693.78,
33,8227.996939,8.7388480290e-05,1.1291782607e+00,2000.00,40.3510,18.3645,1767.15,
34,8235.529766,9.6749111464e-05,8.8903714165e-01,2000.00,34.5350,19.7790,1845.58,
35,8251.655878,9.3143385615e-05,6.8363552823e-01,1000.00,28.9800,16.3600,1913.72,
36,8278.253831,9.8519066381e-05,4.7932250392e-01,1000.00,31.4470,15.6710,1982.68,
37,8282.167506,1.0676449241e-04,3.5157164016e-01,1000.00,40.6780,18.7955,2065.82,
38,8277.081969,1.0882203007e-04,2.6464965617e-01,1000.00,43.5010,19.5140,2150.25,
39,8278.545164,1.0477062521e-04,1.9555926563e-01,1000.00,30.1110,14.1115,2214.85,
40,8279.232679,9.3720348846e-05,1.4243007723e-01,500.00,35.0620,14.4810,2277.94,
41,8274.469396,8.1716811308e-05,1.0698263245e-01,500.00,39.2970,17.2040,2351.27,
42,8250.746695,5.8055655993e-05,9.5188659245e-02,500.00,37.8300,16.6050,2423.88,
43,8229.914604,5.4516363703e-05,7.9878552716e-02,500.00,42.2250,16.2130,2495.80,
44,8214.873901,7.0146452148e-05,5.4060175543e-02,500.00,35.1810,13.8425,2561.22,
45,8202.675115,5.9477553904e-05,3.9973411378e-02,250.00,45.2190,18.2390,2637.14,
46,8194.084029,5.8219774727e-05,2.6946469460e-02,250.00,35.5400,14.9080,2707.55,
47,8198.659744,5.6177122398e-05,1.5232376624e-02,250.00,35.0800,13.8245,2771.42,
48,8203.153827,4.0979835947e-05,1.0916562459e-02,250.00,35.3820,14.1200,2839.77,
49,8204.534920,2.8713478191e-05,8.3006914023e-03,250.00,35.3500,15.9835,2915.96,
50,8202.345400,2.3321311754e-05,5.5925902478e-03,125.00,31.7400,13.5275,2980.85,
51,8199.557652,2.2207458476e-05,3.9142541846e-03,125.00,38.3130,13.8900,3045.33,
52,8197.239552,2.0774925010e-05,2.7777971354e-03,125.00,33.9690,14.9985,3112.75,
53,8196.987680,1.8358076686e-05,2.4540652865e-03,125.00,37.9580,14.3710,3178.41,
54,8195.934590,1.9701718076e-05,2.0847423231e-03,125.00,41.0260,12.9780,3241.16,
55,8195.564405,2.1348848362e-05,1.5334840453e-03,62.50,35.5070,13.5385,3301.17,
56,8195.118116,2.3630073090e-05,1.1129887856e-03,62.50,29.6390,12.5575,3358.79,
57,8194.084334,2.1753282791e-05,8.4262345687e-04,62.50,29.6130,13.0795,3418.38,
# CONVERGED at k=57 (r=2.18e-05 <= 1.00e-03, s=8.43e-04 <= 1.00e-03)
# Final objective: $8194.084334
