iteration,subproblem,solve_time_sec,ipopt_iters
1,1,57.901000,50
1,2,40.252000,31
1,3,24.397000,27
1,4,41.641000,30
1,5,45.833000,37
1,6,28.073000,30
1,7,40.548000,31
1,8,44.568000,35
1,9,30.531000,33
1,10,45.799000,35
1,11,42.294000,31
1,12,31.080000,38
1,13,45.797000,35
1,14,42.291000,30
1,15,27.675000,30
1,16,51.392000,41
1,17,39.282000,30
1,18,29.059000,31
1,19,35.471000,24
1,20,32.959000,27
1,21,31.440000,27
1,22,36.405000,26
1,23,35.303000,28
1,24,31.771000,28
1,25,37.392000,26
1,26,33.440000,24
1,27,28.946000,23
1,28,26.720000,18
1,29,25.069000,20
1,30,29.940000,21
1,31,32.144000,22
1,32,29.834000,24
1,33,30.687000,24
1,34,50.133000,38
1,35,39.028000,29
1,36,28.764000,31
1,37,42.489000,32
1,38,42.574000,31
1,39,31.857000,33
1,40,36.399000,26
1,41,56.273000,50
1,42,29.554000,47
1,43,38.613000,29
1,44,41.268000,31
1,45,23.960000,26
1,46,45.799000,36
1,47,48.557000,35
1,48,27.835000,29
2,1,21.819000,15
2,2,11.411000,7
2,3,7.312000,7
2,4,9.347000,7
2,5,11.625000,7
2,6,12.036000,8
2,7,33.337000,29
2,8,15.980000,28
2,9,2.412000,7
2,10,33.337000,28
2,11,7.392000,7
2,12,4.383000,6
2,13,11.379000,8
2,14,11.180000,7
2,15,9.692000,7
2,16,13.773000,10
2,17,10.584000,7
2,18,26.514000,35
2,19,15.524000,9
2,20,11.520000,8
2,21,9.765000,7
2,22,11.048000,7
2,23,12.312000,8
2,24,8.456000,7
2,25,34.542000,31
2,26,16.212000,28
2,27,4.732000,28
2,28,41.364000,37
2,29,4.858000,5
2,30,4.184000,7
2,31,7.926000,5
2,32,29.624000,32
2,33,5.695000,6
2,34,32.441000,28
2,35,8.531000,7
2,36,4.432000,6
2,37,10.097000,6
2,38,10.594000,6
2,39,12.027000,7
2,40,35.855000,35
2,41,9.905000,13
2,42,5.254000,13
2,43,10.093000,6
2,44,8.638000,6
2,45,7.910000,7
2,46,46.446000,42
2,47,8.303000,32
2,48,1.077000,6
3,1,14.235000,12
3,2,12.301000,8
3,3,11.174000,6
3,4,11.859000,7
3,5,12.139000,7
3,6,10.980000,7
3,7,12.250000,9
3,8,13.343000,9
3,9,23.712000,31
3,10,12.250000,9
3,11,29.032000,27
3,12,14.377000,34
3,13,27.056000,29
3,14,10.579000,8
3,15,7.066000,7
3,16,12.663000,9
3,17,28.762000,31
3,18,7.433000,9
3,19,10.476000,7
3,20,14.339000,8
3,21,10.985000,7
3,22,9.614000,6
3,23,6.341000,7
3,24,10.611000,7
3,25,12.239000,9
3,26,12.416000,9
3,27,13.130000,9
3,28,11.844000,9
3,29,31.103000,33
3,30,6.424000,6
3,31,10.474000,6
3,32,12.312000,14
3,33,26.576000,36
3,34,12.268000,8
3,35,31.073000,35
3,36,12.027000,31
3,37,26.868000,32
3,38,10.099000,7
3,39,14.840000,31
3,40,12.031000,8
3,41,13.917000,12
3,42,14.660000,12
3,43,26.602000,30
3,44,22.505000,29
3,45,6.359000,32
3,46,12.242000,9
3,47,12.367000,9
3,48,10.421000,6
4,1,14.992000,12
4,2,30.030000,35
4,3,1.230000,7
4,4,8.912000,6
4,5,7.439000,7
4,6,26.837000,31
4,7,11.800000,9
4,8,10.054000,9
4,9,10.238000,9
4,10,12.751000,9
4,11,11.197000,9
4,12,12.899000,9
4,13,12.752000,9
4,14,8.318000,6
4,15,8.602000,7
4,16,12.756000,9
4,17,11.198000,9
4,18,10.472000,9
4,19,14.049000,7
4,20,10.981000,7
4,21,17.183000,27
4,22,11.121000,7
4,23,6.088000,7
4,24,22.679000,27
4,25,11.146000,9
4,26,6.652000,9
4,27,11.752000,9
4,28,12.838000,9
4,29,11.752000,9
4,30,7.140000,6
4,31,34.134000,38
4,32,7.887000,8
4,33,4.197000,8
4,34,13.471000,8
4,35,12.841000,8
4,36,9.471000,8
4,37,13.453000,8
4,38,27.411000,34
4,39,2.687000,8
4,40,13.465000,8
4,41,11.250000,8
4,42,10.453000,8
4,43,13.930000,12
4,44,16.673000,12
4,45,10.054000,13
4,46,12.743000,9
4,47,10.828000,9
4,48,8.115000,6
5,1,9.593000,10
5,2,6.108000,8
5,3,29.587000,33
5,4,10.357000,6
5,5,5.236000,6
5,6,14.449000,9
5,7,12.464000,9
5,8,4.938000,9
5,9,12.876000,9
5,10,13.479000,9
5,11,12.737000,9
5,12,8.779000,9
5,13,13.097000,9
5,14,26.927000,31
5,15,3.221000,7
5,16,14.343000,9
5,17,13.517000,9
5,18,9.870000,9
5,19,11.285000,8
5,20,26.433000,30
5,21,4.853000,9
5,22,25.471000,28
5,23,21.795000,28
5,24,1.135000,9
5,25,13.945000,9
5,26,14.336000,9
5,27,9.488000,9
5,28,13.959000,9
5,29,14.328000,8
5,30,7.525000,6
5,31,13.461000,8
5,32,11.554000,8
5,33,8.447000,8
5,34,14.339000,12
5,35,16.771000,14
5,36,10.068000,13
5,37,14.529000,12
5,38,16.071000,13
5,39,10.756000,13
5,40,15.320000,13
5,41,13.504000,8
5,42,9.270000,8
5,43,13.464000,8
5,44,13.579000,8
5,45,8.911000,8
5,46,13.581000,9
5,47,11.778000,9
5,48,6.987000,6
6,1,11.936000,10
6,2,5.543000,8
6,3,13.342000,8
6,4,30.658000,30
6,5,8.743000,7
6,6,9.474000,14
6,7,13.755000,8
6,8,10.416000,8
6,9,10.263000,9
6,10,13.750000,9
6,11,13.000000,9
6,12,11.652000,9
6,13,14.619000,9
6,14,14.011000,9
6,15,11.477000,10
6,16,13.762000,9
6,17,11.901000,9
6,18,11.139000,9
6,19,10.684000,7
6,20,6.225000,9
6,21,15.353000,9
6,22,14.612000,9
6,23,16.145000,9
6,24,10.618000,9
6,25,14.411000,9
6,26,15.059000,8
6,27,10.309000,8
6,28,15.319000,12
6,29,14.420000,9
6,30,17.418000,33
6,31,14.416000,11
6,32,18.046000,12
6,33,9.226000,13
6,34,16.767000,14
6,35,24.975000,18
6,36,9.685000,19
6,37,19.376000,18
6,38,23.798000,18
6,39,8.778000,15
6,40,15.836000,12
6,41,15.477000,11
6,42,10.500000,9
6,43,21.262000,22
6,44,13.471000,8
6,45,10.003000,8
6,46,13.040000,8
6,47,16.067000,16
6,48,7.340000,6
7,1,13.864000,11
7,2,19.467000,13
7,3,11.894000,8
7,4,14.780000,8
7,5,43.781000,33
7,6,8.723000,8
7,7,12.544000,8
7,8,14.849000,10
7,9,15.196000,9
7,10,18.078000,12
7,11,14.389000,9
7,12,15.076000,12
7,13,16.965000,12
7,14,17.660000,12
7,15,25.346000,32
7,16,16.962000,9
7,17,22.238000,13
7,18,12.965000,8
7,19,33.312000,28
7,20,11.184000,8
7,21,11.639000,8
7,22,20.105000,14
7,23,17.887000,11
7,24,13.505000,9
7,25,15.769000,9
7,26,32.506000,24
7,27,12.395000,15
7,28,26.492000,19
7,29,30.205000,22
7,30,13.818000,20
7,31,29.692000,20
7,32,40.491000,35
7,33,3.835000,25
7,34,40.191000,29
7,35,18.957000,15
7,36,10.282000,12
7,37,22.923000,16
7,38,24.360000,16
7,39,22.514000,22
7,40,39.961000,25
7,41,26.088000,22
7,42,5.143000,17
7,43,24.711000,18
7,44,21.540000,13
7,45,12.042000,10
7,46,15.791000,8
7,47,20.850000,13
7,48,11.471000,7
8,1,18.436000,21
8,2,20.789000,16
8,3,10.244000,16
8,4,13.292000,10
8,5,11.176000,8
8,6,14.114000,13
8,7,11.484000,7
8,8,5.454000,7
8,9,9.459000,8
8,10,13.407000,8
8,11,8.638000,8
8,12,11.308000,8
8,13,13.956000,8
8,14,12.725000,8
8,15,10.587000,8
8,16,13.981000,8
8,17,12.671000,8
8,18,11.366000,8
8,19,13.952000,12
8,20,11.056000,8
8,21,11.956000,9
8,22,14.753000,10
8,23,16.945000,13
8,24,15.112000,15
8,25,19.402000,17
8,26,26.826000,21
8,27,6.904000,14
8,28,18.627000,16
8,29,20.184000,14
8,30,8.959000,12
8,31,12.497000,9
8,32,20.989000,22
8,33,15.904000,21
8,34,23.930000,21
8,35,22.408000,21
8,36,8.592000,21
8,37,11.445000,8
8,38,19.793000,21
8,39,16.628000,21
8,40,20.629000,21
8,41,15.379000,12
8,42,15.350000,18
8,43,16.067000,12
8,44,23.459000,19
8,45,10.948000,14
8,46,12.551000,9
8,47,15.910000,13
8,48,10.275000,7
9,1,14.380000,11
9,2,21.954000,24
9,3,9.638000,12
9,4,19.345000,17
9,5,15.374000,13
9,6,10.144000,14
9,7,15.892000,11
9,8,13.855000,10
9,9,9.564000,9
9,10,28.251000,28
9,11,8.093000,8
9,12,7.842000,8
9,13,13.461000,8
9,14,10.231000,8
9,15,19.530000,26
9,16,13.453000,10
9,17,11.502000,9
9,18,12.948000,11
9,19,18.565000,14
9,20,17.440000,13
9,21,9.252000,15
9,22,16.663000,14
9,23,23.295000,20
9,24,9.905000,22
9,25,32.075000,28
9,26,13.371000,14
9,27,7.871000,17
9,28,23.688000,22
9,29,19.977000,21
9,30,9.101000,26
9,31,10.170000,7
9,32,10.859000,11
9,33,11.000000,7
9,34,13.438000,11
9,35,8.283000,7
9,36,10.074000,7
9,37,12.778000,7
9,38,7.965000,7
9,39,10.456000,7
9,40,10.636000,7
9,41,7.479000,7
9,42,8.612000,7
9,43,23.810000,21
9,44,17.950000,21
9,45,8.096000,21
9,46,15.148000,13
9,47,12.015000,9
9,48,8.163000,6
10,1,8.427000,9
10,2,24.463000,20
10,3,12.220000,14
10,4,17.290000,13
10,5,17.064000,13
10,6,10.572000,12
10,7,14.630000,12
10,8,17.133000,12
10,9,12.662000,14
10,10,19.547000,15
10,11,18.793000,15
10,12,10.481000,14
10,13,19.569000,15
10,14,18.754000,15
10,15,9.026000,12
10,16,19.542000,15
10,17,17.049000,13
10,18,10.314000,13
10,19,16.070000,13
10,20,28.994000,30
10,21,5.066000,18
10,22,18.685000,14
10,23,15.512000,13
10,24,14.549000,24
10,25,12.591000,9
10,26,22.606000,22
10,27,8.508000,7
10,28,13.332000,11
10,29,13.771000,11
10,30,11.847000,11
10,31,11.117000,7
10,32,13.946000,11
10,33,11.123000,7
10,34,13.711000,11
10,35,11.150000,7
10,36,11.269000,7
10,37,12.198000,7
10,38,9.005000,7
10,39,10.561000,7
10,40,11.460000,7
10,41,9.121000,7
10,42,9.585000,7
10,43,10.841000,7
10,44,15.078000,11
10,45,10.251000,8
10,46,12.227000,11
10,47,12.707000,9
10,48,21.132000,32
11,1,17.888000,18
11,2,17.045000,14
11,3,17.984000,28
11,4,24.197000,21
11,5,12.840000,13
11,6,11.326000,13
11,7,15.169000,12
11,8,26.881000,25
11,9,11.142000,25
11,10,25.243000,24
11,11,22.958000,24
11,12,6.570000,28
11,13,25.662000,24
11,14,20.999000,23
11,15,6.023000,26
11,16,17.539000,14
11,17,13.774000,12
11,18,11.064000,12
11,19,13.426000,10
11,20,11.978000,9
11,21,12.499000,9
11,22,18.684000,15
11,23,21.212000,23
11,24,7.354000,8
11,25,9.931000,7
11,26,10.848000,8
11,27,7.750000,7
11,28,15.168000,10
11,29,19.879000,17
11,30,13.006000,17
11,31,11.555000,7
11,32,9.104000,7
11,33,9.861000,7
11,34,10.531000,7
11,35,9.808000,7
11,36,9.950000,7
11,37,11.537000,7
11,38,10.966000,7
11,39,11.540000,7
11,40,11.535000,7
11,41,30.427000,28
11,42,6.359000,7
11,43,11.807000,10
11,44,18.351000,16
11,45,18.624000,21
11,46,14.243000,12
11,47,17.969000,15
11,48,11.891000,14
12,1,12.151000,16
12,2,16.554000,15
12,3,10.635000,11
12,4,9.898000,7
12,5,21.399000,21
12,6,7.909000,8
12,7,24.957000,22
12,8,21.934000,25
12,9,4.803000,23
12,10,21.617000,21
12,11,20.519000,22
12,12,8.326000,23
12,13,25.164000,23
12,14,21.579000,24
12,15,4.086000,23
12,16,13.247000,11
12,17,24.984000,26
12,18,11.252000,23
12,19,10.705000,8
12,20,9.799000,8
12,21,20.853000,22
12,22,25.165000,21
12,23,10.060000,8
12,24,12.882000,19
12,25,26.836000,21
12,26,13.419000,8
12,27,6.849000,7
12,28,20.237000,18
12,29,14.638000,16
12,30,14.057000,21
12,31,10.134000,7
12,32,11.658000,7
12,33,10.734000,7
12,34,9.588000,7
12,35,11.545000,7
12,36,9.099000,7
12,37,9.489000,7
12,38,9.667000,7
12,39,10.160000,7
12,40,11.536000,7
12,41,14.178000,10
12,42,10.341000,7
12,43,14.932000,10
12,44,12.537000,10
12,45,19.709000,23
12,46,11.546000,8
12,47,11.611000,8
12,48,16.105000,14
13,1,9.843000,10
13,2,15.059000,16
13,3,12.966000,11
13,4,11.471000,7
13,5,20.817000,17
13,6,17.128000,29
13,7,10.360000,8
13,8,20.956000,20
13,9,14.941000,23
13,10,22.259000,24
13,11,19.841000,22
13,12,9.303000,21
13,13,21.019000,21
13,14,21.932000,22
13,15,10.322000,22
13,16,25.602000,23
13,17,15.575000,20
13,18,4.974000,8
