iteration,objective,r_norm,s_norm,rho,eff_time_this_k,cum_eff_time,max_sp_time_this_k,mean_ipopt_iters_this_k
1,4301.475389,1.3413263585e-03,7.1971383301e-01,5000.00,62.3330,62.3330,62.3330,31.04
2,4299.555310,1.3472260703e-03,8.4348116716e-01,5000.00,39.3840,101.7170,39.3840,13.44
3,4299.555628,1.3386694385e-03,9.0261167368e-01,5000.00,42.0320,143.7490,42.0320,12.29
4,4299.568363,1.3267805896e-03,1.0170225822e+00,5000.00,36.4010,180.1500,36.4010,12.44
5,4299.555147,1.3193112397e-03,1.1135275426e+00,5000.00,35.0240,215.1740,35.0240,12.92
6,4299.555092,1.3150643469e-03,1.3502592884e+00,10000.00,28.8020,243.9760,28.8020,10.56
7,4299.554609,1.3101315197e-03,1.6038849028e+00,10000.00,33.1110,277.0870,33.1110,10.56
8,4332.628056,1.2877736642e-03,1.8553832361e+00,10000.00,27.4660,304.5530,27.4660,10.15
9,4562.851253,1.2071205927e-03,1.6474665099e+00,10000.00,21.5710,326.1240,21.5710,10.85
10,4846.776514,1.1276051430e-03,1.6629189598e+00,10000.00,21.5510,347.6750,21.5510,11.06
11,5262.609132,1.0162944164e-03,1.7956235948e+00,20000.00,28.0020,375.6770,28.0020,13.65
12,5849.334006,8.8150661747e-04,1.8295168552e+00,20000.00,30.9510,406.6280,30.9510,13.60
13,6694.260037,6.7767650767e-04,1.7871017620e+00,20000.00,30.9490,437.5770,30.9490,12.17
14,7551.530365,4.6609545975e-04,1.7920901414e+00,20000.00,26.5270,464.1040,26.5270,12.60
15,8079.444908,2.9114109580e-04,1.8519757324e+00,20000.00,24.3890,488.4930,24.3890,11.42
16,8267.490145,2.1972067440e-04,1.8616336704e+00,5000.00,27.0560,515.5490,27.0560,12.52
17,8303.395532,1.8528046499e-04,1.8655137113e+00,5000.00,24.5750,540.1240,24.5750,12.42
18,8380.410626,1.0060715611e-04,1.8601819371e+00,5000.00,25.7970,565.9210,25.7970,11.00
19,8391.461268,7.1084773034e-05,1.8415415676e+00,5000.00,25.2700,591.1910,25.2700,10.52
20,8360.691940,7.2793600431e-05,1.8012893137e+00,5000.00,23.2210,614.4120,23.2210,10.52
21,8270.923943,1.4186834934e-04,1.7598394826e+00,1250.00,25.5680,639.9800,25.5680,13.85
22,8237.351592,1.4055988804e-04,1.5957940760e+00,1250.00,28.7620,668.7420,28.7620,13.79
23,8230.458891,1.5114922044e-04,1.1249800670e+00,1250.00,33.2880,702.0300,33.2880,15.38
24,8223.991580,1.6061083996e-04,7.0506253985e-01,1250.00,31.9460,733.9760,31.9460,16.56
25,8226.285939,1.6779799216e-04,5.0903896492e-01,1250.00,36.9480,770.9240,36.9480,17.12
26,8302.475205,2.2539082499e-04,2.7336234411e-01,312.50,32.3980,803.3220,32.3980,15.58
27,8381.783314,2.3004850209e-04,1.1076108934e-01,312.50,31.3590,834.6810,31.3590,15.31
28,8387.193488,1.8508595028e-04,4.8258601191e-02,312.50,32.4730,867.1540,32.4730,15.54
29,8393.391948,1.5031019700e-04,4.0364635908e-02,312.50,35.5200,902.6740,35.5200,15.60
30,8370.224335,1.2772027262e-04,3.4945747527e-02,312.50,38.3840,941.0580,38.3840,15.73
31,8278.300157,1.7942287376e-04,2.3388538054e-02,78.12,33.1210,974.1790,33.1210,15.96
32,8229.429305,1.8263743206e-04,1.4639614466e-02,78.12,37.9420,1012.1210,37.9420,16.38
33,8234.387658,1.4508405127e-04,1.3043275641e-02,78.12,40.9950,1053.1160,40.9950,16.27
34,8257.935736,1.1776447528e-04,1.2259549701e-02,78.12,34.2990,1087.4150,34.2990,16.31
35,8280.006432,1.2583501869e-04,7.7541708360e-03,78.12,34.0910,1121.5060,34.0910,15.50
36,8316.156576,2.0602067995e-04,3.7391279208e-03,19.53,35.0290,1156.5350,35.0290,15.69
37,8318.169644,2.0856937505e-04,1.0778652405e-03,19.53,33.2600,1189.7950,33.2600,16.25
38,8318.417538,1.7110210157e-04,1.7359862389e-03,19.53,33.1880,1222.9830,33.1880,16.06
39,8305.509862,1.3456213121e-04,1.9662878180e-03,19.53,31.6750,1254.6580,31.6750,16.00
40,8291.500534,1.1464034846e-04,1.6087017002e-03,19.53,38.2070,1292.8650,38.2070,16.50
41,8255.446675,1.4003741869e-04,9.8917063865e-04,4.88,34.0830,1326.9480,34.0830,15.88
42,8240.145301,1.4983198856e-04,3.3673968020e-04,4.88,36.9870,1363.9350,36.9870,16.17
