iteration,subproblem,solve_time_sec,ipopt_iters
1,1,85.530000,50
1,2,56.479000,31
1,3,24.920000,27
1,4,56.727000,30
1,5,67.339000,37
1,6,31.858000,30
1,7,59.522000,31
1,8,63.759000,35
1,9,27.507000,33
1,10,65.251000,35
1,11,57.700000,31
1,12,38.341000,38
1,13,67.116000,35
1,14,55.650000,30
1,15,29.427000,30
1,16,74.526000,41
1,17,52.702000,30
1,18,31.856000,31
1,19,51.399000,24
1,20,51.502000,27
1,21,36.741000,27
1,22,53.249000,26
1,23,53.409000,28
1,24,37.546000,28
1,25,53.244000,26
1,26,46.658000,24
1,27,34.331000,23
1,28,37.725000,18
1,29,37.141000,20
1,30,47.481000,21
1,31,44.215000,22
1,32,42.596000,24
1,33,44.074000,24
1,34,71.658000,38
1,35,55.966000,29
1,36,32.718000,31
1,37,59.523000,32
1,38,57.747000,31
1,39,36.286000,33
1,40,49.531000,26
1,41,82.268000,50
1,42,28.413000,47
1,43,55.372000,29
1,44,57.265000,31
1,45,30.414000,26
1,46,71.663000,36
1,47,62.680000,35
1,48,28.322000,29
2,1,28.226000,15
2,2,13.447000,7
2,3,9.139000,7
2,4,12.522000,7
2,5,13.590000,7
2,6,12.144000,8
2,7,38.600000,29
2,8,23.160000,28
2,9,4.813000,7
2,10,38.591000,28
2,11,10.019000,7
2,12,6.360000,6
2,13,15.726000,8
2,14,13.274000,7
2,15,13.502000,7
2,16,19.272000,10
2,17,13.280000,7
2,18,24.978000,35
2,19,23.127000,9
2,20,13.329000,8
2,21,12.645000,7
2,22,14.488000,7
2,23,15.784000,8
2,24,11.945000,7
2,25,41.388000,31
2,26,23.893000,28
2,27,6.652000,28
2,28,52.671000,37
2,29,5.694000,5
2,30,5.425000,7
2,31,11.322000,5
2,32,40.448000,32
2,33,8.155000,6
2,34,39.934000,28
2,35,11.702000,7
2,36,8.459000,6
2,37,13.346000,6
2,38,13.696000,6
2,39,13.451000,7
2,40,52.617000,35
2,41,9.966000,13
2,42,4.860000,13
2,43,14.459000,6
2,44,12.435000,6
2,45,13.432000,7
2,46,58.449000,42
2,47,14.320000,32
2,48,1.997000,6
3,1,17.131000,12
3,2,12.678000,8
3,3,12.212000,6
3,4,14.247000,7
3,5,8.340000,7
3,6,12.010000,7
3,7,15.830000,9
3,8,11.181000,9
3,9,31.760000,31
3,10,13.715000,9
3,11,26.093000,27
3,12,27.229000,34
3,13,26.980000,29
3,14,12.050000,8
3,15,11.517000,7
3,16,15.385000,9
3,17,36.928000,31
3,18,9.990000,9
3,19,12.915000,7
3,20,8.732000,8
3,21,13.265000,7
3,22,12.884000,6
3,23,6.432000,7
3,24,10.987000,7
3,25,15.879000,9
3,26,14.149000,9
3,27,12.466000,9
3,28,15.827000,9
3,29,37.063000,33
3,30,6.823000,6
3,31,11.639000,6
3,32,12.679000,14
3,33,38.702000,36
3,34,16.214000,8
3,35,38.784000,35
3,36,14.151000,31
3,37,32.415000,32
3,38,11.355000,7
3,39,19.157000,31
3,40,13.959000,8
3,41,14.610000,12
3,42,16.260000,12
3,43,33.530000,30
3,44,29.098000,29
3,45,7.087000,32
3,46,15.384000,9
3,47,14.149000,9
3,48,10.353000,6
4,1,21.084000,12
4,2,37.144000,34
4,3,4.848000,6
4,4,15.717000,6
4,5,9.684000,7
4,6,33.930000,31
4,7,19.654000,9
4,8,19.818000,9
4,9,12.866000,9
4,10,18.584000,9
4,11,14.756000,9
4,12,15.739000,9
4,13,18.553000,9
4,14,40.719000,32
4,15,4.095000,7
4,16,19.360000,9
4,17,16.881000,9
4,18,12.665000,9
4,19,59.453000,40
