# tADMM live log — ieee2552C_1ph T=48, ρ_init=10000.0, adaptive=true
# k, objective, r_norm, s_norm, rho, sp_max, sp_med, elapsed_s, event
# tADMM live log — ieee2552C_1ph T=48, ρ_init=10000.0, adaptive=true
# k, objective, r_norm, s_norm, rho, sp_max, sp_med, elapsed_s, event
1,4431.773402,1.3256625416e-03,2.1419797386e+00,10000.00,54.7200,33.7125,131.75,
2,4299.554982,1.3546110713e-03,2.2309284028e+00,10000.00,34.6570,8.3835,178.68,
3,4299.576226,1.3331398985e-03,2.2788671829e+00,10000.00,20.2300,8.1955,219.22,
4,4299.554541,1.3326070366e-03,2.1693782204e+00,10000.00,30.2760,10.2875,261.45,
5,4299.558195,1.3256755965e-03,2.2564150245e+00,20000.00,17.9370,8.3770,295.23,
6,4569.440717,1.2120772996e-03,2.7907060301e+00,20000.00,22.7320,8.3780,331.76,
7,5181.833433,1.0447099181e-03,3.3333599113e+00,20000.00,34.9090,13.4170,392.23,
8,5767.288290,9.0348011725e-04,3.7113445330e+00,20000.00,23.6510,12.5830,447.59,
9,6500.100537,7.1949600207e-04,2.8767985559e+00,20000.00,29.7270,11.4610,496.58,
10,7401.483714,5.0003735183e-04,2.2858033546e+00,4000.00,22.2210,11.2880,544.24,
11,7790.044884,4.1180311222e-04,1.9806505960e+00,4000.00,26.9170,15.4740,604.53,
12,7803.662465,4.0068561532e-04,1.7912342097e+00,4000.00,25.1060,13.3570,663.75,
13,7833.485768,3.8663418577e-04,1.7393891154e+00,4000.00,30.8770,13.1330,722.01,
14,7866.341474,3.6170440271e-04,1.6799153476e+00,4000.00,21.2560,10.6875,771.83,
15,7967.818045,3.0949996955e-04,1.6434535431e+00,800.00,22.0440,10.3720,821.25,
16,7904.050354,3.0168263977e-04,1.5554718011e+00,800.00,32.7320,16.7505,886.56,
17,7913.196072,2.9672307500e-04,9.5680485613e-01,800.00,27.2510,14.0100,947.51,
18,7917.512263,2.7911131133e-04,5.7858069065e-01,800.00,20.8820,10.1390,997.35,
19,7930.493878,2.4072221095e-04,4.1134414688e-01,800.00,24.6230,13.0605,1057.10,
20,7938.438459,2.1279291013e-04,3.0069379220e-01,160.00,39.0850,15.4030,1128.66,
21,8043.561302,3.4539216843e-04,1.3303584243e-01,160.00,32.4670,13.5005,1191.85,
22,8111.226022,3.4868991162e-04,4.2282256414e-02,160.00,39.8090,13.5245,1254.34,
23,8139.553276,2.9089358826e-04,3.0174837774e-02,160.00,35.4110,14.5600,1323.64,
24,8151.523256,2.6403217805e-04,3.0627085735e-02,160.00,30.7980,13.4735,1389.08,
25,8145.608334,2.2731916117e-04,3.0567649322e-02,32.00,28.7990,11.2915,1441.02,
26,8147.231928,3.5612127710e-04,1.8270965005e-02,32.00,38.0030,13.2025,1508.59,
27,8150.404707,3.8537660518e-04,6.2269010597e-03,32.00,40.0380,15.6000,1584.34,
28,8157.052508,3.2654939018e-04,5.1754267250e-03,32.00,35.9910,12.2845,1642.28,
29,8158.806426,2.6978605456e-04,6.9963063540e-03,32.00,40.4650,13.6935,1709.07,
30,8142.736138,2.4133802074e-04,5.9128443355e-03,6.40,42.8380,13.3690,1784.14,
31,8136.480841,3.7917511607e-04,2.8903377109e-03,6.40,39.7010,13.5720,1843.86,
32,8125.319993,3.7416544852e-04,6.9805105652e-04,6.40,28.3180,10.1450,1895.13,
# CONVERGED at k=32 (r=3.74e-04 <= 1.00e-03, s=6.98e-04 <= 1.00e-03)
# Final objective: $8125.319993
