# tADMM live log — ieee2552C_1ph T=96, ρ_init=15000.0, adaptive=true
# k, objective, r_norm, s_norm, rho, sp_max, sp_med, elapsed_s, event
# tADMM live log — ieee2552C_1ph T=96, ρ_init=15000.0, adaptive=true
# k, objective, r_norm, s_norm, rho, sp_max, sp_med, elapsed_s, event
1,4400.062825,6.6608387969e-04,6.2128257600e-01,15000.00,50.3080,29.8370,223.36,
2,4390.125304,6.6802677356e-04,1.2141709219e+00,15000.00,47.0940,19.0820,372.62,
3,4323.965059,6.7185306135e-04,1.2761164904e+00,15000.00,33.8600,9.7950,464.53,
4,4323.964631,6.6701989924e-04,1.2477613645e+00,15000.00,37.6610,9.5440,553.22,
5,4323.964824,6.6675260113e-04,1.2425622476e+00,3750.00,29.5280,9.7755,633.66,
6,4323.964264,6.6525491860e-04,1.1404442830e+00,3750.00,29.2200,10.2135,713.91,
7,4323.964313,6.6210671978e-04,1.0586008555e+00,3750.00,28.1810,10.3870,796.00,
8,4323.964160,6.5813845340e-04,7.8857410562e-01,3750.00,26.8550,10.5710,882.24,
9,4323.964315,6.5569914712e-04,6.3831298357e-01,3750.00,27.6080,10.5145,969.83,
10,4323.964043,6.5369852090e-04,5.9533495118e-01,937.50,27.5940,10.7565,1062.24,
11,4323.964272,6.5488969028e-04,3.8661612563e-01,937.50,38.7780,10.9470,1163.93,
12,4323.963856,6.5136034811e-04,2.4795411324e-01,937.50,42.2840,11.6000,1269.72,
13,4323.963834,6.4835836123e-04,1.9477899923e-01,937.50,39.8610,11.5820,1376.14,
14,4323.963833,6.4834330418e-04,1.5365954743e-01,937.50,34.6020,10.7275,1480.51,
15,4323.964414,6.4558465485e-04,1.3887997749e-01,234.38,34.0610,10.6490,1587.87,
16,4323.964239,6.4675235375e-04,1.0233018565e-01,234.38,35.1510,12.5920,1700.65,
17,4323.964246,6.4458827182e-04,6.4384280222e-02,234.38,35.9450,12.1175,1813.63,
18,4323.964266,6.4006257080e-04,5.6040554051e-02,234.38,37.9530,12.8195,1929.22,
19,4323.963893,6.4038478409e-04,4.6960147251e-02,234.38,35.6590,12.8120,2042.59,
20,4323.964563,6.3881597921e-04,4.0924660643e-02,58.59,37.2630,12.2940,2159.06,
21,4323.964293,6.4183482569e-04,3.3558785176e-02,58.59,36.7460,11.9025,2272.77,
22,4323.964366,6.4081197418e-04,2.4834558702e-02,58.59,41.9230,12.6445,2391.70,
23,4323.964753,6.3725003205e-04,1.9283282716e-02,58.59,36.8540,12.1585,2508.96,
24,4323.964536,6.4044452721e-04,1.5074749400e-02,58.59,36.6550,11.8120,2621.47,
25,4323.964078,6.3860353848e-04,1.2966791579e-02,14.65,37.2210,12.1325,2735.71,
26,4323.965308,6.4173225421e-04,9.7936629366e-03,14.65,39.6580,12.1610,2854.74,
27,4323.966100,6.4611407648e-04,5.7329281621e-03,14.65,39.5900,11.9435,2968.82,
28,4323.966192,6.4624932844e-04,4.5096745630e-03,14.65,45.0530,11.1830,3083.92,
29,4323.966047,6.4629671499e-04,3.8550875482e-03,14.65,37.8800,11.1930,3197.93,
30,4323.964835,6.4721344636e-04,3.3862049614e-03,3.66,41.2430,11.8630,3311.88,
31,4323.972053,6.4313935724e-04,2.5115746588e-03,3.66,42.7540,10.7430,3423.33,
32,4323.972943,6.4719591277e-04,1.4085340526e-03,3.66,40.7800,11.1545,3532.88,
33,4323.971297,6.5926029229e-04,1.1068731316e-03,3.66,42.6040,11.5495,3644.82,
34,4323.969729,6.4514434948e-04,9.6077240298e-04,3.66,38.9790,11.6460,3760.26,
35,4323.970754,6.5768577213e-04,8.5354695723e-04,3.66,44.3100,11.4980,3875.28,
36,4324.829661,6.5234457107e-04,7.3502705932e-04,3.66,37.7540,11.5295,3987.76,
37,4323.969897,6.6057468821e-04,7.8538075843e-04,3.66,39.4420,11.3590,4099.83,
38,4323.966954,6.4920112453e-04,6.9524458329e-04,3.66,39.0820,10.6585,4207.29,
39,4324.627266,7.6833932969e-04,1.2380519167e-03,3.66,37.9980,11.0655,4316.02,
40,4323.971441,6.7678753878e-04,7.8028488732e-04,3.66,38.3940,11.4190,4424.97,
41,4324.592065,6.7228411069e-04,6.6671228364e-04,3.66,38.1720,11.3415,4533.23,
42,4323.970159,6.7054703034e-04,5.7849753534e-04,3.66,35.0160,11.0730,4640.77,
43,4323.971575,6.6307506413e-04,5.1857044162e-04,3.66,39.9100,11.1290,4750.09,
44,4323.967778,6.6177974443e-04,5.0314375844e-04,3.66,36.4540,10.9150,4859.84,
45,4323.969855,6.6963449374e-04,4.8300888828e-04,3.66,38.8700,11.2920,4969.95,
# CONVERGED at k=45 (r=6.70e-04 <= 1.00e-03, s=4.83e-04 <= 5.00e-04)
# Final objective: $4323.969855
