iteration,objective,r_norm,s_norm,rho,eff_time_this_k,cum_eff_time,max_sp_time_this_k,mean_ipopt_iters_this_k
1,4389.851176,6.6715842596e-04,1.5356594424e+00,20000.00,41.3320,41.3320,41.3320,31.71
2,4323.964182,6.7426538498e-04,1.5623734953e+00,20000.00,35.6710,77.0030,35.6710,23.95
3,4323.964852,6.6872871251e-04,1.6226932657e+00,20000.00,35.1780,112.1810,35.1780,11.50
4,4323.964890,6.6852112011e-04,1.5364559505e+00,20000.00,37.2130,149.3940,37.2130,12.67
5,4323.976778,6.6679873548e-04,1.5977301821e+00,20000.00,31.1810,180.5750,31.1810,13.09
6,4368.207057,6.5323681237e-04,1.5311003052e+00,5000.00,40.2260,220.8010,40.2260,14.21
7,4413.011531,6.4401796637e-04,1.4259007452e+00,5000.00,39.4430,260.2440,39.4430,15.07
8,4488.246542,6.3009543357e-04,1.0655092975e+00,5000.00,38.5430,298.7870,38.5430,15.25
9,4545.792030,6.2041274268e-04,8.7105218271e-01,5000.00,34.9940,333.7810,34.9940,15.43
10,4625.908843,6.0732692698e-04,8.1891778335e-01,5000.00,40.4160,374.1970,40.4160,15.35
11,4678.130392,6.0395868394e-04,5.5168647518e-01,1250.00,41.8680,416.0650,41.8680,16.68
12,4698.469597,5.9628930265e-04,3.8257344918e-01,1250.00,54.2010,470.2660,54.2010,17.26
13,4714.760658,5.8952021905e-04,3.2441169073e-01,1250.00,40.7330,510.9990,40.7330,16.73
14,4731.194248,5.8626002293e-04,2.8475686289e-01,1250.00,33.0410,544.0400,33.0410,16.39
15,4747.540114,5.8136542924e-04,2.7060050055e-01,1250.00,37.4230,581.4630,37.4230,16.69
16,4802.310269,5.8032688429e-04,2.3465403630e-01,312.50,40.9350,622.3980,40.9350,17.70
17,4846.829821,5.7806196628e-04,1.9164901870e-01,312.50,36.8060,659.2040,36.8060,18.06
18,4859.679648,5.7179985707e-04,1.3891944829e-01,312.50,41.5590,700.7630,41.5590,18.77
19,4859.351205,5.6993858151e-04,1.1101120130e-01,312.50,44.5590,745.3220,44.5590,18.74
20,4851.778732,5.6925897602e-04,8.9914140129e-02,312.50,39.5920,784.9140,39.5920,19.11
21,4816.627173,5.8773225221e-04,5.9480276756e-02,78.12,43.2870,828.2010,43.2870,19.48
22,4799.803057,5.8298373431e-04,3.5620189433e-02,78.12,39.5110,867.7120,39.5110,19.24
23,4798.136525,5.7986949808e-04,2.4943548823e-02,78.12,44.3190,912.0310,44.3190,19.25
24,4802.898711,5.8028159321e-04,2.0735678243e-02,78.12,44.3030,956.3340,44.3030,19.41
25,4818.262066,5.7749808397e-04,1.9109042351e-02,78.12,38.1050,994.4390,38.1050,19.19
26,4828.471428,5.8775099700e-04,1.3976209205e-02,19.53,38.9900,1033.4290,38.9900,19.43
27,4828.750005,5.9280827055e-04,8.0548987456e-03,19.53,42.5130,1075.9420,42.5130,19.02
28,4827.591570,5.9113000383e-04,6.2692654466e-03,19.53,44.0400,1119.9820,44.0400,19.35
29,4826.677225,5.8745514567e-04,5.3291582161e-03,19.53,45.4750,1165.4570,45.4750,19.44
30,4826.408042,5.8193235004e-04,4.7955084538e-03,19.53,42.0070,1207.4640,42.0070,19.28
31,4826.343828,5.8221251464e-04,3.5124427002e-03,4.88,42.1860,1249.6500,42.1860,18.48
32,4826.416998,5.9395510687e-04,1.9349742591e-03,4.88,40.3860,1290.0360,40.3860,18.53
33,4826.318809,5.8854040564e-04,1.4797043896e-03,4.88,41.9310,1331.9670,41.9310,18.47
34,4826.431176,5.8874769004e-04,1.2891933107e-03,4.88,41.6990,1373.6660,41.6990,18.95
35,4826.284302,5.8063307539e-04,1.1978580479e-03,4.88,41.3750,1415.0410,41.3750,18.71
36,4826.306846,5.8731126292e-04,1.1506746763e-03,4.88,40.6880,1455.7290,40.6880,18.91
37,4826.388576,5.8262821343e-04,1.0809478846e-03,4.88,43.9860,1499.7150,43.9860,18.81
38,4826.278374,5.8695517289e-04,9.9826314569e-04,4.88,37.2430,1536.9580,37.2430,18.59
39,4826.398146,5.8675202738e-04,9.1094191403e-04,4.88,42.2450,1579.2030,42.2450,18.78
40,4826.399638,5.9247229018e-04,8.2453233866e-04,4.88,43.1800,1622.3830,43.1800,19.34
41,4826.389683,5.9531891963e-04,7.6095110180e-04,4.88,45.6720,1668.0550,45.6720,19.10
42,4826.341942,5.9801685754e-04,7.3325014133e-04,4.88,47.1370,1715.1920,47.1370,19.00
43,4826.323754,5.9952434624e-04,7.2777916434e-04,4.88,43.5090,1758.7010,43.5090,18.98
44,4826.398417,6.0608292068e-04,7.3669712350e-04,4.88,40.2150,1798.9160,40.2150,18.96
45,4826.407344,6.0714757886e-04,7.2800165970e-04,4.88,41.0240,1839.9400,41.0240,18.83
46,4826.412215,6.1017712514e-04,7.1288302315e-04,4.88,45.9580,1885.8980,45.9580,19.12
47,4826.418984,6.1219992569e-04,6.8743271155e-04,4.88,39.2470,1925.1450,39.2470,19.12
48,4826.406841,6.1587352950e-04,6.6530745792e-04,4.88,46.9100,1972.0550,46.9100,19.28
49,4826.419178,6.1815159932e-04,6.4417953469e-04,4.88,40.4760,2012.5310,40.4760,18.92
50,4826.424849,6.2014843222e-04,6.4061956019e-04,4.88,40.3010,2052.8320,40.3010,18.92
51,4826.418362,6.2153799386e-04,6.3184977628e-04,4.88,38.9060,2091.7380,38.9060,18.80
52,4826.294401,6.2384272596e-04,6.2950534515e-04,4.88,38.7110,2130.4490,38.7110,18.74
53,4826.419605,6.2143965917e-04,6.2160182033e-04,4.88,41.5190,2171.9680,41.5190,18.81
54,4826.438564,6.2064429299e-04,5.9578641914e-04,4.88,39.2430,2211.2110,39.2430,18.73
55,4826.362016,6.1526042840e-04,5.5528358441e-04,4.88,41.9400,2253.1510,41.9400,19.26
56,4826.423882,6.0971945349e-04,5.0856629971e-04,4.88,40.1700,2293.3210,40.1700,19.08
57,4826.418279,6.0593046151e-04,4.7670240253e-04,4.88,37.9010,2331.2220,37.9010,18.90
