iteration,subproblem,solve_time_sec,ipopt_iters
1,1,201.58400011062622,124
1,2,203.8510000705719,122
1,3,181.72800016403198,99
1,4,186.55800008773804,108
1,5,224.8510000705719,167
1,6,288.2940001487732,371
1,7,220.93300008773804,155
1,8,156.08100008964539,70
1,9,156.72900009155273,72
1,10,159.85899996757507,75
1,11,146.36600017547607,67
1,12,278.7350001335144,330
2,1,18.828999996185303,9
2,2,23.32200002670288,12
2,3,23.032999992370605,11
2,4,23.330000162124634,13
2,5,23.733999967575073,15
2,6,22.21399998664856,10
2,7,21.45699977874756,11
2,8,19.82800006866455,8
2,9,19.223000049591064,7
2,10,18.33799982070923,7
2,11,23.266000032424927,12
2,12,21.653000116348267,11
3,1,15.419000148773193,7
3,2,18.325999975204468,7
3,3,18.983999967575073,8
3,4,18.990000009536743,8
3,5,17.70299983024597,7
3,6,19.09500002861023,7
3,7,18.348000049591064,7
3,8,17.60199999809265,6
3,9,17.48800015449524,6
3,10,18.336999893188477,6
3,11,19.01200008392334,9
3,12,22.677000045776367,19
4,1,17.179999828338623,7
4,2,17.664999961853027,6
4,3,18.549000024795532,6
4,4,20.596999883651733,15
4,5,18.563999891281128,6
4,6,18.477999925613403,6
4,7,18.619999885559082,6
4,8,17.699000120162964,5
4,9,17.97699999809265,5
4,10,17.630000114440918,5
4,11,20.283999919891357,10
4,12,22.136000156402588,15
5,1,14.205999851226807,6
5,2,18.063999891281128,6
5,3,18.868000030517578,6
5,4,19.532999992370605,10
5,5,18.894999980926514,6
5,6,17.382999897003174,6
5,7,17.657999992370605,6
5,8,18.313999891281128,6
5,9,17.233999967575073,5
5,10,16.26200008392334,5
5,11,19.699999809265137,9
5,12,22.448000192642212,15
6,1,16.252000093460083,6
6,2,19.657999992370605,8
6,3,20.76900005340576,14
6,4,19.83400011062622,10
6,5,18.158999919891357,6
6,6,20.236999988555908,11
6,7,17.483999967575073,6
6,8,16.177000045776367,5
6,9,16.76900005340576,6
6,10,16.430000066757202,6
6,11,19.744999885559082,10
6,12,23.391000032424927,16
7,1,16.14199995994568,6
7,2,21.856000185012817,11
7,3,20.55900001525879,10
7,4,20.872999906539917,10
7,5,21.335999965667725,11
7,6,21.555999994277954,10
7,7,18.497999906539917,8
7,8,17.36400008201599,6
7,9,19.115999937057495,6
7,10,16.77300000190735,6
7,11,20.85800004005432,9
7,12,25.15000009536743,17
8,1,24.651999950408936,9
8,2,24.996000051498413,9
8,3,26.91100001335144,10
8,4,25.57200002670288,10
8,5,26.44599986076355,9
8,6,27.361999988555908,12
8,7,26.703999996185303,10
8,8,26.55900001525879,10
8,9,22.334999799728394,6
8,10,21.578999996185303,6
8,11,27.35099983215332,12
8,12,29.661999940872192,14
9,1,24.973000049591064,9
9,2,29.51799988746643,13
9,3,28.45900011062622,10
9,4,29.65499997138977,12
9,5,28.503999948501587,11
9,6,30.57099986076355,12
9,7,24.002000093460083,7
9,8,24.346999883651733,6
9,9,29.310999870300293,11
9,10,26.1010000705719,8
9,11,32.526000022888184,16
9,12,35.3989999294281,15
10,1,42.39999985694885,13
10,2,41.164000034332275,16
10,3,39.48799991607666,12
