iteration,objective,r_norm,s_norm,rho,eff_time_this_k,cum_eff_time,max_sp_time_this_k,mean_ipopt_iters_this_k
1,499933.808031,3.2122248069e-01,1.8071195475e+02,500.00,186.6020,186.6020,186.6020,50.00
2,3176971.262960,1.0136747584e-01,5.1204700010e+01,500.00,156.3710,342.9730,156.3710,44.67
3,3028553.730757,5.6667147398e-02,4.3041949327e+01,500.00,76.8130,419.7860,76.8130,17.58
4,3070643.013879,2.2625976706e-02,1.8301263571e+01,500.00,62.5920,482.3780,62.5920,14.83
5,3130213.902047,7.0934984038e-02,2.5850521770e+01,500.00,67.9970,550.3750,67.9970,16.67
6,3061581.874378,4.0738227833e-02,9.3236253934e+00,500.00,33.0600,583.4350,33.0600,13.17
7,3052458.506806,1.0135553219e-02,8.3863389287e+00,500.00,25.5000,608.9350,25.5000,12.75
8,3044615.530509,1.9552578068e-06,8.3746014006e+00,500.00,26.8980,635.8330,26.8980,13.83
9,3040019.260918,1.4849057255e-06,8.3564914452e+00,500.00,25.3090,661.1420,25.3090,13.25
10,3035511.369104,1.4994134030e-06,8.2558606730e+00,500.00,27.9080,689.0500,27.9080,13.42
11,3017722.558600,5.9894665744e-05,7.2376363009e+00,100.00,33.8740,722.9240,33.8740,15.83
12,3003954.042979,1.4447487542e-03,6.6697551161e+00,100.00,35.5490,758.4730,35.5490,15.67
13,2991987.248629,5.6939613405e-03,6.2592387756e+00,100.00,45.5250,803.9980,45.5250,16.75
14,2983313.469455,7.1979120021e-03,5.1853558883e+00,100.00,53.3010,857.2990,53.3010,19.50
15,2977512.495985,6.1760100048e-03,4.0850496139e+00,100.00,53.4310,910.7300,53.4310,19.58
16,2973001.418144,3.2033960870e-03,3.5319643668e+00,100.00,49.7080,960.4380,49.7080,18.17
17,2968904.411888,1.4084647180e-03,3.2943561949e+00,100.00,47.8450,1008.2830,47.8450,18.00
18,2965214.923555,1.1611909172e-03,3.1183036213e+00,100.00,49.6730,1057.9560,49.6730,18.50
19,2962132.159285,7.6743957586e-04,2.8636501279e+00,100.00,55.9850,1113.9410,55.9850,17.33
20,2959640.394267,5.1631005381e-04,2.5706113775e+00,100.00,73.5300,1187.4710,73.5300,17.67
21,2954408.279462,1.8360928365e-03,1.4407314726e+00,20.00,71.2260,1258.6970,71.2260,17.42
22,2952869.665723,9.3431991647e-04,8.2328902062e-01,20.00,69.3130,1328.0100,69.3130,15.83
23,2952096.087399,6.1748240490e-04,6.5333043547e-01,20.00,63.8180,1391.8280,63.8180,15.33
24,2951249.891494,1.1519994949e-03,6.4448613822e-01,20.00,65.9820,1457.8100,65.9820,15.42
25,2950130.109581,3.6368016015e-03,5.9517327516e-01,20.00,69.0630,1526.8730,69.0630,15.58
26,2948280.779615,5.4389412046e-03,5.0681354075e-01,20.00,83.3500,1610.2230,83.3500,18.83
27,2947254.527614,5.7278141032e-03,4.0372644061e-01,20.00,63.5760,1673.7990,63.5760,14.92
28,2947139.247727,5.6297848215e-03,2.7154624200e-01,20.00,63.3920,1737.1910,63.3920,14.50
29,2948016.699871,4.8537788884e-03,1.5368673457e-01,20.00,62.6350,1799.8260,62.6350,13.75
30,2949150.611433,3.2120644684e-03,7.9800763358e-02,20.00,58.0320,1857.8580,58.0320,13.42
31,2949916.485870,1.7805260378e-03,4.9175002402e-02,20.00,58.5310,1916.3890,58.5310,12.92
32,2950101.223704,9.8905798805e-04,3.0912205519e-02,20.00,66.5810,1982.9700,66.5810,14.17
33,2949961.949651,6.5815709702e-04,1.7096014269e-02,20.00,60.6360,2043.6060,60.6360,12.92
34,2949800.240066,4.0186163540e-04,1.0842619422e-02,20.00,60.2210,2103.8270,60.2210,13.33
35,2949739.053607,2.3862546086e-04,7.9452447909e-03,20.00,57.5920,2161.4190,57.5920,12.33
