iteration,objective,r_norm,s_norm,rho,eff_time_this_k,cum_eff_time,max_sp_time_this_k,mean_ipopt_iters_this_k
1,80044.502259,2.9066253842e-01,2.5926040082e+02,500.00,66.7080,66.7080,66.7080,30.00
2,663787.701471,3.1189177757e-01,9.3234779248e+01,500.00,61.1700,127.8780,61.1700,30.00
3,2798450.822143,1.6887462777e-01,6.8370552065e+01,500.00,53.1660,181.0440,53.1660,29.08
4,3966805.314868,2.9594406994e-01,6.8365416807e+01,500.00,41.8270,222.8710,41.8270,18.75
5,3519971.793970,1.6534603147e-01,8.5980499169e+00,500.00,31.1300,254.0010,31.1300,13.17
6,3063614.702682,1.1175573869e-02,8.3873604407e+00,500.00,31.6670,285.6680,31.6670,12.33
7,3052868.522821,3.2872749849e-06,8.3869725262e+00,500.00,27.0210,312.6890,27.0210,9.83
8,3048237.215307,1.4934841015e-06,8.3865081466e+00,500.00,26.9290,339.6180,26.9290,10.33
9,3043608.292904,1.4966387873e-06,8.3860437162e+00,500.00,28.2820,367.9000,28.2820,11.00
10,3038979.813199,1.4979026168e-06,8.3855790333e+00,500.00,30.5260,398.4260,30.5260,11.00
11,3029729.336671,5.9761289570e-06,8.3843606186e+00,250.00,37.3030,435.7290,37.3030,13.00
12,3020538.783896,5.9750748400e-06,8.3467876468e+00,250.00,36.5280,472.2570,36.5280,13.92
13,3011665.770701,5.8824419767e-06,8.1897623480e+00,250.00,33.3410,505.5980,33.3410,13.75
14,3003578.998997,5.9003476351e-04,7.8087004721e+00,250.00,42.6830,548.2810,42.6830,16.00
15,2996685.422420,1.7458603182e-03,7.2168475697e+00,250.00,42.8680,591.1490,42.8680,16.25
16,2991024.568785,2.1491185963e-03,6.5142956232e+00,250.00,37.8640,629.0130,37.8640,16.25
17,2986406.967495,2.1526748310e-03,5.8267119530e+00,250.00,40.9460,669.9590,40.9460,16.50
18,2982607.538968,2.1036019949e-03,5.2466500681e+00,250.00,41.7070,711.6660,41.7070,16.58
19,2979269.853054,1.7592898287e-03,4.8426392334e+00,250.00,43.2540,754.9200,43.2540,17.58
20,2976305.122294,1.1559140212e-03,4.5001373977e+00,250.00,41.3110,796.2310,41.3110,17.08
21,2973656.739824,7.9774267602e-04,4.2313551752e+00,250.00,43.4820,839.7130,43.4820,17.17
22,2971243.272723,5.3125545252e-04,4.0296331679e+00,250.00,41.4410,881.1540,41.4410,16.83
23,2969076.682958,4.6670369157e-04,3.8160873953e+00,250.00,40.7330,921.8870,40.7330,16.83
24,2967118.404409,3.7211698593e-04,3.6230557722e+00,250.00,40.7690,962.6560,40.7690,17.00
25,2965326.355976,2.1834984122e-04,3.4756089891e+00,250.00,41.8590,1004.5150,41.8590,16.75
26,2962184.876115,1.8215910421e-04,3.2174221650e+00,125.00,49.9240,1054.4390,49.9240,18.67
27,2959547.261088,1.5990285938e-04,2.9556370370e+00,125.00,46.6230,1101.0620,46.6230,18.58
28,2957341.111913,1.1181372017e-04,2.6950870879e+00,125.00,45.3650,1146.4270,45.3650,18.42
29,2955571.636455,8.8969958543e-05,2.4030244218e+00,125.00,43.9200,1190.3470,43.9200,18.75
30,2954216.835278,7.8361586652e-05,2.0992020944e+00,125.00,44.3200,1234.6670,44.3200,18.58
31,2952516.948393,8.6130981907e-05,1.6085272352e+00,62.50,46.1960,1280.8630,46.1960,19.00
32,2951589.854968,3.9567290664e-04,1.1958164704e+00,62.50,43.0970,1323.9600,43.0970,17.58
33,2951103.178808,7.6602252328e-04,8.6258263794e-01,62.50,40.4000,1364.3600,40.4000,16.25
34,2950827.094050,9.9448733720e-04,6.1249560863e-01,62.50,39.3040,1403.6640,39.3040,15.83
35,2950536.986769,1.2065257559e-03,5.6364729694e-01,62.50,39.5520,1443.2160,39.5520,16.58
36,2950289.619382,1.2483139313e-03,5.2357978666e-01,62.50,36.6490,1479.8650,36.6490,15.00
37,2950133.049775,1.2408327994e-03,4.8086262954e-01,62.50,41.9120,1521.7770,41.9120,17.50
38,2950021.533109,1.1661894656e-03,4.4190508637e-01,62.50,38.2070,1559.9840,38.2070,16.42
39,2949866.934786,1.0977696868e-03,4.0286807247e-01,62.50,38.7870,1598.7710,38.7870,15.67
40,2949770.345900,1.0337213656e-03,3.6633778013e-01,62.50,38.7140,1637.4850,38.7140,15.83
41,2949732.466826,9.7797013271e-04,3.3139425231e-01,62.50,36.7380,1674.2230,36.7380,14.92
