iteration,subproblem,solve_time_sec,ipopt_iters
1,1,60.238000,30
1,2,66.147000,30
1,3,66.131000,30
1,4,67.356000,30
1,5,67.356000,30
1,6,65.797000,30
1,7,66.115000,30
1,8,66.274000,30
1,9,66.624000,30
1,10,67.165000,30
1,11,64.794000,30
1,12,66.433000,30
2,1,59.820000,30
2,2,57.288000,30
2,3,57.730000,30
2,4,53.345000,30
2,5,59.001000,30
2,6,56.539000,30
2,7,57.502000,30
2,8,55.093000,30
2,9,57.557000,30
2,10,49.090000,30
2,11,49.700000,30
2,12,58.001000,30
3,1,55.178000,30
3,2,46.752000,30
3,3,51.280000,30
3,4,45.520000,30
3,5,51.965000,30
3,6,48.082000,30
3,7,52.100000,30
3,8,49.421000,30
3,9,50.484000,30
3,10,47.071000,30
3,11,53.908000,30
3,12,44.247000,30
4,1,46.404000,30
4,2,43.445000,24
4,3,45.237000,30
4,4,37.874000,18
4,5,43.771000,30
4,6,40.799000,19
4,7,34.378000,16
4,8,36.103000,17
4,9,41.721000,22
4,10,40.080000,22
4,11,27.543000,13
4,12,24.338000,11
5,1,30.521000,14
5,2,37.051000,23
5,3,33.238000,14
5,4,34.746000,15
5,5,35.877000,18
5,6,34.079000,19
5,7,32.233000,14
5,8,31.078000,12
5,9,36.399000,17
5,10,33.140000,13
5,11,35.006000,16
5,12,28.732000,14
6,1,25.602000,14
6,2,30.930000,18
6,3,24.916000,10
6,4,29.912000,16
6,5,28.332000,13
6,6,30.394000,15
6,7,24.586000,10
6,8,26.522000,12
6,9,26.537000,13
6,10,26.366000,12
6,11,28.979000,13
6,12,23.221000,11
7,1,23.385000,11
7,2,25.357000,13
7,3,21.055000,8
7,4,24.771000,10
7,5,24.791000,12
7,6,25.028000,11
7,7,19.857000,7
7,8,21.928000,7
7,9,23.625000,12
7,10,22.566000,7
7,11,23.618000,9
7,12,27.147000,14
8,1,14.757000,6
8,2,21.911000,13
8,3,20.934000,11
8,4,19.363000,6
8,5,19.041000,6
8,6,20.723000,7
8,7,21.727000,6
8,8,19.924000,6
8,9,21.391000,11
8,10,22.289000,7
8,11,21.311000,9
8,12,24.412000,12
9,1,16.057000,6
9,2,23.834000,14
9,3,22.148000,11
9,4,22.722000,9
9,5,21.787000,9
9,6,23.599000,12
9,7,18.612000,5
9,8,18.502000,6
9,9,23.551000,11
9,10,19.963000,7
9,11,21.854000,9
9,12,26.645000,16
10,1,14.134000,6
10,2,23.519000,14
10,3,22.275000,11
10,4,22.361000,10
10,5,23.138000,11
10,6,21.781000,9
10,7,17.709000,5
10,8,20.478000,6
10,9,22.563000,11
10,10,19.476000,7
10,11,22.433000,9
10,12,26.086000,17
11,1,15.132000,6
11,2,24.234000,14
11,3,22.578000,12
11,4,22.990000,11
11,5,23.821000,11
11,6,23.978000,13
11,7,19.043000,5
11,8,19.350000,6
11,9,22.088000,13
11,10,21.639000,8
11,11,23.952000,9
11,12,22.314000,11
12,1,15.635000,7
12,2,23.560000,14
12,3,22.055000,12
12,4,22.949000,11
12,5,22.673000,12
12,6,22.942000,13
12,7,18.004000,5
12,8,18.962000,6
12,9,23.138000,13
12,10,20.829000,7
12,11,21.176000,8
12,12,20.535000,10
13,1,18.046000,7
13,2,24.319000,14
13,3,23.409000,12
13,4,22.693000,11
13,5,23.093000,11
13,6,24.289000,14
13,7,19.193000,5
13,8,18.834000,6
13,9,23.341000,14
13,10,20.176000,7
13,11,21.591000,9
13,12,20.755000,10
14,1,12.965000,6
14,2,24.137000,15
14,3,22.753000,11
14,4,22.478000,11
14,5,21.894000,11
14,6,23.467000,14
14,7,18.660000,6
14,8,19.910000,6
14,9,23.312000,14
14,10,19.543000,7
14,11,22.012000,9
14,12,21.071000,11
15,1,17.509000,6
15,2,24.027000,15
15,3,23.918000,12
15,4,24.647000,12
15,5,24.327000,14
15,6,20.956000,8
15,7,19.596000,6
15,8,20.499000,6
15,9,24.215000,14
15,10,20.544000,7
15,11,22.110000,7
15,12,23.693000,11
16,1,15.227000,6
16,2,26.302000,17
16,3,25.330000,14
16,4,23.524000,12
16,5,26.002000,15
16,6,25.835000,16
16,7,21.200000,7
16,8,19.575000,6
16,9,23.683000,14
16,10,19.135000,7
16,11,21.198000,8
16,12,20.349000,10
17,1,18.773000,6
17,2,25.641000,17
17,3,24.082000,15
17,4,22.358000,12
17,5,26.230000,17
17,6,26.272000,17
17,7,21.093000,8
17,8,17.894000,6
17,9,22.908000,14
17,10,18.906000,6
17,11,19.310000,8
17,12,18.827000,8
18,1,18.847000,7
18,2,25.650000,17
18,3,25.953000,15
18,4,25.572000,14
18,5,22.962000,9
18,6,23.684000,11
18,7,23.264000,10
18,8,20.430000,6
18,9,24.919000,14
18,10,18.772000,6
18,11,20.438000,8
18,12,24.172000,13
19,1,14.037000,6
19,2,25.008000,17
19,3,21.107000,9
19,4,24.663000,15
19,5,22.689000,10
19,6,23.171000,10
19,7,23.904000,11
19,8,20.356000,7
19,9,24.294000,14
19,10,19.642000,7
19,11,22.664000,10
19,12,21.569000,11
20,1,26.088000,11
20,2,21.344000,8
20,3,22.635000,9
20,4,28.736000,16
20,5,26.689000,11
20,6,28.753000,19
20,7,28.708000,17
20,8,25.663000,10
20,9,25.561000,14
20,10,17.007000,6
20,11,23.684000,10
20,12,29.102000,18
21,1,32.887000,17
21,2,35.687000,21
21,3,34.385000,19
21,4,36.061000,20
21,5,36.022000,19
21,6,36.025000,21
21,7,33.179000,17
21,8,27.961000,12
21,9,30.698000,15
21,10,18.423000,6
21,11,30.710000,13
21,12,28.243000,14
22,1,32.694000,16
22,2,35.438000,19
22,3,26.200000,12
22,4,35.279000,19
22,5,35.412000,19
22,6,36.127000,20
22,7,34.391000,17
22,8,35.580000,17
22,9,29.489000,15
22,10,20.340000,6
22,11,30.405000,11
22,12,37.436000,18
23,1,29.642000,16
23,2,36.829000,19
23,3,30.476000,14
23,4,38.144000,19
23,5,37.411000,20
23,6,37.651000,20
23,7,36.816000,19
23,8,37.828000,19
23,9,33.341000,16
23,10,22.162000,7
23,11,37.704000,18
23,12,36.613000,20
24,1,28.924000,15
24,2,37.315000,18
24,3,29.452000,13
24,4,37.352000,20
24,5,38.519000,21
24,6,36.470000,18
24,7,36.281000,17
24,8,36.477000,18
24,9,35.294000,17
24,10,21.886000,7
24,11,38.872000,18
24,12,41.129000,26
25,1,32.751000,16
25,2,41.307000,20
25,3,40.799000,17
25,4,42.595000,20
25,5,42.295000,21
25,6,42.106000,21
25,7,37.389000,17
25,8,40.067000,19
25,9,37.496000,18
25,10,39.683000,19
25,11,41.996000,18
25,12,46.837000,30
26,1,35.334000,16
26,2,35.516000,18
26,3,36.416000,17
26,4,39.236000,21
26,5,38.668000,21
26,6,38.951000,20
26,7,31.730000,15
26,8,32.946000,17
26,9,38.241000,20
26,10,29.128000,13
26,11,37.108000,17
26,12,43.580000,30
27,1,27.911000,14
27,2,39.991000,19
27,3,35.055000,19
27,4,38.445000,20
27,5,36.492000,19
27,6,40.102000,21
27,7,32.926000,14
27,8,38.770000,19
27,9,39.926000,20
27,10,30.931000,15
27,11,36.037000,16
27,12,42.866000,30
28,1,26.514000,14
28,2,38.783000,19
28,3,39.706000,21
28,4,36.328000,18
28,5,35.387000,17
28,6,38.613000,19
28,7,34.495000,14
28,8,37.568000,19
28,9,38.976000,20
28,10,37.061000,17
28,11,33.257000,17
28,12,43.721000,30
29,1,23.955000,13
29,2,35.352000,18
29,3,30.965000,18
29,4,29.719000,13
29,5,34.147000,17
29,6,23.814000,9
29,7,30.263000,13
29,8,35.208000,19
29,9,34.843000,20
29,10,35.337000,19
29,11,26.523000,11
29,12,39.681000,29
30,1,23.943000,13
30,2,39.090000,22
30,3,33.410000,19
30,4,27.582000,14
30,5,34.539000,19
30,6,22.545000,9
30,7,34.063000,14
30,8,35.109000,20
30,9,36.735000,20
30,10,36.506000,18
30,11,32.278000,13
30,12,41.947000,24
31,1,28.275000,14
31,2,39.442000,21
31,3,40.423000,25
31,4,32.758000,16
31,5,40.629000,22
31,6,29.119000,11
31,7,32.863000,14
31,8,39.458000,20
31,9,40.785000,19
31,10,37.999000,19
31,11,40.084000,20
31,12,43.582000,30
32,1,25.843000,12
32,2,40.337000,22
32,3,40.700000,20
32,4,31.888000,17
32,5,42.115000,24
32,6,25.015000,9
32,7,28.760000,14
32,8,39.125000,20
32,9,40.821000,18
32,10,39.945000,18
32,11,40.874000,21
32,12,45.563000,30
33,1,23.268000,12
33,2,38.020000,21
33,3,38.838000,21
33,4,39.363000,19
33,5,41.588000,26
33,6,24.782000,9
33,7,31.649000,14
33,8,39.313000,20
33,9,38.501000,18
33,10,36.298000,17
33,11,40.334000,22
33,12,42.123000,21
34,1,19.248000,11
34,2,37.312000,21
34,3,31.541000,18
34,4,33.937000,17
34,5,38.470000,25
34,6,22.187000,9
34,7,28.117000,13
34,8,34.515000,19
