# tADMM live log — large10kC_1ph T=24, ρ_init=1000.0, adaptive=false
# k, objective, r_norm, s_norm, rho, sp_max, sp_med, elapsed_s, event
# ... trimmed 24 earlier lines ...
25,3059899.285197,2.1609937939e-07,3.9085042856e+00,1000.00,43.3160,35.4285,2253.46,
26,3058849.896536,2.1943211536e-07,3.8972769397e+00,1000.00,43.6620,33.1480,2329.37,
27,3057806.703284,2.1748582901e-07,3.8863867596e+00,1000.00,48.1000,36.0585,2409.92,
28,3056769.445168,2.1934111194e-07,3.8757320024e+00,1000.00,44.1780,37.9295,2488.01,
29,3055738.995861,1.6370708582e-05,3.8639125540e+00,1000.00,47.7060,38.5620,2571.37,
30,3054716.897579,3.6128471346e-05,3.8484145196e+00,1000.00,44.7600,33.8520,2650.07,
31,3053702.374509,2.4626977103e-05,3.8354160736e+00,1000.00,46.3160,32.5620,2730.06,
32,3052697.786932,6.2816203752e-06,3.8163987543e+00,1000.00,42.4800,32.4455,2806.74,
33,3051704.450481,5.5060049194e-06,3.7966428377e+00,1000.00,45.7250,32.9455,2884.60,
34,3050722.566468,4.9413590808e-06,3.7755935046e+00,1000.00,42.5260,32.9735,2960.43,
35,3049750.663494,1.7620273740e-06,3.7581235631e+00,1000.00,44.9120,31.9240,3039.28,
36,3048790.558627,7.8014845157e-07,3.7357422126e+00,1000.00,46.1600,35.9765,3120.25,
37,3047842.117291,9.5832391799e-07,3.7149416523e+00,1000.00,44.5180,32.8880,3200.46,
38,3046904.234213,5.0131364658e-07,3.6957254164e+00,1000.00,46.4530,35.2370,3283.38,
39,3045978.221065,2.6007135536e-07,3.6729509039e+00,1000.00,49.3960,37.1790,3367.64,
40,3045067.645447,2.8940458692e-07,3.6432079058e+00,1000.00,42.6130,32.4605,3443.80,
41,3044173.061129,1.5529690386e-06,3.6132317500e+00,1000.00,45.6890,32.1660,3523.40,
42,3043293.572306,1.5198148366e-05,3.5854980229e+00,1000.00,42.0300,32.1685,3600.17,
43,3042429.421998,3.1055326427e-05,3.5640110168e+00,1000.00,47.2350,33.4795,3679.12,
44,3041573.993517,3.8384758781e-05,3.5426684392e+00,1000.00,44.1590,34.2195,3759.54,
45,3040731.563629,4.8941756013e-05,3.5202298970e+00,1000.00,48.2580,33.3920,3841.68,
46,3039898.682615,4.8928161741e-05,3.4949154883e+00,1000.00,50.6870,32.5500,3922.41,
47,3039078.533515,4.8859090802e-05,3.4655993949e+00,1000.00,48.3490,31.7175,4004.51,
48,3038273.800275,5.5390810450e-05,3.4355478524e+00,1000.00,46.0190,30.8125,4084.67,
49,3037483.041379,5.5800372134e-05,3.4088980292e+00,1000.00,46.1490,33.5035,4163.92,
50,3036706.410527,5.8991904326e-05,3.3838104672e+00,1000.00,47.5860,32.0475,4242.71,
51,3035944.825691,7.4750852411e-05,3.3562922128e+00,1000.00,46.6950,32.3520,4318.69,
52,3035199.705597,9.2703026436e-05,3.3273570454e+00,1000.00,51.5130,33.6210,4399.41,
53,3034467.467088,8.7376252858e-05,3.2977050634e+00,1000.00,47.8410,34.3985,4476.80,
54,3033747.275831,7.5736050841e-05,3.2726925540e+00,1000.00,51.1410,32.2080,4559.32,
55,3033037.420910,8.4928017262e-05,3.2488615640e+00,1000.00,48.7070,32.0950,4637.96,
56,3032339.660701,9.5471400317e-05,3.2215026406e+00,1000.00,52.9480,31.1355,4719.17,
57,3031653.704492,9.7210804384e-05,3.1932156490e+00,1000.00,56.7170,33.0385,4800.04,
58,3030982.828488,9.5402046799e-05,3.1648056982e+00,1000.00,54.1540,33.3130,4881.57,
59,3030325.545480,9.1157143237e-05,3.1370255199e+00,1000.00,49.6590,32.6060,4959.91,
60,3029681.934815,9.0092113600e-05,3.1084641987e+00,1000.00,51.5370,33.0705,5040.57,
61,3029052.221737,9.7943446640e-05,3.0776965176e+00,1000.00,44.0870,32.1390,5116.76,
62,3028435.208437,8.8793611560e-05,3.0483542788e+00,1000.00,48.0110,31.7295,5194.42,
63,3027829.560365,8.9111878840e-05,3.0230018992e+00,1000.00,44.8080,31.3765,5272.33,
64,3027235.142420,9.3723000811e-05,2.9964378905e+00,1000.00,47.1100,34.4480,5351.68,
65,3026653.283179,9.5225229383e-05,2.9698878214e+00,1000.00,47.5740,31.8645,5429.09,
66,3026082.935875,9.3770125220e-05,2.9443349213e+00,1000.00,47.3150,31.1020,5504.91,
67,3025522.107014,8.8779601459e-05,2.9226235068e+00,1000.00,48.5380,34.3740,5583.80,
68,3024967.843084,8.0797374743e-05,2.9041230542e+00,1000.00,46.3560,34.2620,5659.64,
69,3024421.246990,6.8522627762e-05,2.8858499020e+00,1000.00,48.3640,34.0400,5738.20,
70,3023881.747901,4.8412261586e-05,2.8700183077e+00,1000.00,42.4200,33.2200,5811.99,
71,3023346.277889,4.3911174356e-05,2.8584550100e+00,1000.00,46.1610,34.4755,5890.70,
72,3022815.357716,5.0094819377e-05,2.8483704803e+00,1000.00,48.0280,33.7160,5970.46,
73,3022288.098709,4.9957091118e-05,2.8375673859e+00,1000.00,49.5610,34.2710,6049.10,
74,3021755.924409,8.2958513151e-05,2.8235706379e+00,1000.00,47.4640,33.5460,6127.22,
75,3021222.396920,1.2644549010e-04,2.8090948008e+00,1000.00,46.3320,33.2020,6204.14,
76,3020704.018407,1.3268165007e-04,2.7968230199e+00,1000.00,45.3210,33.9620,6280.30,
77,3020188.898078,1.4353610124e-04,2.7825265265e+00,1000.00,50.4090,34.5275,6360.02,
78,3019685.734084,1.5799697945e-04,2.7680952970e+00,1000.00,45.3780,33.6300,6435.07,
79,3019190.181872,1.6163192779e-04,2.7535991202e+00,1000.00,47.0670,34.5030,6512.80,
80,3018707.104836,1.5148923935e-04,2.7421263349e+00,1000.00,48.0420,33.4870,6591.76,
81,3018225.649284,1.4310800522e-04,2.7314715430e+00,1000.00,46.2940,33.6960,6667.56,
82,3017748.026582,1.3143246114e-04,2.7227065625e+00,1000.00,44.9440,32.9965,6745.53,
83,3017253.094669,1.5113115527e-04,2.7088154095e+00,1000.00,46.6780,34.2800,6823.65,
84,3016767.324267,1.6628043564e-04,2.6962337693e+00,1000.00,48.4500,31.0950,6906.19,
85,3016289.790577,1.5670763892e-04,2.6848061683e+00,1000.00,47.5770,33.0615,6983.05,
86,3015813.392306,1.6337653807e-04,2.6725314211e+00,1000.00,46.5280,33.2610,7061.16,
87,3015337.352360,1.8357619592e-04,2.6569116268e+00,1000.00,48.5870,35.0585,7139.79,
88,3014862.360665,2.0526280400e-04,2.6388478206e+00,1000.00,47.3810,34.6940,7218.78,
89,3014403.548016,2.1344548540e-04,2.6206343892e+00,1000.00,48.5580,34.1670,7297.92,
90,3013976.785727,1.8576361792e-04,2.6086346354e+00,1000.00,47.6040,37.4250,7377.98,
91,3013561.191939,1.4837474987e-04,2.5983478011e+00,1000.00,48.4670,33.8615,7455.00,
92,3013138.385277,1.4331870853e-04,2.5846554363e+00,1000.00,49.1790,37.0890,7532.79,
93,3012707.156689,1.5980414318e-04,2.5664171226e+00,1000.00,46.0680,34.9020,7610.19,
94,3012267.748419,1.6253837800e-04,2.5525597340e+00,1000.00,51.3170,34.6905,7689.45,
95,3011809.339100,1.6438582655e-04,2.5406322984e+00,1000.00,47.5690,33.9480,7766.79,
96,3011345.732502,1.8574812947e-04,2.5258658029e+00,1000.00,45.9010,35.1225,7843.18,
97,3010912.527120,1.8280930275e-04,2.5142173596e+00,1000.00,46.7150,35.7085,7921.48,
98,3010494.997378,1.6587642470e-04,2.5024423409e+00,1000.00,50.9280,37.4950,8004.73,
99,3010076.693509,1.8320498535e-04,2.4869336168e+00,1000.00,50.1280,35.6030,8083.20,
100,3009666.970178,1.8898473727e-04,2.4733800271e+00,1000.00,50.6520,36.8600,8162.92,
101,3009271.231910,1.6467673960e-04,2.4639307286e+00,1000.00,44.5220,31.7360,8236.83,
102,3008878.283949,1.3978802992e-04,2.4549693018e+00,1000.00,46.1390,34.5850,8313.54,
103,3008477.906093,1.4905432549e-04,2.4409550224e+00,1000.00,46.5760,36.2130,8390.49,
104,3008074.202991,1.6390055046e-04,2.4255289896e+00,1000.00,45.8460,36.1975,8465.52,
105,3007676.804135,1.5984231333e-04,2.4091852428e+00,1000.00,51.7480,38.4130,8546.96,
106,3007286.811120,1.6451231658e-04,2.3899043580e+00,1000.00,48.6160,35.7365,8623.45,
107,3006897.020316,1.8043368049e-04,2.3683065608e+00,1000.00,45.8420,33.1595,8695.98,
108,3006513.039637,1.8818877826e-04,2.3503381800e+00,1000.00,43.2740,33.0225,8770.62,
109,3006125.894759,1.7522516638e-04,2.3347454496e+00,1000.00,44.4920,35.0785,8846.21,
110,3005743.728528,1.8379518166e-04,2.3194825207e+00,1000.00,44.9950,34.4190,8921.61,
111,3005383.644864,1.6041017992e-04,2.3089479369e+00,1000.00,46.0290,34.9860,8997.61,
112,3005025.419766,1.4300678768e-04,2.2992837674e+00,1000.00,48.5520,34.3395,9075.71,
113,3004671.556223,1.3681534662e-04,2.2904235840e+00,1000.00,44.4010,33.0880,9148.59,
114,3004318.045110,1.2831257628e-04,2.2819719893e+00,1000.00,46.7860,33.4510,9225.11,
115,3003963.056900,1.2856369336e-04,2.2707578567e+00,1000.00,45.0520,34.1095,9299.13,
116,3003605.513160,1.4250618477e-04,2.2518099810e+00,1000.00,44.8340,35.8730,9373.93,
