# tADMM live log — large10kC_1ph T=24, ρ_init=10000.0, adaptive=false
# k, objective, r_norm, s_norm, rho, sp_max, sp_med, elapsed_s, event
1,650887.262809,7.4557663559e-01,3.8033617457e+03,10000.00,237.9080,230.8190,388.79,
2,3249131.521064,2.5010861994e-01,1.2919708138e+03,10000.00,181.7030,155.1140,674.45,
3,3106121.361514,2.1609508505e-01,9.2869541019e+02,10000.00,137.9690,68.9765,854.44,
4,2954573.425649,1.7466643774e-01,6.2384251726e+02,10000.00,150.2080,79.1920,1037.00,
5,2992825.372891,1.3834902888e-01,4.3226060246e+02,10000.00,124.4490,68.0065,1197.52,
6,2976332.533675,7.0027435213e-02,2.7644895103e+02,10000.00,106.5440,53.2845,1337.33,
7,3141424.332318,5.7537078200e-02,3.6741252821e+02,10000.00,117.3940,53.9960,1498.83,
8,3078442.939844,3.4137022604e-02,2.4781487971e+02,10000.00,109.8300,54.8540,1647.40,
9,3084318.362494,1.4988729160e-02,8.9194810463e+01,10000.00,110.8170,53.0020,1784.47,
10,3094155.352345,1.0306942033e-02,4.2777523110e+01,10000.00,101.3460,48.3645,1923.60,
11,3088807.733614,7.5133722019e-03,2.9102351206e+01,10000.00,88.0810,41.4740,2052.11,
12,3153451.838294,7.1252873605e-02,4.1013324942e+02,10000.00,98.3810,56.7565,2181.04,
13,3222738.317746,6.0937785162e-02,3.0373900928e+02,10000.00,76.9070,57.6775,2322.78,
14,3150727.781083,4.5360492256e-02,1.4178855629e+02,10000.00,66.9610,54.9925,2441.88,
15,3114651.022162,2.2267051683e-02,8.8843818624e+01,25000.00,68.1640,60.1040,2564.95,
16,3098625.035226,3.3769941138e-03,1.5543765576e+01,25000.00,72.8260,51.5605,2696.14,
17,3094948.811612,2.0703661748e-04,1.4817268875e+01,25000.00,80.7430,64.3195,2836.15,
18,3094365.272694,3.1452031809e-08,1.4816902891e+01,25000.00,79.8760,70.3810,2976.00,
19,3093922.817760,2.3873718145e-08,1.4816672805e+01,25000.00,81.2510,63.9085,3115.69,
20,3093480.397778,2.2455955271e-08,1.4816248484e+01,12500.00,80.3640,63.6765,3252.14,
21,3092595.665180,1.9236087130e-08,1.4815630717e+01,12500.00,64.0320,55.5995,3363.40,
22,3091711.046161,1.2352687834e-08,1.4814819350e+01,12500.00,66.0430,51.4540,3466.88,
