# tADMM live log — large10kC_1ph T=24, ρ_init=12000.0, adaptive=false
# k, objective, r_norm, s_norm, rho, sp_max, sp_med, elapsed_s, event
# tADMM live log — large10kC_1ph T=24, ρ_init=12000.0, adaptive=false
# k, objective, r_norm, s_norm, rho, sp_max, sp_med, elapsed_s, event
1,979698.930626,2.3292604009e-01,3.9745840390e+03,12000.00,216.4690,211.0340,342.22,
2,3272504.085983,1.8770640335e-01,9.3555581302e+02,12000.00,180.7090,141.0370,612.11,
3,3285012.251254,6.5251621385e-02,4.5592946665e+02,12000.00,124.3480,62.9330,765.39,
4,3054807.850901,2.0302728462e-02,2.4362837060e+02,12000.00,102.8980,50.5505,897.60,
5,3056589.455718,1.5936700331e-02,1.5084667705e+02,12000.00,94.8970,48.4470,1025.77,
6,3062284.139205,1.5219057316e-02,1.1357310513e+02,12000.00,107.4820,45.3065,1172.23,
7,3086052.270975,1.9793316395e-02,1.7335073406e+02,12000.00,88.7410,50.9050,1297.52,
8,3069154.946348,1.5180540337e-02,7.9308517307e+01,12000.00,91.6870,56.6360,1422.92,
9,3066788.189557,9.2775019653e-03,6.4051720025e+01,12000.00,100.9920,50.5850,1550.75,
10,3064484.571284,7.9739064665e-03,6.5428342267e+01,12000.00,86.6250,47.2310,1676.22,
11,3067922.007749,1.1632886817e-02,5.6185722298e+01,12000.00,97.0190,52.6350,1796.22,
12,3071560.059478,1.3826220525e-02,5.4037225434e+01,12000.00,65.4480,32.1665,1889.65,
13,3076012.966697,1.2144762352e-02,7.8844007413e+01,12000.00,84.5480,37.2000,2000.61,
14,3081572.786155,9.4334034377e-03,6.7963862268e+01,12000.00,100.9280,54.6820,2129.10,
15,3170143.782971,9.1199521099e-02,6.5519140029e+02,30000.00,79.0440,38.5545,2239.23,
16,3102132.980218,2.3693891929e-02,2.2221866821e+01,30000.00,73.3550,58.1105,2361.11,
17,3091837.813027,8.8257329336e-04,1.4828699329e+01,30000.00,68.2740,57.6730,2477.38,
18,3091205.333404,6.3764540801e-09,1.4828657353e+01,30000.00,65.0600,53.9345,2584.40,
19,3090835.871950,1.6646975357e-09,1.4828614891e+01,30000.00,53.9400,43.5065,2677.12,
20,3090466.410635,1.6908876081e-09,1.4828571783e+01,15000.00,50.8140,43.8680,2765.68,
21,3089727.503385,6.5907251922e-09,1.4828487621e+01,15000.00,58.6940,45.2855,2869.87,
22,3088988.597480,6.6311041605e-09,1.4828402845e+01,15000.00,55.1680,47.0750,2967.56,
23,3088249.699029,6.6191893615e-09,1.4828318118e+01,15000.00,53.6930,44.9565,3062.99,
24,3087510.809243,6.6894304970e-09,1.4828232355e+01,15000.00,53.9510,45.7750,3159.29,
25,3086771.927818,6.5664317610e-09,1.4828148512e+01,12000.00,54.7870,45.1990,3259.62,
26,3085848.344653,1.0352930542e-08,1.4828042545e+01,12000.00,48.0390,41.4150,3360.62,
27,3084924.768736,1.0347489921e-08,1.4827936602e+01,12000.00,59.1160,49.5915,3461.24,
28,3084001.205166,1.0350553932e-08,1.4827830676e+01,12000.00,55.6170,46.4740,3563.51,
29,3083077.768850,1.0347015167e-08,1.4825980857e+01,12000.00,55.4940,46.4990,3663.16,
30,3082174.203742,1.1324368413e-08,1.4581250536e+01,12000.00,61.6670,52.2275,3765.51,
31,3081348.635674,9.4847402494e-09,1.3820777580e+01,12000.00,62.1260,50.2825,3871.50,
32,3080632.656680,9.0871028420e-09,1.2845532683e+01,12000.00,56.0030,51.3580,3963.00,
33,3080046.592751,1.1581087417e-08,1.1450004405e+01,12000.00,43.6870,38.5580,4040.01,
34,3079562.603745,7.1798555787e-09,1.0458140669e+01,12000.00,39.4320,33.0915,4113.51,
35,3079138.055216,6.6496717877e-09,9.7651215315e+00,12000.00,36.5830,33.4045,4184.15,
36,3078760.016635,6.2248305697e-09,9.1714475937e+00,12000.00,38.5230,32.8720,4255.20,
37,3078426.442955,5.8316686502e-09,8.5939707770e+00,12000.00,38.3040,32.9340,4329.24,
38,3078124.163444,1.2177762488e-08,8.1310723409e+00,12000.00,39.3850,33.7325,4402.42,
39,3077856.362080,5.9637231862e-09,7.6042022747e+00,12000.00,39.9760,34.3735,4475.25,
40,3077620.276410,7.0458697097e-09,7.0976086637e+00,12000.00,41.3440,32.0480,4547.76,
41,3077413.217507,4.3722664922e-09,6.5530468932e+00,12000.00,38.6150,33.0240,4622.06,
42,3077236.971382,3.9803996478e-09,5.9670459721e+00,12000.00,41.6380,34.4790,4698.55,
# CONVERGED at k=42 (r=3.98e-09 <= 1.00e-03, stagnation)
# Final objective: $3077236.971382
