iteration,subproblem,solve_time_sec,ipopt_iters
1,1,122.444000,50
1,2,53.720000,50
1,3,118.656000,50
1,4,54.777000,50
1,5,123.128000,50
1,6,53.266000,50
1,7,116.981000,50
1,8,55.664000,50
1,9,120.492000,50
1,10,54.104000,50
1,11,108.565000,50
1,12,36.543000,50
1,13,121.582000,50
1,14,54.909000,50
1,15,123.414000,50
1,16,53.701000,50
1,17,120.507000,50
1,18,123.128000,50
1,19,123.112000,50
1,20,123.414000,50
1,21,121.871000,50
1,22,116.981000,50
1,23,121.586000,50
1,24,120.529000,50
2,1,94.767000,50
2,2,41.111000,41
2,3,77.058000,30
2,4,46.721000,47
2,5,99.819000,49
2,6,33.363000,33
2,7,74.179000,31
2,8,38.817000,38
2,9,82.344000,30
2,10,46.967000,50
2,11,36.847000,13
2,12,71.893000,49
2,13,86.974000,41
2,14,36.328000,37
2,15,90.975000,41
2,16,41.782000,50
2,17,82.351000,37
2,18,75.499000,32
2,19,80.446000,36
2,20,78.335000,32
2,21,101.212000,50
2,22,71.639000,30
2,23,90.056000,45
2,24,62.503000,32
3,1,36.456000,14
3,2,19.920000,18
3,3,44.663000,22
3,4,22.988000,19
3,5,44.129000,16
3,6,26.976000,19
3,7,34.685000,9
3,8,21.550000,13
3,9,41.318000,14
3,10,36.671000,50
3,11,42.505000,14
3,12,21.936000,13
3,13,34.639000,9
3,14,25.556000,15
3,15,42.514000,15
3,16,37.207000,50
3,17,40.076000,15
3,18,38.714000,12
3,19,41.328000,12
3,20,39.926000,12
3,21,39.991000,11
3,22,43.239000,14
3,23,39.223000,12
3,24,27.864000,10
4,1,39.244000,13
4,2,14.073000,16
4,3,43.319000,17
4,4,19.354000,14
4,5,46.666000,27
4,6,21.758000,18
4,7,33.963000,7
4,8,5.803000,12
4,9,42.375000,15
4,10,31.497000,50
4,11,40.001000,12
4,12,13.954000,9
4,13,41.841000,16
4,14,21.822000,18
4,15,41.852000,14
4,16,30.845000,50
4,17,39.974000,11
4,18,35.077000,8
4,19,35.065000,7
4,20,32.807000,7
4,21,35.722000,8
4,22,36.538000,8
4,23,35.056000,7
4,24,25.822000,7
5,1,36.816000,11
5,2,16.499000,11
5,3,45.036000,13
5,4,23.104000,14
5,5,48.205000,17
5,6,25.028000,20
5,7,33.502000,7
5,8,25.931000,18
5,9,48.799000,19
5,10,32.602000,44
5,11,41.609000,12
5,12,14.579000,7
5,13,41.256000,12
5,14,28.772000,21
5,15,48.240000,20
5,16,34.286000,50
5,17,43.646000,13
5,18,36.305000,9
5,19,37.973000,10
5,20,39.318000,9
5,21,37.930000,9
5,22,46.368000,15
5,23,37.941000,8
5,24,30.205000,10
6,1,36.913000,13
6,2,18.948000,14
6,3,38.958000,11
6,4,16.655000,8
6,5,37.688000,8
6,6,19.380000,14
6,7,36.190000,7
6,8,7.111000,9
6,9,43.128000,17
6,10,15.399000,9
6,11,39.016000,10
6,12,13.510000,6
6,13,40.060000,11
6,14,19.685000,19
6,15,44.019000,18
6,16,24.203000,50
6,17,40.662000,13
6,18,40.626000,11
6,19,33.923000,7
6,20,33.896000,7
6,21,33.872000,6
6,22,37.661000,9
6,23,35.741000,7
6,24,33.822000,10
7,1,35.709000,9
7,2,13.929000,9
7,3,37.646000,10
7,4,16.966000,8
7,5,34.514000,7
7,6,21.267000,13
7,7,36.141000,8
7,8,19.143000,12
7,9,40.007000,14
7,10,19.035000,14
7,11,37.656000,8
7,12,16.742000,9
7,13,37.658000,10
7,14,18.493000,9
7,15,40.739000,16
7,16,22.184000,26
7,17,38.361000,11
7,18,37.637000,9
7,19,32.287000,7
7,20,34.482000,7
7,21,34.548000,7
7,22,37.698000,9
7,23,34.742000,7
7,24,33.476000,10
8,1,31.966000,8
8,2,6.366000,7
8,3,39.204000,9
8,4,13.618000,6
8,5,32.700000,6
8,6,17.669000,13
8,7,40.014000,13
8,8,12.389000,11
8,9,38.506000,10
8,10,16.843000,12
8,11,34.756000,7
8,12,16.043000,6
8,13,38.261000,10
8,14,15.319000,9
8,15,40.100000,13
8,16,19.935000,50
8,17,32.727000,7
8,18,40.487000,12
8,19,37.598000,7
8,20,37.616000,7
8,21,34.756000,7
8,22,38.529000,9
8,23,34.772000,7
8,24,38.024000,10
9,1,25.406000,7
9,2,8.038000,7
9,3,36.711000,9
9,4,12.121000,7
9,5,33.823000,7
9,6,13.786000,7
9,7,37.394000,10
9,8,13.865000,10
9,9,34.461000,7
9,10,17.892000,13
9,11,36.193000,8
9,12,14.956000,6
9,13,37.904000,10
9,14,11.481000,6
9,15,34.468000,7
9,16,22.597000,30
9,17,30.153000,7
9,18,37.883000,11
9,19,34.495000,7
9,20,35.623000,7
9,21,30.090000,5
9,22,36.709000,9
9,23,34.513000,7
9,24,38.485000,11
10,1,29.526000,7
10,2,5.624000,7
10,3,36.552000,9
10,4,12.899000,7
10,5,29.541000,7
10,6,7.015000,7
10,7,34.772000,10
10,8,14.697000,10
10,9,33.990000,7
10,10,15.574000,10
10,11,33.976000,8
10,12,13.833000,6
10,13,35.841000,10
10,14,12.721000,8
10,15,33.997000,7
10,16,16.908000,16
10,17,40.044000,19
10,18,36.128000,12
10,19,32.761000,7
10,20,32.725000,6
10,21,33.214000,7
10,22,35.212000,9
10,23,32.729000,7
10,24,30.996000,10
11,1,35.280000,8
11,2,16.414000,8
11,3,36.090000,8
11,4,15.799000,7
11,5,30.050000,6
11,6,10.691000,8
11,7,34.082000,7
11,8,17.037000,7
11,9,35.344000,9
11,10,15.409000,8
11,11,34.036000,7
11,12,17.434000,10
11,13,31.978000,8
11,14,17.842000,12
11,15,34.093000,7
11,16,16.335000,8
11,17,36.100000,10
11,18,36.867000,12
11,19,35.340000,10
11,20,34.095000,6
11,21,35.440000,8
11,22,34.069000,7
11,23,34.082000,7
11,24,38.815000,17
12,1,23.680000,7
12,2,15.024000,12
12,3,37.367000,8
12,4,11.191000,7
12,5,32.925000,6
12,6,2.359000,7
12,7,35.700000,7
12,8,13.033000,7
12,9,38.453000,10
12,10,13.304000,8
12,11,34.006000,7
12,12,11.869000,6
12,13,34.063000,8
12,14,13.525000,7
12,15,37.379000,9
12,16,10.785000,8
12,17,38.751000,10
12,18,38.427000,12
12,19,38.389000,10
12,20,32.320000,6
12,21,37.347000,8
12,22,37.366000,8
12,23,31.583000,7
12,24,43.122000,18
13,1,24.082000,7
13,2,13.302000,11
13,3,36.226000,8
13,4,13.968000,7
13,5,33.754000,7
13,6,11.340000,8
13,7,34.318000,8
13,8,13.690000,7
13,9,38.581000,10
13,10,13.824000,8
13,11,34.701000,7
13,12,12.757000,6
13,13,36.246000,8
13,14,13.872000,7
13,15,37.301000,9
13,16,13.904000,8
13,17,38.078000,10
13,18,38.808000,12
13,19,37.329000,10
13,20,33.380000,6
13,21,37.292000,8
13,22,34.688000,7
13,23,36.240000,7
13,24,37.999000,12
14,1,26.307000,7
14,2,7.656000,11
14,3,37.202000,8
14,4,12.669000,7
14,5,31.130000,6
14,6,12.436000,8
14,7,33.185000,7
14,8,13.799000,8
14,9,37.202000,9
14,10,12.064000,8
14,11,33.199000,7
14,12,13.729000,6
14,13,35.600000,8
14,14,12.805000,7
14,15,37.210000,9
14,16,11.802000,8
14,17,37.841000,10
14,18,38.943000,12
14,19,38.223000,10
14,20,31.257000,6
14,21,35.638000,8
14,22,33.167000,7
14,23,33.185000,7
14,24,43.051000,16
15,1,34.422000,7
15,2,3.759000,11
15,3,36.595000,8
15,4,14.447000,7
15,5,35.953000,6
15,6,13.654000,7
15,7,37.335000,7
15,8,14.556000,7
15,9,33.482000,9
15,10,14.673000,8
15,11,35.981000,7
15,12,14.704000,6
15,13,33.496000,8
15,14,14.981000,7
15,15,34.861000,9
15,16,14.224000,8
15,17,38.215000,10
