# tADMM live log — large10kC_1ph T=24, ρ_init=500.0, adaptive=true
# k, objective, r_norm, s_norm, rho, sp_max, sp_med, elapsed_s, event
# tADMM live log — large10kC_1ph T=24, ρ_init=500.0, adaptive=true
# k, objective, r_norm, s_norm, rho, sp_max, sp_med, elapsed_s, event
1,659614.244394,2.9858958516e-01,1.7925353400e+02,500.00,138.2660,133.8040,217.63,
2,2197439.409581,1.8027912846e-01,4.7955990544e+01,500.00,160.0860,127.3415,501.41,
3,2606802.244173,1.2664158749e-01,2.2107170712e+01,500.00,193.2160,97.6570,763.14,
4,2792715.659407,8.2504667060e-02,1.5136333808e+01,500.00,177.3020,92.7180,996.40,
5,2837075.863549,3.1091830286e-02,1.0450341035e+01,500.00,164.0640,85.4445,1204.39,
6,2896253.325396,2.5146951878e-02,1.4385198780e+01,500.00,172.6100,74.4465,1408.04,
7,2963195.419064,2.1199492399e-02,1.1588221340e+01,500.00,165.4480,66.1860,1607.54,
8,2969310.877511,1.3344263962e-02,7.9495309115e+00,500.00,154.8540,66.8445,1788.86,
9,2980493.978292,1.0149662635e-02,5.6081519115e+00,500.00,142.8320,70.0835,1961.77,
10,2988750.829969,7.5463656952e-03,4.7000135489e+00,500.00,139.9660,58.2000,2134.48,
11,3001723.761972,1.9147667690e-02,6.1988966867e+00,500.00,127.1820,67.5060,2287.49,
12,3022669.757763,1.3153240622e-02,4.6983266214e+00,500.00,66.0160,32.5710,2370.61,
13,3080938.969025,2.8320638279e-02,1.3779731473e+01,500.00,68.4650,37.2810,2454.56,
14,3203501.800224,1.0231428524e-01,2.9949592608e+01,500.00,60.1910,34.8235,2536.00,
15,3068589.795911,5.1068502386e-02,7.2591557207e+00,1250.00,73.8000,32.6430,2618.06,
16,3055979.837152,5.1911290218e-03,3.7930913663e+00,1250.00,49.3890,28.9270,2694.25,
17,3052974.835767,4.4415473632e-06,3.7219057586e+00,1250.00,40.0090,30.8655,2763.14,
18,3052220.581159,1.4451463985e-05,3.7039978403e+00,1250.00,39.4830,27.5140,2831.21,
19,3051474.411864,2.5256708218e-05,3.6877475018e+00,1250.00,36.6630,26.0725,2893.85,
20,3050736.469235,2.0894199100e-05,3.6673250853e+00,250.00,44.0040,34.0515,2971.38,
21,3047185.529687,3.4328641823e-04,3.5969783100e+00,250.00,47.9470,35.2930,3050.81,
22,3043832.404669,7.1214307783e-04,3.5048618438e+00,250.00,51.2730,34.2225,3140.38,
23,3040675.760737,8.1145834025e-04,3.4164333870e+00,250.00,58.9960,36.4990,3221.38,
24,3037677.675623,8.0410215871e-04,3.3371939962e+00,250.00,58.6140,43.6560,3325.44,
25,3034786.096311,6.7718779945e-04,3.2736890543e+00,50.00,55.0650,35.3190,3414.82,
26,3022077.729738,1.6869089173e-03,3.0651015982e+00,50.00,75.8880,50.7690,3527.66,
27,3007874.273054,4.5515976301e-03,2.8574191792e+00,50.00,61.4360,43.3335,3624.63,
28,2998100.785478,8.3014530916e-03,2.5463912128e+00,50.00,89.0580,43.8745,3720.74,
29,2979815.073898,1.1581356351e-02,2.1964378504e+00,50.00,95.4710,51.9230,3845.19,
30,2976475.820122,1.2583064917e-02,1.8678331315e+00,50.00,61.4940,37.8610,3947.81,
31,2980107.338666,9.0877703611e-03,1.6622650078e+00,50.00,67.4750,40.0705,4054.27,
32,2984525.185831,4.4749173780e-03,1.5047553656e+00,50.00,58.6180,44.0165,4148.74,
33,2984397.061375,3.2374203526e-03,1.3635128428e+00,50.00,54.1120,31.6080,4234.82,
34,2982019.416269,3.4050455810e-03,1.2129384239e+00,50.00,74.5850,50.3460,4346.68,
35,2977728.301537,2.6925312133e-03,1.0781337851e+00,50.00,57.0140,40.2420,4433.71,
36,2974148.846278,1.7890506089e-03,9.5687179677e-01,50.00,50.0050,33.0835,4514.73,
37,2972623.259660,1.5853818166e-03,8.3675841538e-01,50.00,48.3500,32.1670,4593.98,
38,2972671.349103,1.6204856209e-03,7.3072709368e-01,50.00,43.7820,33.1210,4676.73,
39,2974144.573553,1.3241491623e-03,6.2424488464e-01,50.00,65.1470,33.0280,4762.02,
40,2975224.785376,1.4546520071e-03,5.1233408182e-01,50.00,52.5800,31.4700,4841.23,
41,2974890.994541,1.1580442743e-03,4.4913954643e-01,50.00,53.8650,30.6820,4926.81,
42,2974194.705907,1.0724030638e-03,4.0693152815e-01,50.00,49.7510,29.0065,5007.07,
43,2973696.183520,1.1095398535e-03,3.6587259376e-01,50.00,52.5930,29.9310,5086.20,
44,2972844.014412,8.3737996926e-04,3.2690120075e-01,50.00,44.1190,30.8840,5158.73,
45,2972559.394369,9.9744243116e-04,2.7598460730e-01,10.00,42.6780,30.3725,5228.62,
# CONVERGED at k=45 (r=9.97e-04 <= 1.00e-03, stagnation)
# Final objective: $2972559.394369
