iteration,subproblem,solve_time_sec,ipopt_iters
1,1,269.210000,50
1,2,224.076000,50
1,3,163.461000,50
1,4,282.144000,50
1,5,234.865000,50
1,6,215.301000,50
1,7,285.829000,50
1,8,230.320000,50
1,9,205.777000,50
1,10,282.159000,50
1,11,241.650000,50
1,12,212.244000,50
1,13,286.400000,50
1,14,233.073000,50
1,15,213.311000,50
1,16,286.400000,50
1,17,223.319000,50
1,18,213.542000,50
1,19,282.144000,50
1,20,235.976000,50
1,21,215.151000,50
1,22,273.833000,50
1,23,218.371000,50
1,24,167.518000,50
1,25,284.787000,50
1,26,237.385000,50
1,27,214.271000,50
1,28,284.788000,50
1,29,227.412000,50
1,30,213.170000,50
1,31,285.829000,50
1,32,230.346000,50
1,33,215.935000,50
1,34,284.778000,50
1,35,230.324000,50
1,36,215.929000,50
1,37,284.778000,50
1,38,246.526000,50
1,39,213.542000,50
1,40,273.818000,50
1,41,207.668000,50
1,42,81.629000,50
1,43,282.144000,50
1,44,245.226000,50
1,45,193.527000,50
1,46,278.424000,50
1,47,217.260000,50
1,48,145.415000,50
2,1,247.227000,50
2,2,118.254000,50
2,3,182.699000,50
2,4,270.214000,50
2,5,222.563000,40
2,6,164.059000,50
2,7,253.352000,50
2,8,244.060000,50
2,9,115.868000,50
2,10,261.845000,50
2,11,259.614000,50
2,12,169.379000,50
2,13,268.856000,50
2,14,237.774000,46
2,15,191.616000,50
2,16,264.761000,48
2,17,269.420000,50
2,18,172.504000,50
2,19,267.280000,50
2,20,265.471000,50
2,21,168.803000,50
2,22,267.343000,50
2,23,261.270000,50
2,24,158.083000,45
2,25,264.985000,50
2,26,266.292000,50
2,27,169.958000,50
2,28,265.022000,50
2,29,259.466000,50
2,30,138.259000,35
2,31,260.618000,50
2,32,239.043000,50
2,33,90.309000,50
2,34,250.688000,50
2,35,263.408000,50
2,36,184.437000,50
2,37,270.251000,50
2,38,245.851000,50
2,39,168.021000,44
2,40,155.946000,23
2,41,114.261000,31
2,42,229.657000,45
2,43,192.217000,33
2,44,83.436000,42
2,45,170.048000,27
2,46,272.984000,50
2,47,232.275000,45
2,48,154.572000,38
3,1,148.524000,50
3,2,51.122000,19
3,3,55.376000,14
3,4,121.214000,20
3,5,67.689000,18
3,6,61.005000,14
3,7,94.241000,13
3,8,58.655000,19
3,9,38.205000,13
3,10,100.713000,14
3,11,72.092000,18
3,12,64.226000,17
3,13,121.326000,20
3,14,75.056000,19
3,15,59.488000,16
3,16,100.674000,13
3,17,57.690000,15
3,18,38.274000,14
3,19,110.306000,15
3,20,54.074000,13
3,21,123.108000,47
3,22,118.472000,21
3,23,55.444000,13
3,24,83.021000,22
3,25,118.496000,19
3,26,127.611000,50
3,27,47.666000,14
3,28,118.748000,18
3,29,77.432000,19
3,30,63.724000,19
3,31,92.667000,13
3,32,21.606000,11
3,33,43.528000,17
3,34,94.191000,14
3,35,28.476000,12
3,36,54.720000,20
3,37,106.132000,14
3,38,82.147000,21
3,39,71.471000,16
3,40,106.243000,15
3,41,52.986000,12
3,42,46.826000,16
3,43,89.386000,11
3,44,18.500000,21
3,45,110.581000,50
3,46,142.865000,41
3,47,98.772000,45
3,48,59.370000,27
4,1,134.264000,33
4,2,95.122000,23
4,3,44.184000,12
4,4,81.581000,10
4,5,20.963000,12
4,6,40.240000,18
4,7,102.745000,16
4,8,80.320000,17
4,9,61.032000,16
4,10,91.554000,12
4,11,72.150000,13
4,12,35.065000,12
4,13,95.042000,12
4,14,47.756000,9
4,15,22.489000,13
4,16,95.958000,13
4,17,85.623000,17
4,18,61.582000,17
4,19,71.805000,10
4,20,11.323000,12
4,21,59.559000,15
4,22,112.730000,21
4,23,92.382000,21
4,24,61.612000,21
4,25,95.435000,14
4,26,148.565000,50
4,27,45.864000,20
4,28,129.843000,27
4,29,79.392000,17
4,30,50.027000,16
4,31,115.312000,21
4,32,55.510000,10
4,33,29.982000,11
4,34,86.665000,13
4,35,32.288000,15
4,36,26.674000,11
4,37,95.447000,13
4,38,86.301000,18
4,39,60.116000,15
4,40,101.859000,17
4,41,51.273000,9
4,42,53.173000,17
4,43,115.375000,21
4,44,104.214000,24
4,45,66.081000,50
4,46,138.225000,33
4,47,89.158000,29
4,48,51.371000,23
5,1,145.078000,50
5,2,50.127000,25
5,3,29.510000,13
5,4,78.228000,8
5,5,12.167000,11
5,6,27.150000,9
5,7,96.135000,14
5,8,44.020000,11
5,9,26.466000,11
5,10,95.995000,11
5,11,39.696000,10
5,12,23.669000,11
5,13,78.922000,8
5,14,9.853000,8
5,15,21.309000,11
5,16,114.277000,19
5,17,41.912000,16
5,18,24.957000,9
5,19,95.987000,14
5,20,39.272000,10
5,21,37.450000,16
5,22,117.174000,22
5,23,40.193000,19
5,24,42.415000,18
5,25,95.863000,13
5,26,111.214000,50
5,27,40.547000,21
5,28,121.844000,21
5,29,38.567000,18
5,30,38.207000,18
5,31,117.230000,22
5,32,38.872000,14
5,33,28.002000,10
5,34,88.676000,11
5,35,47.044000,17
5,36,30.056000,14
5,37,84.552000,9
5,38,28.432000,10
5,39,14.154000,12
5,40,78.944000,9
5,41,27.744000,14
5,42,31.366000,18
5,43,112.276000,18
5,44,77.943000,30
5,45,41.919000,24
5,46,138.520000,38
5,47,61.256000,31
5,48,34.441000,27
6,1,115.439000,26
6,2,54.659000,20
6,3,48.578000,12
6,4,62.517000,6
6,5,19.108000,10
6,6,28.025000,9
6,7,70.054000,9
6,8,24.977000,10
6,9,19.142000,10
6,10,73.348000,8
6,11,22.985000,8
6,12,16.726000,7
6,13,73.219000,10
6,14,32.052000,11
6,15,16.138000,10
6,16,86.723000,13
6,17,41.478000,12
6,18,39.380000,11
6,19,65.428000,8
6,20,20.579000,13
6,21,25.177000,19
6,22,108.319000,23
6,23,44.245000,14
6,24,53.135000,16
6,25,98.838000,18
6,26,100.570000,50
6,27,53.117000,25
6,28,104.076000,17
6,29,40.447000,11
6,30,57.999000,20
6,31,105.592000,22
6,32,61.252000,19
6,33,38.293000,9
6,34,95.245000,14
6,35,37.922000,10
6,36,25.891000,10
6,37,69.392000,11
6,38,52.226000,21
6,39,47.092000,16
6,40,95.221000,16
6,41,55.120000,17
6,42,60.194000,18
6,43,104.680000,19
6,44,63.785000,20
6,45,63.618000,25
6,46,118.733000,35
6,47,36.662000,23
6,48,55.531000,21
7,1,85.242000,20
7,2,84.871000,29
7,3,52.489000,17
7,4,51.987000,5
7,5,49.986000,10
7,6,38.565000,9
7,7,69.043000,9
7,8,29.264000,10
7,9,18.618000,9
7,10,68.994000,8
7,11,23.969000,8
7,12,16.387000,7
7,13,75.809000,10
7,14,31.614000,10
7,15,17.808000,11
7,16,65.951000,10
7,17,21.853000,11
7,18,12.966000,6
7,19,61.602000,8
7,20,7.261000,14
7,21,42.993000,21
7,22,112.166000,24
7,23,65.201000,20
7,24,55.929000,18
7,25,99.571000,19
7,26,94.511000,33
7,27,60.895000,25
7,28,114.005000,23
7,29,57.706000,17
7,30,47.951000,19
7,31,109.481000,23
7,32,64.065000,19
7,33,45.093000,15
7,34,69.077000,9
7,35,30.222000,9
7,36,20.290000,11
7,37,78.864000,12
7,38,59.681000,19
7,39,33.013000,15
7,40,97.354000,17
7,41,55.358000,17
7,42,42.281000,16
7,43,109.481000,19
7,44,66.721000,20
7,45,53.446000,17
7,46,112.162000,22
7,47,108.861000,50
7,48,73.459000,50
8,1,96.166000,24
8,2,106.110000,30
8,3,44.465000,10
8,4,57.882000,6
8,5,18.486000,10
8,6,37.878000,9
8,7,71.672000,9
8,8,59.557000,10
8,9,12.471000,9
8,10,69.074000,8
8,11,48.854000,8
8,12,10.289000,7
8,13,72.146000,10
8,14,55.798000,10
8,15,15.186000,11
8,16,71.638000,9
8,17,36.704000,11
8,18,20.672000,7
8,19,70.797000,8
8,20,55.280000,14
8,21,28.034000,24
8,22,99.471000,23
8,23,77.398000,20
8,24,59.591000,17
8,25,85.243000,15
8,26,89.306000,22
8,27,61.511000,18
8,28,101.801000,19
8,29,102.984000,39
8,30,46.651000,17
8,31,99.514000,19
8,32,77.386000,21
8,33,56.137000,16
8,34,69.022000,9
8,35,36.578000,9
8,36,16.196000,10
8,37,69.126000,9
8,38,91.139000,21
8,39,51.849000,16
8,40,88.731000,16
8,41,73.361000,16
8,42,52.981000,16
8,43,98.912000,23
8,44,61.317000,15
8,45,61.003000,15
