# tADMM live log — large10kC_1ph T=48, ρ_init=20000.0, adaptive=true
# k, objective, r_norm, s_norm, rho, sp_max, sp_med, elapsed_s, event
# tADMM live log — large10kC_1ph T=48, ρ_init=20000.0, adaptive=true
# k, objective, r_norm, s_norm, rho, sp_max, sp_med, elapsed_s, event
1,319286.723463,8.2671111489e-01,1.0243099049e+04,20000.00,286.4000,230.3350,840.83,
2,3340303.994897,1.8974520362e-01,1.9766660581e+03,20000.00,272.9840,238.4085,1681.50,
3,3457273.035468,1.7120048752e-01,1.3016147794e+03,20000.00,148.5240,73.5740,2140.98,
4,3198332.819844,1.6802004522e-01,1.4278717167e+03,20000.00,148.5650,75.7710,2564.63,
5,3087044.823576,1.5368591871e-01,1.4167591169e+03,40000.00,145.0780,41.9155,2954.32,
6,3126987.086416,9.4372500460e-02,1.6001292704e+03,40000.00,118.7330,54.8895,3310.30,
7,3155357.361064,4.3692097700e-02,8.6158039870e+02,40000.00,114.0050,58.6935,3692.02,
8,3165782.738740,1.1287126711e-02,2.1644198843e+02,40000.00,107.2090,65.2665,4060.03,
9,3147954.399973,5.5043802352e-03,7.0203214154e+01,40000.00,115.8300,63.8965,4413.29,
10,3148279.665454,3.0934164980e-03,1.9545806447e+01,80000.00,120.9980,68.4755,4755.07,
11,3152110.006421,1.9037167609e-03,1.4511650040e+01,80000.00,99.5350,48.4410,5068.77,
12,3152109.871315,1.9133780682e-03,1.2549660278e+01,80000.00,85.7290,52.8495,5342.45,
13,3151975.031369,2.0135232459e-03,1.6614324176e+01,80000.00,72.7360,50.3000,5585.57,
14,3151810.534161,2.3079127612e-03,4.3121357629e+01,80000.00,74.7360,44.2695,5824.04,
15,3151649.389465,2.7304661807e-03,1.2315201631e+01,160000.00,72.4360,44.4820,6064.61,
16,3151585.895967,2.6133767863e-03,3.3272424541e+01,160000.00,72.5070,39.8155,6308.28,
17,3151528.894264,2.7230044501e-03,2.7141970529e+01,160000.00,69.8180,30.5585,6539.11,
18,3151466.002683,2.7431758842e-03,2.1915046154e+01,160000.00,66.6990,43.1655,6773.99,
19,3151402.387519,2.7548499216e-03,1.5327443112e+01,160000.00,80.6740,48.5300,7024.71,
20,3151337.625068,9.8968276335e-04,3.0068456243e+02,32000.00,70.7240,49.8100,7271.01,
# CONVERGED at k=20 (r=9.90e-04 <= 2.00e-03, stagnation)
# Final objective: $3151337.625068
