iteration,subproblem,solve_time_sec,ipopt_iters
1,1,265.944000,50
1,2,158.181000,50
1,3,127.361000,50
1,4,269.381000,50
1,5,145.594000,50
1,6,131.681000,50
1,7,277.670000,50
1,8,263.044000,50
1,9,208.296000,50
1,10,277.681000,50
1,11,259.671000,50
1,12,211.735000,50
1,13,273.817000,50
1,14,239.263000,50
1,15,146.767000,50
1,16,277.692000,50
1,17,256.389000,50
1,18,212.822000,50
1,19,279.274000,50
1,20,259.777000,50
1,21,209.308000,50
1,22,279.605000,50
1,23,264.799000,50
1,24,207.282000,50
1,25,277.681000,50
1,26,239.070000,50
1,27,161.998000,50
1,28,279.271000,50
1,29,262.390000,50
1,30,207.364000,50
1,31,277.681000,50
1,32,262.253000,50
1,33,202.044000,50
1,34,279.274000,50
1,35,257.264000,50
1,36,204.607000,50
1,37,279.306000,50
1,38,259.808000,50
1,39,205.777000,50
1,40,273.813000,50
1,41,234.043000,50
1,42,81.908000,50
1,43,277.672000,50
1,44,268.157000,50
1,45,205.807000,50
1,46,277.683000,50
1,47,264.864000,50
1,48,204.948000,50
2,1,223.593000,50
2,2,47.793000,41
2,3,188.928000,50
2,4,252.908000,50
2,5,205.907000,43
2,6,148.178000,50
2,7,225.936000,50
2,8,117.683000,50
2,9,153.991000,48
2,10,239.663000,48
2,11,198.970000,50
2,12,136.947000,50
2,13,260.797000,50
2,14,196.069000,38
2,15,162.146000,50
2,16,173.249000,39
2,17,97.053000,50
2,18,197.302000,50
2,19,253.002000,50
2,20,219.389000,50
2,21,148.799000,46
2,22,262.492000,50
2,23,194.282000,41
2,24,157.582000,50
2,25,243.556000,46
2,26,207.613000,47
2,27,158.027000,50
2,28,255.953000,45
2,29,228.784000,50
2,30,115.440000,37
2,31,238.709000,50
2,32,196.202000,41
2,33,157.118000,50
2,34,260.792000,50
2,35,221.619000,50
2,36,146.337000,50
2,37,260.806000,48
2,38,208.361000,50
2,39,148.118000,50
2,40,255.846000,48
2,41,208.167000,44
2,42,107.660000,32
2,43,261.662000,47
2,44,165.095000,33
2,45,40.183000,31
2,46,155.762000,32
2,47,106.913000,38
2,48,172.740000,33
3,1,128.223000,36
3,2,78.160000,22
3,3,37.312000,9
3,4,77.732000,11
3,5,11.808000,13
3,6,34.816000,17
3,7,91.282000,12
3,8,43.568000,12
3,9,12.074000,13
3,10,94.908000,18
3,11,77.464000,21
3,12,64.848000,18
3,13,88.705000,14
3,14,58.801000,16
3,15,97.453000,50
3,16,113.675000,24
3,17,64.607000,16
3,18,60.943000,15
3,19,113.359000,23
3,20,71.041000,19
3,21,50.233000,13
3,22,98.333000,18
3,23,71.336000,19
3,24,70.724000,25
3,25,70.860000,13
3,26,24.924000,21
3,27,27.505000,7
3,28,131.978000,42
3,29,68.488000,27
3,30,71.708000,27
3,31,89.621000,14
3,32,31.671000,14
3,33,10.184000,14
3,34,110.924000,21
3,35,58.470000,13
3,36,55.984000,12
3,37,95.607000,17
3,38,71.261000,20
3,39,72.155000,22
3,40,115.386000,23
3,41,104.396000,35
3,42,72.436000,29
3,43,120.972000,27
3,44,52.507000,14
3,45,52.702000,13
3,46,84.556000,14
3,47,22.345000,9
3,48,20.807000,11
4,1,134.332000,50
4,2,85.238000,30
4,3,24.256000,7
4,4,62.853000,8
4,5,24.147000,9
4,6,64.248000,16
4,7,78.280000,12
4,8,12.730000,11
4,9,34.263000,9
4,10,78.344000,12
4,11,10.829000,10
4,12,34.168000,10
4,13,98.885000,16
4,14,87.058000,23
4,15,63.892000,50
4,16,106.069000,22
4,17,74.264000,17
4,18,39.856000,12
4,19,100.424000,20
4,20,71.023000,17
4,21,43.170000,14
4,22,81.755000,12
4,23,17.938000,16
4,24,26.861000,16
4,25,98.846000,16
4,26,94.445000,24
4,27,32.419000,7
4,28,116.991000,25
4,29,101.645000,27
4,30,51.306000,35
4,31,98.903000,16
4,32,68.340000,16
4,33,40.868000,14
4,34,99.310000,16
4,35,51.672000,12
4,36,7.124000,9
4,37,94.614000,17
4,38,55.634000,20
4,39,44.176000,22
4,40,116.103000,27
4,41,109.808000,43
4,42,46.355000,26
4,43,128.923000,38
4,44,70.947000,20
4,45,38.982000,12
4,46,98.901000,18
4,47,33.777000,7
4,48,13.558000,9
5,1,111.819000,34
5,2,101.880000,33
5,3,58.744000,22
5,4,61.097000,7
5,5,8.021000,12
5,6,38.599000,9
5,7,83.837000,15
5,8,44.813000,10
5,9,8.873000,6
5,10,64.937000,8
5,11,14.230000,14
5,12,30.518000,8
5,13,69.579000,10
5,14,88.632000,27
5,15,82.631000,50
5,16,102.185000,22
5,17,63.765000,14
5,18,49.871000,15
5,19,91.680000,19
5,20,81.228000,20
5,21,48.276000,13
5,22,74.160000,11
5,23,41.654000,14
5,24,24.898000,18
5,25,87.573000,17
5,26,98.357000,24
5,27,30.203000,7
5,28,95.852000,19
5,29,96.262000,25
5,30,64.049000,21
5,31,112.341000,27
5,32,65.336000,16
5,33,50.306000,13
5,34,74.123000,12
5,35,42.131000,14
5,36,18.621000,12
5,37,90.177000,17
5,38,75.931000,19
5,39,71.161000,28
5,40,112.420000,29
5,41,91.007000,30
5,42,67.004000,30
5,43,110.419000,26
5,44,85.732000,26
5,45,36.475000,11
5,46,54.282000,8
5,47,26.594000,6
5,48,55.155000,12
6,1,88.685000,23
6,2,96.449000,24
6,3,43.807000,12
6,4,64.799000,11
6,5,22.890000,9
6,6,33.951000,8
6,7,64.055000,10
6,8,16.319000,8
6,9,43.347000,11
6,10,73.961000,13
6,11,63.487000,13
6,12,16.182000,12
6,13,63.482000,9
6,14,71.676000,25
6,15,86.471000,50
6,16,98.344000,22
6,17,67.942000,13
6,18,42.871000,12
6,19,96.347000,20
6,20,81.647000,18
6,21,45.305000,15
6,22,81.488000,14
6,23,56.700000,14
6,24,24.743000,18
6,25,96.791000,19
6,26,104.628000,30
6,27,30.051000,7
6,28,102.395000,21
6,29,93.910000,26
6,30,50.141000,26
6,31,111.869000,24
6,32,69.646000,17
6,33,36.653000,10
6,34,96.860000,19
6,35,65.673000,13
6,36,43.660000,17
6,37,85.781000,15
6,38,80.683000,19
6,39,59.029000,20
6,40,98.975000,19
6,41,124.264000,50
6,42,46.095000,32
6,43,107.645000,25
6,44,92.967000,25
6,45,30.437000,8
6,46,61.156000,7
6,47,7.676000,8
6,48,50.484000,9
7,1,79.633000,18
7,2,93.269000,21
7,3,28.136000,14
7,4,52.441000,7
7,5,13.891000,9
7,6,46.195000,8
7,7,70.102000,10
7,8,36.829000,9
7,9,33.093000,6
7,10,51.987000,7
7,11,24.275000,9
7,12,52.625000,7
7,13,76.119000,12
7,14,104.162000,25
7,15,77.813000,50
7,16,98.928000,21
7,17,79.341000,13
7,18,9.780000,7
7,19,76.947000,13
7,20,92.180000,18
7,21,42.889000,13
7,22,87.633000,16
7,23,83.114000,16
7,24,43.748000,18
7,25,98.622000,21
7,26,105.593000,27
7,27,43.110000,15
7,28,101.233000,22
7,29,108.384000,22
7,30,54.680000,25
7,31,108.133000,22
7,32,110.763000,35
7,33,33.881000,12
7,34,94.570000,20
7,35,89.542000,16
7,36,46.078000,14
7,37,91.629000,16
