# tADMM live log — large10kC_1ph T=48, ρ_init=30000.0, adaptive=true
# k, objective, r_norm, s_norm, rho, sp_max, sp_med, elapsed_s, event
# tADMM live log — large10kC_1ph T=48, ρ_init=30000.0, adaptive=true
# k, objective, r_norm, s_norm, rho, sp_max, sp_med, elapsed_s, event
1,360118.486376,1.3524302237e+00,1.5098470190e+04,30000.00,279.6050,259.7240,880.29,
2,3450275.228506,2.4005341391e-01,4.7243360733e+03,30000.00,262.4920,196.1355,1651.37,
3,3310770.586708,2.1577897566e-01,3.7383041897e+03,30000.00,131.9780,71.1510,2044.04,
4,3090886.205722,2.0766868560e-01,2.4594765229e+03,30000.00,134.3320,66.2940,2417.15,
5,3051536.039933,2.0150676042e-01,1.7117842947e+03,60000.00,112.4200,66.1700,2791.62,
6,3070416.916399,1.6227626977e-01,3.4451976033e+03,60000.00,124.2640,65.2360,3153.92,
7,3064319.929828,1.1242964123e-01,3.0526158621e+03,60000.00,122.5240,76.5330,3520.81,
8,3061243.004900,4.2985715425e-02,1.1021794545e+03,60000.00,114.8990,61.6715,3882.79,
9,3086328.529805,1.5646275790e-02,6.9034276607e+02,60000.00,114.5920,58.1560,4250.17,
10,3092020.864809,1.3763130832e-02,3.6656257243e+02,120000.00,114.5000,57.3475,4594.10,
11,3098271.088790,1.0402590933e-02,5.5237177595e+02,120000.00,102.1130,48.0670,4916.92,
12,3197610.847374,4.9568606318e-02,3.9199664918e+03,120000.00,103.0300,48.7635,5215.78,
13,3119699.003264,3.2902026019e-02,8.3686655021e+02,120000.00,81.2160,34.9145,5474.99,
14,3126145.126264,1.0430155050e-02,7.9979546469e+01,120000.00,79.6730,46.8540,5720.36,
15,3126398.252959,8.4275975446e-04,1.4299373041e+01,24000.00,73.2410,39.4215,5959.95,
16,3126520.545628,7.6507254131e-04,1.0857356738e+01,24000.00,151.9460,31.4655,6198.79,
17,3126085.651422,7.5889824363e-04,1.0331124338e+01,24000.00,126.4020,47.3195,6431.88,
18,3125653.452426,7.5335641874e-04,1.0442957255e+01,24000.00,90.3580,34.8260,6660.87,
19,3125233.129456,6.1131874071e-04,1.0305930044e+01,24000.00,73.7920,38.8590,6890.49,
20,3124811.829066,5.3275537213e-04,1.0282766401e+01,4800.00,148.9420,39.5440,7122.15,
21,3122620.561915,5.3258211059e-04,1.0282517124e+01,4800.00,70.8360,39.5480,7357.27,
22,3120429.166470,5.3256362669e-04,1.0282104988e+01,4800.00,79.7570,42.3505,7591.70,
23,3118238.410055,5.3256796073e-04,1.0281707283e+01,4800.00,68.7470,50.7380,7824.59,
24,3116266.186340,5.3256283584e-04,9.4836014585e+00,4800.00,68.3090,39.0590,8055.93,
25,3115004.365992,5.3256136068e-04,7.3959593020e+00,960.00,66.1960,46.0830,8292.27,
26,3112389.822613,5.3256729434e-04,4.1860760695e+00,960.00,72.7520,48.9985,8542.00,
27,3111779.858013,5.3256322419e-04,1.9571158971e+00,960.00,75.1290,45.8915,8789.32,
28,3111234.099624,5.3256127385e-04,1.9173939934e+00,960.00,75.9270,47.2060,9038.61,
29,3110689.055783,5.3256142562e-04,1.9163430500e+00,960.00,71.9380,51.1485,9285.84,
30,3110144.575931,5.3256150518e-04,1.9153778311e+00,192.00,76.6810,46.8135,9537.40,
31,3107642.050954,5.4022102979e-04,1.8955301292e+00,192.00,97.0290,57.7580,9860.21,
32,3105258.772075,6.0887677371e-04,1.8679261606e+00,192.00,97.8430,62.9250,10183.27,
33,3102459.087518,6.3286829792e-04,1.8476791828e+00,192.00,93.5710,67.3620,10491.67,
34,3099794.458739,6.3006954206e-04,1.8359778939e+00,192.00,99.5220,61.0575,10815.36,
35,3097253.512465,6.0878461020e-04,1.8309154787e+00,38.40,104.6760,62.7980,11126.53,
36,3085143.652701,1.4171710464e-03,1.8100729128e+00,38.40,101.1500,77.0915,11475.46,
37,3073580.796965,1.5100439082e-03,1.7930931480e+00,38.40,124.4020,74.1230,11833.53,
38,3065481.298576,2.3927720364e-03,1.7484632189e+00,38.40,184.4830,67.4910,12194.41,
39,3047900.446706,4.4470836655e-03,1.6920950378e+00,38.40,124.9450,69.1990,12557.79,
40,3031790.799028,6.5488227473e-03,1.6178847265e+00,38.40,121.0530,74.5690,12933.83,
41,3023380.587982,6.5652072833e-03,1.5460288521e+00,38.40,144.3410,61.1940,13320.31,
42,3022857.990819,4.6408188376e-03,1.4844875646e+00,38.40,135.6650,64.8040,13682.22,
43,3021183.104869,3.1349723659e-03,1.4050900879e+00,38.40,116.4110,71.8440,14059.92,
44,3016354.461595,3.0206741203e-03,1.2907954442e+00,38.40,117.5110,77.5775,14442.17,
45,3010021.806217,3.2066767295e-03,1.1798716529e+00,38.40,123.6170,67.2675,14804.61,
46,3003605.266074,3.1134853353e-03,1.0630756414e+00,38.40,124.0340,74.7185,15190.72,
47,2998780.141077,3.0675094096e-03,9.3293933292e-01,38.40,113.2100,82.7915,15551.47,
48,2995340.130653,3.0976166031e-03,8.0796540078e-01,38.40,123.9160,61.6105,15908.60,
49,2994564.722598,2.9198066961e-03,7.3123810161e-01,38.40,97.7980,59.5375,16227.62,
50,2994439.669061,2.2719838975e-03,6.5299222502e-01,38.40,101.4960,59.0320,16553.83,
51,2993969.519798,1.6969875821e-03,6.1299966981e-01,38.40,94.0150,54.3825,16856.02,
52,2992733.500279,1.5530723856e-03,5.5306198494e-01,38.40,103.3030,50.8450,17177.59,
53,2991304.601849,1.4759048978e-03,4.9534170004e-01,38.40,97.8670,48.3965,17482.28,
54,2990132.326769,1.3695265857e-03,4.4118350826e-01,38.40,104.6220,44.6130,17788.57,
55,2988711.934595,1.2105141733e-03,4.2119498949e-01,7.68,106.2960,48.7395,18103.95,
56,2983515.244341,6.2603293716e-03,3.0229872795e-01,7.68,117.9510,42.9780,18449.44,
57,2994244.274253,6.0570944292e-03,2.1903740778e-01,7.68,101.9320,42.1235,18768.83,
58,2997554.690838,7.6403213590e-03,1.6338203116e-01,7.68,107.0990,36.7530,19093.00,
59,3030864.122536,1.5993079829e-02,1.7276969531e-01,7.68,113.9980,39.7020,19411.80,
60,3005222.171371,3.0107634054e-03,1.6250261414e-01,7.68,90.1950,42.5340,19706.92,
61,2997213.937283,2.9242469209e-03,1.1462533422e-01,7.68,93.1940,53.5195,19992.74,
62,2991060.430629,3.1580159050e-03,9.6900516005e-02,7.68,85.5120,52.9825,20276.88,
63,2987979.393359,3.2337989910e-03,7.0842896544e-02,7.68,88.5810,51.6355,20569.07,
64,2986103.392010,3.0765257869e-03,5.1893460656e-02,7.68,97.6590,43.1540,20863.62,
65,2981760.518705,2.6080306515e-03,4.2947770452e-02,7.68,96.9680,44.8665,21147.33,
66,2977095.529106,1.6175305200e-03,3.8916960531e-02,7.68,96.8500,36.9735,21433.33,
67,2974772.028892,1.1794007764e-03,3.5776590059e-02,7.68,113.6070,33.1935,21727.66,
68,2975153.975762,1.0196947971e-03,3.3193068427e-02,7.68,93.5360,45.7245,21996.61,
69,2977402.936468,1.0087539547e-03,3.2233336546e-02,7.68,76.1960,45.9305,22253.26,
70,2980189.164355,1.0061538720e-03,3.1821009682e-02,1.54,82.8910,40.1400,22524.03,
71,2991455.774466,2.3505049183e-03,2.8654723076e-02,1.54,121.2850,43.9770,22837.57,
72,2995442.432894,4.3210400954e-03,2.0673816136e-02,1.54,103.5820,34.4730,23125.32,
73,2994805.916949,4.9549782070e-03,1.1905293025e-02,1.54,94.4360,39.9880,23410.29,
74,2994614.002275,4.8151219686e-03,6.0695592621e-03,1.54,98.1020,41.7825,23695.64,
75,2994676.944146,3.6360738012e-03,5.2865971272e-03,1.54,84.2980,42.1855,23966.84,
76,2994542.956194,2.5885694967e-03,5.2601177472e-03,1.54,75.1890,40.8310,24225.46,
77,2994198.464856,2.2688307735e-03,4.3130932683e-03,1.54,81.1840,49.5955,24501.79,
78,2993659.970813,2.1995595418e-03,3.7343491090e-03,1.54,82.5420,48.5875,24778.49,
79,2992815.544843,1.9146179424e-03,4.0885487743e-03,1.54,80.3350,50.5080,25056.52,
# CONVERGED at k=79 (r=1.91e-03 <= 2.00e-03, s=4.09e-03 <= 1.00e-02)
# Final objective: $2992815.544843
