iteration,objective,r_norm,s_norm,rho
1,2963615.265262,9.1181343873e-02,3.3499668048e+01,1500.00
2,3102740.613115,4.4314878046e-06,3.3500391377e+01,1500.00
3,3092896.923219,4.4165348692e-07,3.3499687786e+01,1500.00
4,3083046.252598,4.3733809049e-07,3.3498991196e+01,1500.00
5,3073196.012038,4.3949942283e-07,3.3498291068e+01,1500.00
6,3053498.230558,1.7578073544e-06,3.3496890703e+01,750.00
7,3033800.909156,1.7563696410e-06,3.3495490305e+01,750.00
8,3017124.879351,1.5297042110e-06,2.9735150232e+01,750.00
9,3004920.043886,1.2682450693e-06,2.4729659184e+01,750.00
10,2997308.815118,1.1192627309e-06,1.8460289990e+01,750.00
11,2984569.611419,4.5167188248e-06,1.7475353270e+01,375.00
12,2971877.768375,4.4905340381e-06,1.7393715194e+01,375.00
13,2960325.660147,4.1474787150e-06,1.6214325447e+01,375.00
14,2950668.051421,3.6625580491e-06,1.4485031423e+01,375.00
15,2943568.497017,2.7294410745e-06,1.1928797036e+01,375.00
16,2935697.136835,5.9547381677e-06,8.3606306140e+00,187.50
17,2932207.423490,2.9541449282e-06,5.7124752845e+00,187.50
18,2930442.924110,1.6304910121e-06,4.1923128878e+00,187.50
19,2928724.116367,1.6520872118e-06,4.1895169387e+00,187.50
20,2927005.794380,1.6435936399e-06,4.1889012497e+00,187.50
21,2923634.098536,5.8922921414e-06,4.1138654970e+00,93.75
22,2921155.903468,5.0991175086e-06,3.4376080494e+00,93.75
23,2919571.555699,5.8612604874e-06,2.7095564888e+00,93.75
24,2919076.073037,2.1023928177e-08,1.3304991506e+00,93.75
25,2919076.093422,3.2037518126e-08,7.1688119037e-07,93.75
