first,second
vald_pv_real_power_allT_kW,51.72260967862603
vald_pv_reactive_power_vs_t_1toT_kVAr,"[8.018792893060754, 7.970709434952521, 7.869304846665051, 7.423497395291717, 6.092509466435072, 5.402803407920423, 4.505263614721274, 4.501732862353036, 4.723721184070176, 5.531172540241995, 6.796760204920992]"
disc_PSubs_all_time_kW,9.301123910177012e-6
vald_PLoss_allT_kW,0.11203510316237317
vald_total_gen_real_power_vs_t_1toT_kW,"[-1.5952771807484245, -0.42975801331315044, 0.9607489966754286, 2.8126258074807113, 4.893825123545155, 5.546296991486301, 6.154056190319188, 5.6750956558423935, 12.398625268079448, 11.977423499893375, 11.038802293377756]"
vald_PSubs_allT_kW,660.489427566323
vald_battery_real_power_allT_kW,7.7098549540121475
vald_PSubs_vs_t_1toT_kW,"[57.40776234590563, 58.32212047461891, 60.138277378966144, 62.18639698530541, 62.444929599547415, 62.65910708879981, 62.83136707062567, 62.096952008388946, 55.457911570530605, 56.399257696946556, 60.54534534668785]"
vald_battery_real_power_vs_t_1toT_kW,"[-2.2951767576575506, -1.8295580386203765, -1.138951047331589, -0.6868742273522883, -0.7053748615921285, -0.7528029953338534, -0.8449437857010296, -1.323904357549707, 5.469615229676552, 5.67832350165018, 6.139502293823939]"
vald_substation_real_power_peak_allT_kW,62.83136707062567
vald_terminal_soc_violation_kWh,9.098599574682268
vald_solution_time,0.0
vald_battery_reactive_power_vs_t_1toT_kVAr,"[7.763242855413514, 7.923310248016952, 8.097969045774388, 8.198347199652412, 8.230911311909079, 8.237740091729734, 8.23928277775782, 8.171972796834769, 6.358594502944933, 6.175395627628621, 5.715297188736061]"
vald_battery_real_power_transaction_magnitude_t_kW,6.139502293823939
disc_line_loss_all_time_kW,7.900643287596723e-6
vald_PLoss_vs_t_1toT_kW,"[0.0092361382258714, 0.00949488158397162, 0.010072237292500176, 0.010774129557380547, 0.010928818809888071, 0.011067637269223269, 0.011227919469273729, 0.010965268220419603, 0.008802712805974807, 0.009042299247961638, 0.010423060679908303]"
vald_QLoss_vs_t_1toT_kVAr,"[0.055576693339154076, 0.05514031149077357, 0.05420241732125919, 0.05300373813046559, 0.0526255966767672, 0.052362794930908195, 0.05207033109141716, 0.05246969016396091, 0.05634131222725341, 0.055978146785261515, 0.053829380299757305]"
disc_voltage_all_time_pu,1.0491417588465168e-5
vald_load_real_power_vs_t_1toT_kW,"[55.8032450776146, 57.88286789177285, 61.0889547796276, 64.98824963742986, 67.32782665583737, 68.19433682472528, 68.97419578639773, 67.76108212094357, 67.84773337344402, 68.36763896761936, 71.57372550444455]"
vald_PSubsCost_allT_dollar,75.55997784257379
vald_PSubsCost_vs_t_1toT_dollar,"[2.7672860724325288, 2.811361828243349, 2.898907928306779, 2.997635567735541, 3.0100978842137676, 3.020422104472789, 3.028725731527122, 2.993323958490461, 16.7375637342025, 17.02166820803927, 18.27298482490968]"
vald_static_cap_reactive_power_allT_kVAr,0.0
vald_load_reactive_power_vs_t_1toT_kVAr,"[27.907099967460006, 28.947111703861324, 30.550469382559317, 32.50049908129898, 33.67051734661785, 34.10385766578122, 34.493863617422754, 33.88718824883572, 33.93052286760478, 34.19052591828516, 35.793882999181726]"
vald_battery_real_power_transaction_magnitude_vs_t_1toT_kW,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
vald_load_reactive_power_allT_kVAr,359.9755387989089
vald_QSubs_vs_t_1toT_kVAr,"[12.069550763903564, 12.99792547829613, 14.52898502194664, 16.825649833330154, 19.294521095060002, 20.410956426803292, 21.697257832133197, 21.161009511698893, 22.79187480931899, 22.42790843577375, 23.228015391035147]"
