t,1,2,3,4,5,6,7,8,9,10,11,12
lambda,0.644,0.668,0.705,0.75,0.777,0.787,0.796,0.782,0.783,0.789,0.826,0.855
Irrad,0.1,0.2,0.3,0.5,0.8,0.9,1.0,1.0,0.99,0.9,0.7,0.4
cents/kWh,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,30.18066,30.18066,30.18066
P_Subs,0.0572585548967074,0.05800075048143794,0.05984301010523482,0.06203620836201577,0.06231200961279079,0.06252583374295614,0.06269223587195899,0.06189802703049915,0.06245242849309997,0.05802610670458081,0.06036525031982607,0.06438339576991522
P_ij_1_2,0.040321991013141205,0.04065765520850355,0.04174676207183792,0.0432068734628428,0.04346288697980112,0.043643446029105956,0.043803241027344675,0.04338231780599939,0.04388672013180072,0.03909039715532005,0.03997625572795396,0.042521022534242614
P_ij_1_3,0.008584869294101998,0.008904815815402436,0.00939806860380547,0.009997973752444302,0.010357918479412587,0.010491231652976257,0.010611213653251754,0.01042457504513188,0.010437906363330744,0.010517894307909057,0.011011154639909706,0.011397765701904684
P_ij_1_10,0.008351694589464194,0.008438279457531958,0.008698179429591432,0.008831361146728669,0.008491204153577086,0.008391156060873926,0.008277781191362556,0.008091134179367883,0.008127801997968503,0.008417815241351705,0.0093778399519624,0.010464607533767923
P_ij_2_4,0.004293784932019732,0.00445381092459142,0.004700518954666293,0.005000571372929771,0.005180603937541763,0.005247282877608746,0.005307294022326943,0.005213943396315907,0.005220611291404489,0.005260618669262706,0.00550733181565696,0.005700702677435529
P_ij_2_5,0.010318964367380442,0.010067828421587988,0.010012681046896251,0.010357830617103382,0.010696990753989374,0.010843842599017372,0.010993394672921644,0.011016239751383787,0.011283985872250116,0.00763208033302064,0.00696800414329069,0.006801698174857021
P_ij_2_6,0.017119852287973948,0.01722658593138371,0.01763059477780196,0.01784518785679723,0.01722190208957955,0.017055520600698655,0.016885664309650657,0.016722009045031908,0.01693854595711147,0.015675313055638723,0.016485102034230346,0.01861562448356669
P_ij_6_7,0.004293856231995274,0.004453887642142234,0.0047006044154179905,0.00500066810431079,0.00518070776731886,0.005247389402054872,0.0053074030031288666,0.005214048573243293,0.005220716739006305,0.00526072572236294,0.005507449151459463,0.005700828416640242
P_ij_6_8,0.004293828722787416,0.004453858043538253,0.00470057144546672,0.005000630788740059,0.005180667714972908,0.005247348311266946,0.0053073609661555155,0.005214008002697922,0.005220676064412383,0.005260684424479075,0.00550740388810247,0.005700779916454274
P_ij_8_9,0.004293591709856833,0.004453603029597902,0.004700287386139784,0.005000309290595768,0.00518032263884142,0.005246994288734182,0.005306998792045691,0.005213658462165045,0.0052203256274789755,0.0052603286177712386,0.005507013918147499,0.005700362060817042
Q_ij_1_2,0.009357020437507697,0.010109254013887065,0.011288133803390873,0.012938999494968045,0.014641393860128396,0.015402892991334306,0.01627298868419959,0.01585584130397555,0.01581744878034129,0.015357990128780355,0.015624472003241891,0.015765518634957735
Q_ij_1_3,0.0042942631495622805,0.004454325449638611,0.004701092055205168,0.005001219967288982,0.005181300067762836,0.0052479970394988,0.005308024609028374,0.005214648510507081,0.005221318209405618,0.005261336475244839,0.0055081185256772025,0.005701545596572091
Q_ij_1_10,0.001755552246419025,0.0019199757678510345,0.00218465706268645,0.0026137208631934945,0.0032185696449177534,0.003508723136703004,0.0038615465078775234,0.0037707394441907913,0.0037436617078339266,0.0034270520282129132,0.003252586752819586,0.0030815221350219543
Q_ij_2_4,0.002146692322144021,0.0022267025721610907,0.002350053017610644,0.0025000759712705783,0.0025900908730550785,0.0026234299410403503,0.0026534352022966447,0.002606760395627263,0.0026100943035231544,0.0026300977583300572,0.00275345339330547,0.0028501386537422378
Q_ij_2_5,0.0012948636773489875,0.0014468985847229169,0.0016835745488762094,0.0019732344969631316,0.0021456546969649284,0.0022095252227683788,0.002266691436772824,0.0021748807847423728,0.002181681542102667,0.0021749812213412443,0.0024213530575314278,0.002614527489871702
Q_ij_2_6,0.0016119537048360653,0.001971887573009996,0.0025433921787400156,0.0034536058813296197,0.00471315394106359,0.005310548926180157,0.006033228573919942,0.005848196018299406,0.0057927534523687235,0.005282387375122367,0.004932007267461063,0.004588604257869774
Q_ij_6_7,0.0021467643769243054,0.002226780101877643,0.0023501393831069856,0.0025001737267403975,0.0025901958020872057,0.002623537593280549,0.0026535453369117726,0.002606866686086418,0.0026102008675259495,0.0026302059447908034,0.0027535719713446156,0.002850265724198973
Q_ij_6_8,0.0021467820847809074,0.002226799154549677,0.002350160605676304,0.00250019774622321,0.002590221582974855,0.0026235640425098586,0.0026535723951036667,0.002606892800487757,0.0026102270488929493,0.0026302325273069396,0.002753601106010421,0.0028502969420321385
Q_ij_8_9,0.0021465416805683288,0.0022265404917612137,0.002349872481907489,0.0024998716479464884,0.0025898715693470496,0.0026232049544718567,0.0026532050388523663,0.002606538258580007,0.0026098715977585867,0.0026298716295651277,0.002753205556199178,0.0028498731075384124
l_ij_1_2,0.0016143666686175263,0.0016543178958374767,0.001762848464476083,0.0019174492765970507,0.001982622571806969,0.0020190091479584528,0.0020581532594004873,0.0020109401709006726,0.0020511873207359386,0.0016626613622320579,0.0017364726039243866,0.001938528817653269
l_ij_1_3,8.685142501131482e-5,9.344590434304795e-5,0.00010408517296007847,0.00011779779462322102,0.00012643260026237716,0.00012970818599585172,0.00013269203548402987,0.00012806515596165523,0.0001283929240206722,0.0001303683308305095,0.00014288330304167542,0.0001530933030307337
l_ij_1_10,6.862062282085089e-5,7.056548854881921e-5,7.579416316737249e-5,7.994302596325198e-5,7.772018176807804e-5,7.796967190491669e-5,7.864078207591417e-5,7.510739068217586e-5,7.5476086859518e-5,7.786247164808385e-5,9.286756436821398e-5,0.00011217248012232129
l_ij_2_4,2.172935284525636e-5,2.3379475691627277e-5,2.604186273735799e-5,2.9473541793965493e-5,3.1634683919036464e-5,3.2454589435326975e-5,3.320155244907554e-5,3.2043604067325645e-5,3.212569383998212e-5,3.261890441940763e-5,3.575051596774448e-5,3.830575699467914e-5
l_ij_2_5,0.00010144907225303707,9.743231814807197e-5,9.720543917134025e-5,0.00010482427140764949,0.0001122255516984216,0.000115467632239069,0.00011878239529066522,0.00011886277618539267,0.00012446376956427228,5.938515333281013e-5,5.131330304718553e-5,5.006906193305242e-5
l_ij_2_6,0.00027878989366368764,0.0002834753834025647,0.0002991987978301817,0.00031153343215914464,0.0003006312431651576,0.00030090325071012425,0.00030320105081659893,0.000295938038198795,0.0003022031586461531,0.00025801368665850347,0.00027919951992351905,0.00034664254979104145
l_ij_6_7,2.1736924399576477e-5,2.338783865397779e-5,2.605165958124797e-5,2.948526413267671e-5,3.164765966102441e-5,3.2468156497782535e-5,3.3215758133874485e-5,3.2057101063657275e-5,3.213931219953865e-5,3.2631787664666645e-5,3.576498579817747e-5,3.832245389037681e-5
l_ij_6_8,2.1736773287766733e-5,2.338767000171387e-5,2.6051461304991597e-5,2.948502538534638e-5,3.1647394168470674e-5,3.246788061102813e-5,3.321547266041808e-5,3.205683039873049e-5,3.213904049202175e-5,3.2631509696488025e-5,3.576466684495299e-5,3.832210011150678e-5
l_ij_8_9,2.1736773287766733e-5,2.3387670001713867e-5,2.6051461304991593e-5,2.9485025385346385e-5,3.1647394168470674e-5,3.246788061102813e-5,3.3215472660418075e-5,3.205683039873049e-5,3.213904049202175e-5,3.2631509696488025e-5,3.5764666844953e-5,3.832210011150678e-5
v_j_1,1.0609,1.0609,1.0609,1.0609,1.0609,1.0609,1.0609,1.0609,1.0609,1.0609,1.0609,1.0609
v_j_2,1.0605413392794423,1.060530031720988,1.060508916249856,1.060479739296609,1.0604571859847143,1.0604466995866522,1.0604349982173449,1.0604426839363579,1.0604401168338182,1.0604747037787128,1.060466074141615,1.0604489911976882
