first,second
vald_pv_real_power_allT_kW,54.52220981705904
vald_pv_reactive_power_vs_t_1toT_kVAr,"[8.043052150763094, 7.989257583546919, 7.882510685624631, 7.432760437363196, 6.099852909283561, 5.409447903934414, 4.511133574338878, 4.507709800976692, 4.610477639277562, 5.531738052875028, 6.79710897159846, 7.892553543988329]"
disc_PSubs_all_time_kW,9.574999680239671e-6
vald_PLoss_allT_kW,0.1293243697842954
vald_total_gen_real_power_vs_t_1toT_kW,"[-1.4460054319372269, -0.10832294755015814, 1.2561522168005994, 2.963063135952222, 5.027062542634379, 5.679916549075832, 6.293567048238704, 5.874366749393082, 5.406816479125851, 10.35133569573594, 11.218946118614642, 9.715159277887382]"
vald_PSubs_allT_kW,731.7937274598637
vald_battery_real_power_allT_kW,7.70984761691221
vald_PSubs_vs_t_1toT_kW,"[57.25855893957421, 58.00074600664267, 59.84300347273964, 62.03620028900868, 62.31200072156352, 62.525824937450786, 62.69222638488581, 61.898018925304406, 62.45242029572417, 58.02609987434938, 60.36524141770471, 64.38338619491554]"
vald_battery_real_power_vs_t_1toT_kW,"[-2.145905105171936, -1.5081229741913442, -0.8435478300831921, -0.5364368986343307, -0.5721374399926402, -0.6191834362471309, -0.7054329259194863, -1.1246332662128307, -1.5221935182249435, 4.052235654874035, 6.319646120239489, 6.915559236476522]"
vald_substation_real_power_peak_allT_kW,64.38338619491554
vald_terminal_soc_violation_kWh,9.098592603045578
vald_solution_time,0.0
vald_battery_reactive_power_vs_t_1toT_kVAr,"[4.47239168761377, 4.489881944050453, 4.510702765577018, 4.53182020031503, 4.547915717445283, 4.553620388445121, 4.559336545729048, 4.5569473770893065, 4.556661256124781, 4.6283199669802535, 4.6284475808032814, 4.628452818341065]"
vald_battery_real_power_transaction_magnitude_t_kW,6.915559236476522
disc_line_loss_all_time_kW,8.800042545253559e-6
vald_PLoss_vs_t_1toT_kW,"[0.009305594297306924, 0.009555547904383274, 0.010201682849164171, 0.011014896660259182, 0.0112374308750841, 0.011405071189373303, 0.011598120952984573, 0.011303221583853882, 0.011503912316532479, 0.009795018266807346, 0.010462108901955617, 0.011941763986590559]"
vald_QLoss_vs_t_1toT_kVAr,"[0.055385898280485436, 0.05499202427863952, 0.05394950358077881, 0.0525540261425665, 0.05206101364644928, 0.05175178185354207, 0.05140924581601757, 0.05187711831267188, 0.05152867048858115, 0.05466721749607996, 0.053726939961537025, 0.05155203243811593]"
disc_voltage_all_time_pu,1.0491135083556813e-5
vald_load_real_power_vs_t_1toT_kW,"[55.80324486293488, 57.88286786464908, 61.088954733549315, 64.98824958723033, 67.32782662548833, 68.1943368111403, 68.97419577134708, 67.76108214099736, 67.84773297038797, 68.36763957433524, 71.57372579491302, 74.08660457891558]"
vald_PSubsCost_allT_dollar,81.62755290422221
vald_PSubsCost_vs_t_1toT_dollar,"[2.7600938654655924, 2.7958702805340434, 2.88467453312008, 2.990395480179386, 3.0036901752622764, 3.013997366317875, 3.0220185883460906, 2.9837345801961304, 3.010458966031899, 17.51265991433781, 18.218628270456637, 19.431330883974397]"
vald_static_cap_reactive_power_allT_kVAr,0.0
