first,second
vald_pv_real_power_allT_kW,54.52220976008235
vald_pv_reactive_power_vs_t_1toT_kVAr,"[8.051135249689242, 7.995995019168035, 7.88757422606189, 7.435983783595546, 6.101653962354614, 5.41086114207515, 4.512239481230222, 4.508907774640901, 4.611692568658995, 5.531745363036624, 6.797117658586867, 7.89256339706653]"
disc_PSubs_all_time_kW,9.548199713549366e-6
vald_PLoss_allT_kW,0.13243797698811613
vald_total_gen_real_power_vs_t_1toT_kW,"[-1.4584870444132263, -0.16373996945648606, 1.2443557827752958, 2.9729244801149264, 5.037984020816482, 5.692129804710616, 6.307052190651757, 5.882295776995498, 5.432101297724673, 7.090487900821821, 7.562430064409389, 8.00044163032916]"
vald_PSubs_allT_kW,740.4289222769037
vald_battery_real_power_allT_kW,-0.922233824602432
vald_PSubs_vs_t_1toT_kW,"[57.271047532584696, 58.056179977900086, 59.85480221873996, 62.02633432939705, 62.30107473501141, 62.51360687037664, 62.67873621750642, 61.89008824607923, 62.42712644208117, 61.28810423645254, 64.02319688491934, 66.09862458585513]"
vald_battery_real_power_vs_t_1toT_kW,"[-2.1583867179664376, -1.5635399965981553, -0.8553442633833996, -0.5265755542219441, -0.5612159617877939, -0.6069701806033296, -0.6919477834949237, -1.1167042385033379, -1.4969086997816503, 0.7913878833105338, 2.6631300686310952, 5.200841619796911]"
vald_substation_real_power_peak_allT_kW,66.09862458585513
vald_terminal_soc_violation_kWh,0.012191085832433552
vald_solution_time,0.0
vald_battery_reactive_power_vs_t_1toT_kVAr,"[4.474779802122605, 4.491580095400078, 4.511700752795399, 4.532296640208543, 4.548136223605726, 4.553781086824316, 4.559450401467599, 4.557078140121671, 4.5567985439866865, 4.628325095126847, 4.628453798564873, 4.628456676129511]"
vald_battery_real_power_transaction_magnitude_t_kW,5.200841619796911
disc_line_loss_all_time_kW,8.861302956793965e-6
vald_PLoss_vs_t_1toT_kW,"[0.009312577576467447, 0.009572502099199482, 0.010203986459148837, 0.011010277075673912, 0.01123292293799841, 0.01140025971497198, 0.011593095960953178, 0.01130157324947504, 0.011494870909285965, 0.010952493267478531, 0.011901797860225088, 0.012461619877238263]"
vald_QLoss_vs_t_1toT_kVAr,"[0.055376311761486705, 0.054958772561041994, 0.05394344269676276, 0.052561493842290245, 0.05206879692071334, 0.05176032122450351, 0.051418476490515334, 0.051881608697621234, 0.05154573710712475, 0.05260216362458095, 0.05127566188125047, 0.05051471958935917]"
disc_voltage_all_time_pu,1.0491147266034062e-5
vald_load_real_power_vs_t_1toT_kW,"[55.80324486255541, 57.882867864392686, 61.08895473469306, 64.98824958774972, 67.32782662526252, 68.19433681111205, 68.97419577127864, 67.76108214006895, 67.84773297195521, 68.36763924460845, 71.573725690797, 74.08660486155524]"
vald_PSubsCost_allT_dollar,84.23371255535532
vald_PSubsCost_vs_t_1toT_dollar,"[2.7606958661026137, 2.7985424219018946, 2.8852432803442296, 2.9899199010676285, 3.0031634985694793, 3.01340840612391, 3.0213683077781277, 2.983352289417533, 3.009239700099138, 18.497154360049336, 19.322623372968096, 19.949001150933345]"
vald_static_cap_reactive_power_allT_kVAr,0.0
vald_load_reactive_power_vs_t_1toT_kVAr,"[27.907099037032122, 28.94711167246939, 30.550469326674826, 32.500499025652175, 33.67051732273242, 34.10385766026047, 34.49386361257184, 33.88718827512455, 33.930521892712534, 34.19052642634671, 35.7938834334208, 37.050569724241726]"
vald_battery_real_power_transaction_magnitude_vs_t_1toT_kW,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
vald_load_reactive_power_allT_kVAr,397.0261074092396
vald_QSubs_vs_t_1toT_kVAr,"[15.325921142826559, 16.40460845831775, 18.09722951195055, 20.47980880854966, 22.96868651892027, 24.0873867316313, 25.37089478373467, 24.76949338707145, 24.710530985598357, 23.977917484037043, 24.31712115936254, 24.478984653750505]"
