t,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
lambda,0.71,0.657,0.618,0.592,0.598,0.613,0.644,0.668,0.705,0.75,0.777,0.787,0.796,0.782,0.783,0.789,0.826,0.855,0.95,1.0,0.97,0.921,0.85,0.72
Irrad,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.5,0.8,0.9,1.0,1.0,0.99,0.9,0.7,0.4,0.1,0.0,0.0,0.0,0.0,0.0
cents/kWh,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,4.820404,4.820404
P_Subs,0.06173124683904659,0.05729050876183852,0.05426542822046254,0.05294567530104419,0.053192055055642756,0.0540472894478066,0.05570151094287015,0.05697763134521482,0.059346282961965105,0.061771306483595224,0.06204188062480452,0.062243155747034803,0.062380766739467616,0.06140099539615031,0.06196859720412668,0.06201947010159854,0.06662708547880342,0.071176321570748,0.07813537954403638,0.08056451760513814,0.07917646750445435,0.07728173266333913,0.07670118062323118,0.06894970063192266
P_ij_1_2,0.042801544050487944,0.03977394876679194,0.037788719298564415,0.03716219633778572,0.037248600237738454,0.03770389423312962,0.038764947063580406,0.03963453607672789,0.041250034934223495,0.042941971594541065,0.04319275801053054,0.043360768054208236,0.04349177191723789,0.04288528619469878,0.0434028888657208,0.04308376055240349,0.046238090886965934,0.04931394833508209,0.05303976437662379,0.053902285926174666,0.05331417217189505,0.05272599056725163,0.05403858189519773,0.04975336559304666
P_ij_1_3,0.009464724562937921,0.00875817353933796,0.00823826165785209,0.00789165516054973,0.007971641174222747,0.008171606473763816,0.008584869294101998,0.008904815815402436,0.00939806860380547,0.009997973752444302,0.010357918479412587,0.010491231652976257,0.010611213653251754,0.01042457504513188,0.010437906363330744,0.010517894307909057,0.011011154639909706,0.011397765701904684,0.012664260140584718,0.013330842269653326,0.012930892486651791,0.01227764443610358,0.011331108521146353,0.00959803660757261
P_ij_1_10,0.009464978225620722,0.008758386455708622,0.008238447264046034,0.007891823802708742,0.00797181364368155,0.008171788740913167,0.008351694585187747,0.008438279453084493,0.008698179423936138,0.008831361136609858,0.008491204134861395,0.008391156039850306,0.00827778116897797,0.008091134156319645,0.008127801975075141,0.008417815241285993,0.009377839951927772,0.010464607533761223,0.012431355026827864,0.013331389409310144,0.012931402845907517,0.01227809765998392,0.0113314902068871,0.009598298431303384
P_ij_2_4,0.004733857998617252,0.00438046559506712,0.004120424180794121,0.003947064205213472,0.003987070284747053,0.004087085663961181,0.004293784929922133,0.004453810923108139,0.004700518953863885,0.005000571372445124,0.005180603937011121,0.005247282877039042,0.005307294021684766,0.0052139433953269625,0.005220611290439336,0.0052606186773493276,0.00550733182955587,0.005700702693592023,0.006334165707462289,0.0066675714395670145,0.006467527656723117,0.006140791693943514,0.005667362831511335,0.004800536181733924
P_ij_2_5,0.009593812776323686,0.008993860490137846,0.008739405679151414,0.009172615263034496,0.009014800191310405,0.00884756986366201,0.008985095500556355,0.00922119877377196,0.009617229843459921,0.010161587161675282,0.010523579700775216,0.010670730191151691,0.010813876477828915,0.010742679484614595,0.010989000304219829,0.010472385123385324,0.010963383211831015,0.011289886610180721,0.010121636418535569,0.009473905766197908,0.009913401177798927,0.01036955301686927,0.013399215613587232,0.013914361097110783
P_ij_2_6,0.019004004062802733,0.017637046643352815,0.016686679713935938,0.016147057455458032,0.016271263261260053,0.016593704237938284,0.016897025315389825,0.017050329589062437,0.017529436138031467,0.017776594357283248,0.01712525076433715,0.016946025001708276,0.016753790746556384,0.016498659697023885,0.016749820712549334,0.01682743842238144,0.018750022828376702,0.020918587777756046,0.02391150951580065,0.024421433326254856,0.023994046223483213,0.023929947844449368,0.023632525955050634,0.021433450618170015
P_ij_6_7,0.004733944684365314,0.004380539806711827,0.004120489833867639,0.0039471244451341255,0.003987131753121277,0.0040871502579811255,0.004293856228138719,0.004453887639252152,0.0047006044137596955,0.005000668103208272,0.005180707765914439,0.005247389400483758,0.0053074030012708545,0.005214048570285407,0.00522071673633472,0.005260725741660052,0.005507449188451679,0.005700828458265177,0.006334321031270271,0.006667743565682504,0.006467689596044966,0.006140937671698351,0.0056674871531542355,0.00480062534702775
P_ij_6_8,0.004733911244147347,0.0043805111751897855,0.004120464502225905,0.003947101200959728,0.003987108035204626,0.00408712533474244,0.004293828719275077,0.004453858040906126,0.004700571443956437,0.005000630787735948,0.005180667713693843,0.005247348309836065,0.005307360964463346,0.005214008000004049,0.005220676061979257,0.0052606844420537745,0.005507403921792823,0.005700779954363814,0.006334261140791402,0.006667677201039858,0.0064676271559822715,0.006140881383547742,0.0056674392120130805,0.004800590955139321
P_ij_8_9,0.004733623133316903,0.0043802644930496844,0.004120246250011014,0.003946900933303796,0.003986903686018439,0.004086910601114259,0.004293591709309945,0.004453603029188068,0.004700287385904627,0.005000309290439423,0.005180322638642263,0.005246994288511387,0.005306998791782212,0.005213658461745597,0.005220325627100127,0.005260328620507702,0.0055070139233932445,0.005700362066719735,0.0063337451574923525,0.006667105443383388,0.00646708920817979,0.006140396434216829,0.005667026172608748,0.004800294645363975
Q_ij_1_2,0.011263585925465778,0.009715161747941691,0.008592317562870834,0.007856645375715643,0.008025259710273623,0.00844992744483923,0.009356988975579548,0.010109137035240018,0.011287999415100338,0.01293883940316743,0.014641185370515591,0.01540267133100452,0.016272746043232166,0.01585547302469035,0.015817086988451395,0.015360503870356118,0.01562868376931409,0.01577036673997479,0.018320830658867995,0.01980124159087371,0.01890119864194862,0.017431838771221602,0.01541179876437005,0.01156236037203794
Q_ij_1_3,0.0047344392560151405,0.004380963315454879,0.0041208645667230315,0.003947468315780697,0.003987482628257778,0.004087518952749192,0.0042942631495622805,0.004454325449638611,0.004701092055205168,0.005001219967288982,0.005181300067762836,0.0052479970394988,0.005308024609028374,0.005214648510507081,0.005221318209405618,0.005261336475244839,0.0055081185256772025,0.005701545596572091,0.006335206322317848,0.006668724474505732,0.006468612548101727,0.006141769746332758,0.005668195894588439,0.004801133916366334
Q_ij_1_10,0.0021353908433954898,0.0018227586998216657,0.0016016683517801186,0.00145958254135947,0.0014919523133849317,0.0015739870928577105,0.0017562644872062604,0.0019204977938577978,0.0021849303462094624,0.002613620058782617,0.003218088835150054,0.003508185423574673,0.0038609997432388745,0.003770155242130884,0.0037430806400550786,0.0034270507828394682,0.003252586171360508,0.003081522272068173,0.0035620723937102782,0.0038844023903096482,0.0036851807611072976,0.003360015370350735,0.003003770476613863,0.002195651349314908
Q_ij_2_4,0.0023667221194241766,0.0021900311234544076,0.0020600153026178836,0.0019733390698349687,0.001993341207740254,0.0020433467354646004,0.0021466923200164087,0.0022267025706565868,0.002350053016796755,0.002500075970778997,0.002590090872516844,0.0026234299404624944,0.002653435201645279,0.002606760394624169,0.0026100943025441905,0.0026300977665323867,0.0027534534074032516,0.002850138670129906,0.00316687308642439,0.0033335796159678142,0.003233555349744592,0.0030701846291509727,0.002833468738480496,0.0024000604196283684
