t,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
lambda,0.71,0.657,0.618,0.592,0.598,0.613,0.644,0.668,0.705,0.75,0.777,0.787,0.796,0.782,0.783,0.789,0.826,0.855,0.95,1.0,0.97,0.921,0.85,0.72
Irrad,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.5,0.8,0.9,1.0,1.0,0.99,0.9,0.7,0.4,0.1,0.0,0.0,0.0,0.0,0.0
cents/kWh,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,4.820404,4.820404
P_Subs,0.05453161830358711,0.05529369896887171,0.05355845937988865,0.051304837740509646,0.05182490128943554,0.05312506801949705,0.05511195642716376,0.056492115796909145,0.058999153271533565,0.06149955720098488,0.06173963487192152,0.06190639119585051,0.06198650531235563,0.06077292861987596,0.06092964320875063,0.06207975233917217,0.06668731616385888,0.07130175878166337,0.08163818561888253,0.0866732885155338,0.08407238051240964,0.07982432910762984,0.0736703067665497,0.0694019176247986
P_ij_1_2,0.035601919057904025,0.03777714235156738,0.037081753692474885,0.03552136193583445,0.03588144962489362,0.03678167601770272,0.03817539588171474,0.039149023944548764,0.04090290876349406,0.042670225911300555,0.04289051589910955,0.04302400715121609,0.043097514132892145,0.042257223058510734,0.042363934567738314,0.04314404278035442,0.04629832155972002,0.04943938553228875,0.05654257044469823,0.0600110568328287,0.05821008517400169,0.05526858699736792,0.05100761662932493,0.05020558500922462
P_ij_1_3,0.009464724562937921,0.00875817353933796,0.00823826165785209,0.00789165516054973,0.007971641174222747,0.008171606473763816,0.008584869294101998,0.008904815815402436,0.00939806860380547,0.009997973752444302,0.010357918479412587,0.010491231652976257,0.010611213653251754,0.01042457504513188,0.010437906363330744,0.010517894307909057,0.011011154639909706,0.011397765701904684,0.012664260140584718,0.013330842269653326,0.012930892486651791,0.01227764443610358,0.011331108521146353,0.00959803660757261
P_ij_1_10,0.009464974682745167,0.008758383077966368,0.008238444029561675,0.007891820644125464,0.00797181049031917,0.008171785528030507,0.00835169125134703,0.008438276036957947,0.008698175904234034,0.008831357537240021,0.008491200493399386,0.008391152391658161,0.008277777526211732,0.008091130516233351,0.008127802277681572,0.00841781525090869,0.009377839964229157,0.010464607547469928,0.012431355033599583,0.013331389413051772,0.012931402851756167,0.012278097674158337,0.011331581616078421,0.009598296008001371
P_ij_2_4,0.004733857986401988,0.004380465591843932,0.0041204241794851465,0.003947064202902951,0.003987070282718965,0.004087085662401965,0.004293784928706586,0.004453810921993521,0.004700518952904632,0.00500057137156893,0.0051806039360727885,0.005247282876029578,0.005307294020557085,0.005213943393764925,0.005220611288443225,0.0052606186774716256,0.005507331829689766,0.005700702693890562,0.006334165717751246,0.006667571459452298,0.006467527671717644,0.006140791700962569,0.005667362837268588,0.0048005361821838845
P_ij_2_5,0.004798855330559777,0.007661598499716482,0.008238138152810872,0.007891541338330022,0.007971525150468856,0.008171484878272496,0.008584735878971286,0.008904672968697144,0.009397910740288661,0.009997796844388847,0.010357729726178851,0.010491038434390663,0.01061101637884156,0.010424384054868376,0.010437721304134341,0.010517698499372695,0.01101094226215841,0.011397539679891345,0.012663986936204113,0.013330542710702907,0.012930608868041994,0.012277386365850873,0.011331202336371153,0.014263707248464874
P_ij_2_6,0.016600949478948464,0.016972950616217,0.0164811403994508,0.01578764218436468,0.015947679206337568,0.016347774474650887,0.016707970856335106,0.016881459957681744,0.017401717824828133,0.017668712504763963,0.016988939659436736,0.01678904549976037,0.016562496920916454,0.016189050858646532,0.0162623967370021,0.016842392487202783,0.018762678593918593,0.020936336642350867,0.024870873411230777,0.026671588124646244,0.0258711986315969,0.024563930012637496,0.022670224381917965,0.02153620140985711
P_ij_6_7,0.004733944653205255,0.0043805397985424354,0.004120489830713244,0.00394712444007813,0.003987131748562263,0.004087150254328303,0.004293856225126153,0.0044538876364265895,0.004700604411303158,0.005000668100926258,0.0051807077633376185,0.005247389397651196,0.005307402998012853,0.005214048565631132,0.005220716730156275,0.0052607257419332995,0.0055074491887317925,0.005700828458812724,0.006334321055261655,0.00666774361911453,0.006467689637183413,0.006140937687417259,0.005667487165769346,0.00480062534794843
P_ij_6_8,0.00473391121576851,0.004380511167749554,0.004120464499353053,0.003947101196355,0.003987108031052522,0.004087125331415646,0.004293828716531397,0.0044538580383327595,0.00470057144171916,0.005000630785657619,0.005180667711347022,0.00524734830725633,0.005307360961496147,0.005214007995765202,0.005220676056352284,0.005260684442302633,0.005507403922047934,0.005700779954862488,0.006334261162641297,0.006667677249702448,0.006467627193448654,0.006140881397863578,0.005667439223502181,0.004800590955977825
P_ij_8_9,0.004733623128898184,0.004380264491891206,0.004120246249563697,0.003946900932586818,0.003986903685371936,0.004086910600596261,0.004293591708882741,0.004453603028787383,0.004700287385556272,0.005000309290115817,0.005180322638276853,0.00524699428810971,0.005306998791320206,0.0052136584610855885,0.00522032562622398,0.005260328620546451,0.005507013923432966,0.0057003620667973815,0.0063337451608944835,0.0066671054509603814,0.006467089214013482,0.006140396436445873,0.005667026174397655,0.004800294645494534
Q_ij_1_2,0.011136506676110087,0.009567589081977919,0.008422198654068846,0.0076666199795291075,0.007840129033775853,0.008276355537115348,0.009204186822282467,0.009970644655122691,0.011167325772914316,0.012837346373626582,0.014555119928061654,0.015322105475230788,0.0161977295613518,0.015778195618890777,0.015835053375513542,0.015360596303553362,0.01562877008765615,0.015770497257340338,0.018323804452241802,0.019806765878804856,0.018905573385624933,0.017433959983454112,0.018090293556279242,0.011471997086584362
Q_ij_1_3,0.0047344392560151405,0.004380963315454879,0.0041208645667230315,0.003947468315780697,0.003987482628257778,0.004087518952749192,0.0042942631495622805,0.004454325449638611,0.004701092055205168,0.005001219967288982,0.005181300067762836,0.0052479970394988,0.005308024609028374,0.005214648510507081,0.005221318209405618,0.005261336475244839,0.0055081185256772025,0.005701545596572091,0.006335206322317848,0.006668724474505732,0.006468612548101727,0.006141769746332758,0.005668195894588439,0.004801133916366334
Q_ij_1_10,0.0020214363295577658,0.001697646071571897,0.0014666613770914268,0.0013135533817156425,0.0013510087567016448,0.0014377419504516423,0.0016286610960484405,0.0018003208982015006,0.0020751756536364152,0.0025193936739495385,0.0031404660570310654,0.003436838759708772,0.0037963980952448583,0.003704074149135726,0.0037822740383176784,0.0034275427409935747,0.0032531832807424364,0.0030822169495643846,0.0035624050761970958,0.0038845973867899348,0.0036854602287950703,0.003360664276986257,0.004659732410871965,0.002142949040659811
Q_ij_2_4,0.00236672210703413,0.002190031120185101,0.0020600153012901804,0.0019733390674913876,0.001993341205683147,0.002043346733883074,0.0021466923187834675,0.00222670256952602,0.002350053015823776,0.0025000759698902654,0.0025900908715650855,0.002623429939438586,0.0026534352005014635,0.0026067603930397805,0.002610094300519519,0.0026300977666564337,0.002753453407539063,0.002850138670432717,0.0031668730968605653,0.0033335796361376245,0.0032335553649536684,0.003070184636270459,0.002833468744320127,0.002400060420084767
