first,second
vald_pv_real_power_allT_kW,55.22210930491525
vald_pv_reactive_power_vs_t_1toT_kVAr,"[8.141735259491792, 8.086030227675387, 8.029780627091489, 7.981872378839704, 7.993824076100378, 8.02131414443393, 8.041827725994695, 7.98841477036933, 7.882082037181423, 7.432806877022976, 6.100317537939014, 5.409976347153149, 4.51167590343728, 4.50828811242015, 4.611052577592096, 5.531740344710547, 6.797111568500071, 7.892555759443504, 8.347292969342748, 8.378385735880551, 8.37726603878653, 8.3751469592188, 8.226697697079413, 8.150290507322115]"
disc_PSubs_all_time_kW,1.4728111366935082e-5
vald_PLoss_allT_kW,0.29135782340586597
vald_total_gen_real_power_vs_t_1toT_kW,"[-0.19807339616940087, -0.35141812579597287, -0.7067280071401252, -1.6403361931965157, -1.3667254178293102, -0.9219168572052762, 0.11055723436605658, 0.9144672641532079, 1.752710689067762, 3.227868528971598, 5.297087130813191, 5.962483322461373, 6.604911168808821, 6.371198377359066, 5.890456076865279, 6.359359806166769, 4.959506535404291, 2.9249874972119425, 4.201063348143778, 6.10559425951938, 4.893392421781389, 2.541437419836842, -3.030543166905588, -6.54700526201228]"
vald_PSubs_allT_kW,1537.936034960916
vald_battery_real_power_allT_kW,-1.867774650238978
vald_PSubs_vs_t_1toT_kW,"[61.731247639669014, 57.290506162237406, 54.265425816098386, 52.94567709888257, 53.192053929602174, 54.0472859449963, 55.701506023061235, 56.977626027439776, 59.34627636173055, 61.77129839882985, 62.04187177462907, 62.24314697972109, 62.38075729254944, 61.400987423114515, 61.968589561202954, 62.019462032104, 66.627075576289, 71.17631163061755, 78.13536481592502, 80.56450499873947, 79.17645890210265, 77.28172517246539, 76.70117505098212, 68.94970034792617]"
vald_battery_real_power_vs_t_1toT_kW,"[-0.19807295385449122, -0.3514179878194148, -0.7067279157388657, -1.6403361477366167, -1.3667254273746257, -0.9219168858363032, -0.5893428155809219, -0.4853327710761395, -0.346989366167619, -0.27163150829807425, -0.3021128516147568, -0.3366166628418454, -0.39408880557956577, -0.6278016397692254, -1.038553920202665, 0.06025979788920367, 0.06020654323950283, 0.12538745665696815, 3.501163136135644, 6.105594165979557, 4.893392481292351, 2.5414374940345166, -3.030543095069563, -6.547004970906029]"
vald_substation_real_power_peak_allT_kW,80.56450499873947
vald_terminal_soc_violation_kWh,0.00014854421681622632
vald_solution_time,0.0
vald_battery_reactive_power_vs_t_1toT_kVAr,"[4.509626483090405, 4.480623280710342, 4.44928864181559, 4.421039343785036, 4.42820638006058, 4.444401298321437, 4.472012852072846, 4.4896979719797105, 4.510677585274038, 4.531857987423987, 4.547955004300052, 4.5536554022283156, 4.559365553107235, 4.556975348905766, 4.556691087208513, 4.628325940453785, 4.628457382536389, 4.628463955375547, 4.63059563974012, 4.6315799764053445, 4.631000588381442, 4.62991050578512, 4.551485738718969, 4.5139554713426]"
vald_battery_real_power_transaction_magnitude_t_kW,6.547004970906029
disc_line_loss_all_time_kW,1.040687080883923e-5
vald_PLoss_vs_t_1toT_kW,"[0.010958846564438319, 0.009379499573473367, 0.008378866087507958, 0.007948427189880931, 0.008030617426626576, 0.008306398308467123, 0.008819924095454554, 0.009225862192502064, 0.01003313872104991, 0.010918446086888252, 0.011133064188288699, 0.011293880728390831, 0.011473136761564091, 0.011103285664250506, 0.011312785366313619, 0.011182526233626049, 0.012857614955801183, 0.014695742382543358, 0.01798300650576948, 0.019101404269455998, 0.018380041588707173, 0.017590069116064113, 0.017280210762643945, 0.013971028636157826]"
vald_QLoss_vs_t_1toT_kVAr,"[0.05293768661026866, 0.05547732821173986, 0.05706960730700416, 0.057689310452554994, 0.05758027169726006, 0.057169810426916004, 0.05631583258734327, 0.05561568660599642, 0.054264360241237, 0.05273072865604149, 0.052246467045780266, 0.0519477765782558, 0.05162742313577474, 0.05222341425439163, 0.05186593816744289, 0.052144571325799007, 0.04950033407487899, 0.046687273215102326, 0.04187047959895881, 0.04023381007820626, 0.04129040720432977, 0.04250204855570064, 0.04251969446562998, 0.047659297288592826]"
disc_voltage_all_time_pu,1.0491556091007936e-5
vald_load_real_power_vs_t_1toT_kW,"[61.5222111878261, 56.92970734905586, 53.55031821186709, 51.29739211709233, 51.81729797285008, 53.11706292484111, 55.80324383528869, 57.88286785554773, 61.08895472176669, 64.98824958043934, 67.32782662688737, 68.19433681225098, 68.97419577389972, 67.76108215564547, 67.84773296781336, 68.36763911695256, 71.57372544600435, 74.086604436443, 82.31844839289639, 86.65099927569122, 84.05147042847494, 79.80557150974732, 73.65335054662557, 62.38872103329535]"
vald_PSubsCost_allT_dollar,204.73520553113187
