first,second
vald_pv_real_power_allT_kW,55.22210915897448
vald_pv_reactive_power_vs_t_1toT_kVAr,"[8.394659482940938, 8.393668068710245, 8.392510919866004, 8.391311665011994, 8.391634849996821, 8.392316070936872, 8.364163225098718, 8.276556716496529, 8.128071647365864, 7.631751964847039, 6.257507416813478, 5.552923639715048, 4.640477590366244, 4.640420903291252, 4.744229960510407, 5.552933285737575, 6.8193171775802846, 7.915875184566993, 8.367363420629285, 8.396767116977166, 8.396654196401377, 8.396439652615774, 8.396040521403881, 8.394803158295083]"
disc_PSubs_all_time_kW,1.6717820898293212e-5
vald_PLoss_allT_kW,0.2920057571006032
vald_total_gen_real_power_vs_t_1toT_kW,"[-5.516611781343478e-5, -0.00010282137824887894, -0.00014004430711923762, -0.00016612716631588507, -0.00015985143861434967, -0.00014474749354520677, 0.6997749638400899, 1.3996875003286946, 2.0996119764678345, 3.4994332932988095, 5.599128306656809, 6.29902754622187, 6.998925871064405, 6.99891296231956, 6.928924902496071, 6.299029377496824, 4.89928168930951, 2.7996355995353084, 0.7000569929589193, 0.00022572764621210886, 0.00019010639091900412, 0.00013779758519569257, 6.961296388745474e-5, -4.612872037669571e-5]"
vald_PSubs_allT_kW,1536.0697790377699
vald_battery_real_power_allT_kW,-0.0008698190155924786
vald_PSubs_vs_t_1toT_kW,"[61.53313037030329, 56.9390436704241, 53.55858421254321, 51.30498842009293, 51.82504486812704, 53.12519614309533, 55.11206423059871, 56.49221093963953, 58.9992229421378, 61.49960432610255, 61.73968637647145, 61.906443568714955, 61.986558688530586, 60.77299639311396, 60.92967945518876, 62.079810526668915, 66.68731991088902, 71.30170852098362, 81.63800757785691, 86.67304358089496, 84.0721775152203, 79.82417950400847, 73.66912372960793, 62.39995356655538]"
vald_battery_real_power_vs_t_1toT_kW,"[-5.470865858937046e-5, -0.00010267561862103758, -0.00013994126620405108, -0.00016606035135545644, -0.00015986695590200012, -0.00014478691123888987, -0.00012509499937638223, -0.00011253825481113088, -8.80832100182778e-5, -6.674637072650569e-5, -7.167563095480795e-5, -7.243912598334606e-5, -7.410369697263464e-5, -8.705636877175021e-5, -8.509773424213507e-5, -7.062719696699854e-5, -1.833210418603348e-5, 3.5558443751567136e-5, 0.0001567098534720479, 0.00022555155758072865, 0.00019019785412144175, 0.00013794034616088636, 6.980589962077532e-5, -4.5748515379117946e-5]"
vald_substation_real_power_peak_allT_kW,86.67304358089496
vald_terminal_soc_violation_kWh,0.0007426049220972807
vald_solution_time,0.0
vald_battery_reactive_power_vs_t_1toT_kVAr,"[4.640479341928446, 4.640022243160232, 4.639532368054972, 4.639080678068115, 4.639197020248218, 4.639455139723765, 4.63988725656421, 4.640163695716488, 4.640495273793782, 4.6408355730273865, 4.641097746910514, 4.64119108186718, 4.641284636717035, 4.6412455262759815, 4.641240821953053, 4.641197301590135, 4.641210414142261, 4.641211004729357, 4.641425586500249, 4.641524798926177, 4.641466689809596, 4.6413569440139275, 4.6411550521454465, 4.640547797249592]"
vald_battery_real_power_transaction_magnitude_t_kW,4.5748515379117946e-5
disc_line_loss_all_time_kW,1.049917449337523e-5
vald_PLoss_vs_t_1toT_kW,"[0.010859731998016287, 0.009232278003216379, 0.008125166304700542, 0.007429689705353667, 0.007587159253148911, 0.00798877356191133, 0.008595924709162319, 0.009031036681459227, 0.009881045738506145, 0.010789168372511085, 0.010988843674949749, 0.011134685923479083, 0.011289218425760738, 0.01082676373990762, 0.010871367988374004, 0.01120093480804553, 0.012877099360941429, 0.014740757581469551, 0.019621138934394367, 0.022273154069855992, 0.020895686850311904, 0.018743492809455347, 0.01583995770374986, 0.01118268090192214]"
vald_QLoss_vs_t_1toT_kVAr,"[0.05310820202852438, 0.05573447994963681, 0.057522001294596406, 0.05864538103350901, 0.058390989898344625, 0.0577422803900663, 0.05671090718165397, 0.055955982339095954, 0.05452756471276439, 0.05295222956170983, 0.05249111528346521, 0.05221743798145917, 0.051938381494134774, 0.05269217431001607, 0.05262160466776322, 0.052109511760976605, 0.04946285673984994, 0.04659983694870652, 0.038913121550720006, 0.03471608310162128, 0.0369341952929667, 0.04040051967639556, 0.04507852431754418, 0.052587213237849484]"
disc_voltage_all_time_pu,1.0491722383099145e-5
vald_load_real_power_vs_t_1toT_kW,"[61.522211195372705, 56.92970735124385, 53.5503182158473, 51.2973921262267, 51.81729796995721, 53.11706291901049, 55.803243827870304, 57.88286785175882, 61.08895471580525, 64.98824957438914, 67.327826624348, 68.19433681310551, 68.9741957767151, 67.76108217307483, 67.84773300025748, 68.36763901769497, 71.57372563610072, 74.0866044281017, 82.31844781215695, 86.65099873152127, 84.05147063878454, 79.80557192650929, 73.65335111473263, 62.38872111539877]"
vald_PSubsCost_allT_dollar,209.03138797254252
vald_PSubsCost_vs_t_1toT_dollar,"[2.9661454776953144, 2.74469193865087, 2.581740135724801, 2.473107714001696, 2.49817653582499, 2.560849079889613, 2.656624148654349, 2.723152795822821, 2.844000902671728, 2.96452938691962, 2.9761023116788845, 2.984140682044078, 2.9880025544842757, 2.9295039490535206, 2.937056705645097, 18.736096543698153, 20.126673285417716, 21.519326222909093, 24.638889497847227, 26.15849659480173, 25.373538050465086, 24.091464213894483, 3.5511493870269697, 3.007929857720378]"
vald_static_cap_reactive_power_allT_kVAr,0.0
vald_load_reactive_power_vs_t_1toT_kVAr,"[30.767144233033108, 28.470439214821845, 26.780412797007898, 25.653728490286266, 25.913731884717933, 26.56374169813, 27.90709545253248, 28.947111567394064, 30.550469184257587, 32.5004989491658, 33.67051733332645, 34.103857673395936, 34.49386363800306, 33.88718838630483, 33.930521986024615, 34.19052591948133, 35.79388285725683, 37.050568884514526, 41.16729556987574, 43.33399743944096, 42.03398129539666, 39.91061590597084, 36.83390234927047, 31.200483540591325]"
vald_battery_real_power_transaction_magnitude_vs_t_1toT_kW,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
vald_load_reactive_power_allT_kVAr,795.6555762502006
vald_QSubs_vs_t_1toT_kVAr,"[17.67883049890375, 15.381033246655365, 13.690903561816157, 12.564653745448835, 12.824586586163411, 13.47422994786323, 14.846596830810347, 15.974507559728131, 17.727449943611852, 20.174955828395646, 22.71939861883849, 23.85742581591811, 25.160185356351974, 24.552819773043616, 24.492347450865672, 23.944321749589587, 24.28390290530215, 24.44682334440711, 28.11962984054681, 30.260923816550832, 28.958919236323133, 26.832422482739744, 23.751806867528416, 18.112479710909913]"
vald_total_gen_reactive_power_allT_kVAr,290.60470182929106
vald_battery_reactive_power_allT_kVAr,111.37630399311611
vald_pv_reactive_power_allT_kVAr,179.2283978361749
vald_QLoss_allT_kVAr,1.2200525947533702
vald_static_cap_reactive_power_vs_t_1toT_kVAr,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
vald_battery_real_power_transaction_magnitude_allT_kW,0.002501346925007373
vald_load_real_power_allT_kW,1590.9990105559837
