first,second
vald_pv_real_power_allT_kW,55.22210944005474
vald_pv_reactive_power_vs_t_1toT_kVAr,"[8.284283202916868, 8.251688419630835, 8.215390983858233, 8.18865374242834, 8.195842113532429, 8.299084589475745, 8.283562537629564, 8.159035108883328, 8.026354489323747, 7.5490038444717875, 6.19219416896717, 5.514087762384499, 4.605413128361318, 4.604306546750481, 4.707856439057465, 5.514275201025587, 6.756481585631394, 7.849859293791078, 8.311216495847946, 8.345607815463529, 8.342533484405424, 8.336656346816161, 8.325519937771451, 8.28880002069582]"
disc_PSubs_all_time_kW,3.572673203677823e-5
vald_PLoss_allT_kW,0.28432720662487826
vald_total_gen_real_power_vs_t_1toT_kW,"[-0.19543984143357523, -0.8884819840662157, -2.1778279643928316, -3.2109613140353614, -3.049131979081827, 6.998999918465826, 7.69890002400953, -3.6025291044812953, -2.0927005529682114, 0.19508524474931788, 2.5323618642276466, 9.914879463583507, 10.465990099482875, 10.255586349276038, 10.23285281371006, 9.943317915003343, 4.899006810720513, 2.799492351829082, 0.6998464942850166, -2.0648184876178642e-5, 7.320899134661912e-6, 3.957815380129401e-5, 9.05302178244631e-5, 0.00026777046447238467]"
vald_PSubs_allT_kW,1529.8637095002255
vald_battery_real_power_allT_kW,6.197521720379055
vald_PSubs_vs_t_1toT_kW,"[61.72836013477965, 57.827539511408986, 55.73687967998285, 54.516783115137926, 54.874957597060245, 46.1239947386208, 48.11080139860995, 61.49618276950191, 63.192967884636104, 64.8050011270763, 64.80736032073948, 58.28897577961318, 58.51790630389011, 57.51483526375756, 57.62424661637527, 58.433889990587495, 66.68720560698186, 71.30146447430091, 81.63774664440977, 86.67276874526067, 84.07186970745902, 79.82383676468363, 73.66873376325013, 62.399401562101396]"
vald_battery_real_power_vs_t_1toT_kW,"[-0.19543925042416344, -0.8884818525789892, -2.177827901798896, -3.210961286856971, -3.0491319878620313, 6.998999997187486, 6.998999981236187, -5.002329353894666, -4.192400586764809, -3.3044147803552195, -3.0668381221263585, 3.615779433002057, 3.466990119904056, 3.256586329720277, 3.3038428141187888, 3.644217916051426, -0.00029324852042035966, -0.0001077268463211265, -5.3871442628850686e-5, -2.086441753993107e-5, 7.415865166712665e-6, 3.972654577061863e-5, 9.073104067910487e-5, 0.00026808959617710486]"
vald_substation_real_power_peak_allT_kW,86.67276874526067
vald_terminal_soc_violation_kWh,9.098559001771825
vald_solution_time,0.0
