t,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
lambda,0.71,0.657,0.618,0.592,0.598,0.613,0.644,0.668,0.705,0.75,0.777,0.787,0.796,0.782,0.783,0.789,0.826,0.855,0.95,1.0,0.97,0.921,0.85,0.72
Irrad,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.5,0.8,0.9,1.0,1.0,0.99,0.9,0.7,0.4,0.1,0.0,0.0,0.0,0.0,0.0
cents/kWh,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,4.820404,4.820404
P_Subs,0.061559342687365404,0.056955034143480736,0.05356851433219441,0.051311272793195084,0.05182884934334654,0.053125977150135104,0.05511418909792225,0.05651359969848769,0.05902450466959301,0.061770819416591745,0.06293777847978324,0.0647944744572421,0.06291769849969268,0.06398478633917419,0.061893788277736554,0.06200930052080317,0.06662871425638339,0.07120431271648404,0.07844734410886058,0.07989420470381371,0.07901121335438237,0.07778351529348551,0.07366889905165859,0.06239960758197087
P_ij_1_2,0.0426296437791373,0.03943847800963162,0.03709180922699407,0.0355277975773756,0.03588539829187535,0.036782585741324945,0.03817762906598751,0.03917050829777984,0.040928260510445964,0.042941488357372,0.04408865962025535,0.04591209048840915,0.04402870736580305,0.04546908082575171,0.043328080271976176,0.04307359096093238,0.04623971964661832,0.049341939481796215,0.053351728938033256,0.05323197302514428,0.05314891802221291,0.053227773192252734,0.051006304009167294,0.04320327642232966
P_ij_1_3,0.009464724562937921,0.00875817353933796,0.00823826165785209,0.00789165516054973,0.007971641174222747,0.008171606473763816,0.008584869294101998,0.008904815815402436,0.00939806860380547,0.009997973752444302,0.010357918479412587,0.010491231652976257,0.010611213653251754,0.01042457504513188,0.010437906363330744,0.010517894307909057,0.011011154639909706,0.011397765701904684,0.012664260140584718,0.013330842269653326,0.012930892486651791,0.01227764443610358,0.011331108521146353,0.00959803660757261
P_ij_1_10,0.009464974345290185,0.008758382594511158,0.008238443447348247,0.007891820055269751,0.007971809877248449,0.008171784935046339,0.00835169073783274,0.00843827558530541,0.008698175555341576,0.008831357306775443,0.008491200380115308,0.008391152315856689,0.008277777480637887,0.0080911304682906,0.00812780164242964,0.008417815251961735,0.009377839969855365,0.01046460753278314,0.012431355030242607,0.013331389409016108,0.012931402845517661,0.012278097665129207,0.011331486521344948,0.009598294552068598
P_ij_2_4,0.004733857985476637,0.004380465583607024,0.004120424170265838,0.003947064194599855,0.003987070274195537,0.004087085653344651,0.004293784918587658,0.004453810911062968,0.0047005189406667085,0.005000571358128377,0.005180603923767314,0.005247282868647946,0.005307294007362542,0.005213943388190961,0.005220611275340713,0.005260618661792567,0.00550733181252604,0.0057007026754213675,0.006334165689740163,0.006667571435411744,0.006467527643368855,0.006140791675571164,0.00566736280601086,0.004800536157464061
P_ij_2_5,0.009476159766722878,0.008765622480400326,0.008243435708934559,0.007894635257797922,0.007973288756727159,0.008171516417198725,0.00858645645180051,0.008925204196243876,0.009419372931614902,0.010257981824431293,0.011280428556160498,0.012117098420125927,0.01061103516437908,0.013283470348635,0.011081277060474345,0.010468772454324463,0.010975193177647724,0.011322241993024564,0.010790181696045238,0.008664732167485591,0.009417271470966606,0.010965645768979586,0.01133090356420904,0.009597831655678042
P_ij_2_6,0.01895000235346547,0.01753005923106387,0.016486032585457985,0.01579110163233773,0.015949986521967538,0.01634878550665631,0.01670863667158351,0.016882578873633286,0.017405798117366554,0.017679956464152904,0.017264352505192686,0.018050588460586412,0.017493734449865118,0.01654126041177681,0.01658304467378772,0.01682117186553704,0.01874013490582873,0.020914512062227053,0.023555130473813295,0.02456053137070515,0.024325180466841925,0.02383579879052358,0.02266975912945122,0.019201832278298605
P_ij_6_7,0.004733944658783651,0.004380539784264487,0.004120489813120253,0.0039471244243266534,0.003987131732358474,0.004087150237046949,0.0042938562057517485,0.004453887615449352,0.0047006043878032155,0.005000668074854124,0.005180707740123723,0.005247389390309924,0.005307402979490696,0.005214048551705883,0.005220716706139528,0.005260725711706072,0.0055074491556127625,0.005700828423240386,0.006334320993912622,0.00666774355831171,0.006467689573271091,0.0061409376346465904,0.005667487099870374,0.004800625292916405
P_ij_6_8,0.004733911220849002,0.004380511154745984,0.00412046448333031,0.0039471011820094,0.003987108016294983,0.004087125315676725,0.004293828698886249,0.00445385801922785,0.0047005714203167265,0.005000630761912601,0.005180667690205137,0.005247348300570323,0.0053073609446272355,0.005214007983082886,0.005220676034479212,0.005260684414773413,0.005507403891885052,0.005700779922465296,0.006334261106768325,0.006667677194326993,0.006467627135241217,0.006140881349803227,0.005667439163485269,0.004800590905857751
P_ij_8_9,0.004733623129689241,0.004380264489866489,0.00412024624706888,0.0039469009303531415,0.003986903683074119,0.004086910598145637,0.0042935917061353085,0.004453603025812659,0.004700287382223812,0.005000309286418607,0.005180322634984961,0.005246994287068668,0.005306998788693638,0.005213658459110892,0.00522032562281824,0.005260328616260022,0.005507013918736464,0.005700362061752986,0.006333745152194799,0.006667105442338162,0.00646708920495031,0.00614039642896265,0.005667026165052739,0.004800294637690603
Q_ij_1_2,0.0074272852434955705,0.005885939503266673,0.004786488372626909,0.004099828142079416,0.004253060115628931,0.0046504559378697545,0.005533417654230778,0.006275976115177813,0.007451915662972808,0.009111542119248084,0.010904807145321086,0.012119180312452849,0.012611498989152285,0.012838596286541814,0.01215038757880305,0.01160763839094578,0.011874716425346241,0.012019332664017082,0.015216299821354137,0.019504000930799466,0.016848205814991957,0.013930408650167,0.011586157397182096,0.0077214417137962624
Q_ij_1_3,0.0047344392560151405,0.004380963315454879,0.0041208645667230315,0.003947468315780697,0.003987482628257778,0.004087518952749192,0.0042942631495622805,0.004454325449638611,0.004701092055205168,0.005001219967288982,0.005181300067762836,0.0052479970394988,0.005308024609028374,0.005214648510507081,0.005221318209405618,0.005261336475244839,0.0055081185256772025,0.005701545596572091,0.006335206322317848,0.006668724474505732,0.006468612548101727,0.006141769746332758,0.005668195894588439,0.004801133916366334
Q_ij_1_10,0.0019991644614592635,0.0016593597924855737,0.001411979208663819,0.0012502417685830891,0.0012873281566275659,0.0013806799755775988,0.0015861564652531169,0.0017669191557822877,0.002052938589638716,0.002507175532735906,0.0031351598533447137,0.003433204235520604,0.0037938713801984538,0.0037013573037662346,0.0037367161089705623,0.0034275011877632757,0.003253224682197749,0.003081499218994756,0.0035622904880897714,0.003884397006548713,0.00368517321551655,0.0033603241994301326,0.0029189206499418635,0.002063793641827046
Q_ij_2_4,0.0023667221060955394,0.0021900311118303356,0.0020600152919389584,0.0019733390590694873,0.0019933411970377616,0.0020433467246961643,0.0021466923085197553,0.002226702558439068,0.002350053003410747,0.0025000759562574,0.0025900908590835393,0.002623429931951335,0.002653435187118126,0.0026067603873860612,0.002610094287229531,0.0026300977507530323,0.0027534533901297513,0.002850138651699256,0.003166873068448687,0.0033335796117530876,0.003233555336199253,0.0030701846105157435,0.002833468712615149,0.002400060395011242
