t,1,2,3,4,5,6
lambda,0.75,0.777,0.787,0.796,0.782,0.783
Irrad,0.5,0.8,0.9,1.0,1.0,0.99
cents/kWh,4.820404,4.820404,4.820404,4.820404,4.820404,30.18066
P_Subs,0.06286564804488337,0.06308780827368034,0.06329872410200324,0.0635031702963667,0.06290499400134243,0.0539282283605361
P_ij_1_2,0.044036311515841496,0.04423868461308791,0.04441633571175348,0.044614175244831834,0.044389284585837095,0.03536252462521133
P_ij_1_3,0.009997973752444302,0.010357918479412587,0.010491231652976257,0.010611213653251754,0.01042457504513188,0.010437906363330744
P_ij_1_10,0.00883136277659758,0.008491205181179842,0.008391156737273505,0.008277781398283115,0.008091134370373454,0.008127797371994027
P_ij_2_4,0.005000571374614018,0.005180603939169873,0.005247282879251984,0.005307294024067959,0.005213943398393427,0.005220611274006133
P_ij_2_5,0.011021241283638494,0.011284179001490936,0.011416981716789421,0.011579162220951967,0.011748828162618874,0.005771979909594569
P_ij_2_6,0.018011006824999974,0.017410316185699114,0.01725507605689335,0.01711062574055454,0.01699613466805126,0.013928285948097629
P_ij_6_7,0.0050006681078348224,0.005180707770937631,0.005247389405790663,0.005307403007203966,0.005214048578067588,0.00522071669340005
P_ij_6_8,0.0050006307919495474,0.005180667718268678,0.0052473483146692895,0.005307360969866881,0.005214008007091613,0.005220676022876827
P_ij_8_9,0.005000309291095501,0.005180322639354587,0.005246994289263943,0.005306998792623569,0.005213658462849165,0.005220325621011694
Q_ij_1_2,0.012984084724676905,0.014667930577961619,0.015424274787019134,0.01629001037252951,0.015874775331998384,0.01571444870898369
Q_ij_1_3,0.005001219967288982,0.005181300067762836,0.0052479970394988,0.005308024609028374,0.005214648510507081,0.005221318209405618
Q_ij_1_10,0.0027067034049168943,0.0032786446222028004,0.0035560403498059645,0.003895112195014569,0.0038059493642881104,0.003656645232419342
Q_ij_2_4,0.002500075972978925,0.002590090874706484,0.0026234299427071004,0.0026534352040625724,0.00260676039773451,0.002610094285875855
Q_ij_2_5,0.0019904230946767815,0.002157253596062748,0.0022193552140382165,0.0022748983670285217,0.0021840171827129055,0.0021347080082550047
Q_ij_2_6,0.003481076096091961,0.004727692203312152,0.005321701544414826,0.006041623420429093,0.005857476538841902,0.005740674680998643
Q_ij_6_7,0.0025001737303118185,0.0025901958057546405,0.0026235375970665763,0.0026535453410416717,0.0026068666909755877,0.0026102008213064083
Q_ij_6_8,0.002500197749997051,0.0025902215868501494,0.002623564046510466,0.0026535723994676346,0.0026068928056540304,0.002610227000053826
Q_ij_8_9,0.0024998716489718015,0.002589871570399926,0.0026232049555587797,0.0026532050400380107,0.0026065382599836295,0.00260987158448951
l_ij_1_2,0.001986545878646473,0.0020473666532800985,0.0020836932222766534,0.002126195670193879,0.0020947325338817498,0.0014114920214437546
