t,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
lambda,0.71,0.6971684210526315,0.6843368421052631,0.6715052631578947,0.6586736842105263,0.6487894736842106,0.6393473684210527,0.6299052631578947,0.6204631578947368,0.6133473684210526,0.6070526315789474,0.6007578947368422,0.5944631578947368,0.5928842105263157,0.5943368421052632,0.5957894736842105,0.5972421052631579,0.5997368421052631,0.6033684210526316,0.607,0.6106315789473684,0.6156105263157895,0.6231157894736842,0.630621052631579,0.6381263157894737,0.6452631578947369,0.6510736842105264,0.6568842105263157,0.6626947368421052,0.668778947368421,0.6777368421052632,0.6866947368421052,0.6956526315789473,0.7046105263157895,0.715421052631579,0.7263157894736841,0.7372105263157895,0.7481052631578947,0.7554,0.7619368421052632,0.7684736842105263,0.7750105263157895,0.7786842105263159,0.7811052631578947,0.7835263157894736,0.7859473684210526,0.7882315789473684,0.7904105263157895,0.7925894736842105,0.7947684210526317,0.7945263157894737,0.7911368421052631,0.7877473684210526,0.7843578947368421,0.7820736842105264,0.7823157894736843,0.7825578947368421,0.7828,0.7832526315789474,0.7847052631578948,0.7861578947368422,0.7876105263157895,0.7893894736842106,0.7983473684210527,0.8073052631578947,0.8162631578947368,0.825221052631579,0.8324105263157894,0.8394315789473683,0.8464526315789473,0.8534736842105263,0.873,0.896,0.9189999999999998,0.9419999999999998,0.9578947368421052,0.9699999999999999,0.9821052631578947,0.9942105263157895,0.9962105263157895,0.9889473684210526,0.9816842105263157,0.974421052631579,0.9653578947368421,0.9534947368421052,0.9416315789473684,0.9297684210526316,0.9165157894736842,0.8993263157894738,0.8821368421052631,0.8649473684210526,0.8458947368421054,0.8144210526315789,0.7829473684210524,0.7514736842105264,0.72
Irrad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008421052631578973,0.03263157894736839,0.056842105263157895,0.0810526315789474,0.10526315789473682,0.12947368421052632,0.15368421052631584,0.17789473684210524,0.20210526315789468,0.22631578947368425,0.25052631578947365,0.27473684210526306,0.2989473684210527,0.34631578947368413,0.394736842105263,0.4431578947368422,0.491578947368421,0.5599999999999998,0.6326315789473687,0.7052631578947368,0.7778947368421051,0.816842105263158,0.8410526315789474,0.8652631578947367,0.8894736842105264,0.9136842105263158,0.9378947368421052,0.9621052631578948,0.9863157894736843,1.0,1.0,1.0,1.0,0.9992631578947369,0.996842105263158,0.994421052631579,0.992,0.9862105263157895,0.964421052631579,0.9426315789473684,0.9208421052631579,0.8978947368421053,0.8494736842105262,0.8010526315789477,0.7526315789473685,0.7042105263157893,0.6336842105263163,0.5610526315789475,0.48842105263157864,0.415789473684211,0.3431578947368422,0.2705263157894734,0.1978947368421057,0.12526315789473694,0.08421052631578939,0.060000000000000143,0.03578947368421055,0.011578947368420956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cents/kWh,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404
P_Subs,0.06161733289526971,0.060509718439535794,0.05940266916478154,0.0582962920788274,0.05719072345743163,0.05633979315175657,0.055527591180951866,0.05471615815776122,0.05390564523240302,0.05329565555026529,0.05275676654838794,0.05221862532012024,0.05168136592759218,0.05154748499970234,0.0516725613993167,0.05179775431296276,0.05192306277758263,0.052137499056134747,0.0524492389008274,0.05276119305091362,0.05307334616639995,0.05344277638634411,0.05391955621631276,0.054396668679504316,0.05487407979062412,0.055320148375501976,0.05565259379727415,0.05598516708574802,0.05631786239092133,0.056674179157652056,0.05727750776942552,0.0578811150196247,0.0584849737468418,0.059089060513685183,0.05969184938899779,0.06029476630212936,0.06089786344589632,0.061501126635249294,0.0616553165747517,0.061715071310509066,0.0617749783972468,0.06183505566231608,0.061882914585828334,0.06192552873460766,0.06196834608363038,0.062011395447959514,0.06204295188353392,0.06206578690488799,0.06208900743701503,0.062112685714349636,0.06200217091327658,0.06171764733039471,0.06143483073239792,0.061154293577423496,0.060975905713076935,0.061026909988377405,0.061081629575311186,0.06114214129767319,0.06125280418619639,0.06157097674209075,0.06192622143444063,0.06243583811328605,0.06204251223747339,0.06319092698065165,0.06431398251217205,0.06543229920959767,0.06654866023512164,0.0676653551630014,0.06878131036172432,0.06989644184476812,0.07101067632240118,0.07319566581572855,0.07565436074354986,0.07801751815874106,0.08016405673565768,0.08150707438653858,0.08247692746093777,0.08344103711167804,0.0844075934817399,0.08461069769292898,0.08410994424259152,0.08360926442646444,0.08310808228089155,0.08248324208288046,0.08166636007267321,0.08084117701341788,0.07999573036939861,0.07901316673598832,0.07766969067462083,0.07621456278774152,0.0749651738576463,0.0733131358205713,0.07058462614350623,0.06785619517353007,0.06512779069531432,0.06239920310794183
P_ij_1_2,0.04268763051951246,0.041922146647546135,0.04115722715421196,0.04039297904767751,0.03962953860410537,0.03904215029439678,0.038481702054936354,0.037922022329771876,0.037363262269397214,0.03694299909809747,0.03657194488182622,0.036201638247065945,0.03583221325606777,0.03574043122822586,0.0358267766402403,0.035913238556069906,0.035999816012655075,0.03614773597095173,0.036362648206949115,0.03657777468442492,0.036793100063362824,0.0370494307956296,0.037382601582693936,0.03771610482151042,0.03804990652410726,0.038362188665754526,0.038596210847931064,0.0388303607791677,0.03906463260697995,0.03931522855508968,0.03973621533904945,0.04015748046822567,0.040578996776976684,0.041000740823502926,0.04142583508473194,0.04185126814574794,0.042276880871429424,0.04270265904039133,0.04282202592713778,0.042876990889803485,0.042932107060313536,0.04298739203464945,0.0430281898518437,0.04306275056124131,0.043097514233282674,0.04313250965923779,0.04315966052451612,0.04318089631410011,0.04320251725210395,0.04322459552068232,0.043152469427661766,0.04295832032282953,0.042765878146742195,0.04257571535753751,0.042456512440490014,0.042495411668976565,0.04253802620372226,0.04258643286859644,0.042671516846756685,0.04290010949055851,0.043165773920772525,0.04358581002242573,0.04309150508964653,0.043888074169643874,0.04465928245464004,0.04542575043895108,0.046190261367866275,0.046950669011358706,0.047709912591791116,0.04846833067780747,0.04922585006458643,0.05072068469500711,0.0523965985640707,0.053976970052854095,0.05534071779846812,0.05616409994191829,0.05675466790145493,0.057339491357840666,0.05792676045031177,0.05804951084819733,0.0577424264666662,0.05743541546143079,0.05712790186883653,0.05674472598174809,0.05624416819443835,0.05573530867004247,0.05520618487285173,0.05457699262116945,0.053691859574873727,0.052695073258571465,0.05190401987861756,0.050759999534784175,0.04887069752260586,0.04698146938029366,0.04509226289418422,0.04320286846561883
P_ij_1_3,0.009464724562937921,0.009293664407214025,0.009122604528910495,0.008951544928025138,0.008780485604555775,0.008648718193429421,0.008522844686049573,0.008396971328880261,0.008271098121920612,0.008176237253612667,0.008092321941222528,0.008008406695591306,0.007924491516718736,0.007903442569280453,0.007922807600769102,0.00794217263581293,0.007961537674411939,0.007994795031605962,0.008043207658921586,0.008091620308457214,0.008140032980212895,0.008206407490938258,0.008306460479272429,0.00840651356251185,0.00850656674065696,0.00860170856050185,0.008679169220566647,0.008756629937516315,0.00883409071135106,0.008915200060862867,0.009034618957137159,0.009154037988613993,0.009273457155294115,0.00939287645717827,0.009536993703064406,0.009682233775208491,0.009827474047347696,0.009972714519483353,0.010069962599569845,0.010157107059197378,0.010244251590824725,0.01033139619445218,0.010380371212634153,0.010412647025013813,0.010444922847270105,0.01047719867940305,0.010507650234427027,0.01053669850017781,0.010565746773928714,0.010594795055679748,0.010591567468423452,0.010546381257205875,0.010501195065346622,0.01045600889284565,0.010425557352731133,0.01042878493490738,0.010432012517182392,0.010435240099556172,0.010441274275563387,0.01046063977298806,0.010480005273968328,0.010499370778504196,0.010523086509916882,0.010642507226642221,0.010761928078580113,0.010881349065731306,0.011000770188096542,0.011096615910554034,0.011190216429284751,0.011283817031080936,0.01137741771594295,0.011637731901446915,0.011944356173164018,0.012250981336310243,0.012557607390898184,0.012769509670349502,0.01293089248665179,0.013092275549898575,0.01325365886009169,0.01328032221337232,0.013183492173142746,0.013086662221814229,0.012989832359386368,0.012869005655730415,0.012710850586137547,0.012552695753707767,0.01239454115843935,0.012217862969110864,0.011988700992878992,0.011759539514564392,0.011530378534161815,0.011276379498964706,0.010856791272370922,0.010437204714962477,0.010017619826707128,0.00959803660757261
P_ij_1_10,0.009464977812819337,0.009293907384775637,0.009122837481659086,0.008951768103124754,0.00878069924877049,0.008648924663930373,0.008523044439965932,0.00839716449910908,0.008271284841085193,0.008176419198555147,0.008092499725339198,0.008008580377462987,0.007924661154805664,0.007903611202196029,0.00792297715830729,0.007942343121079932,0.007961709090515613,0.007994968053577058,0.008043383034956695,0.008091798058031481,0.008140213122824227,0.008186938099776251,0.008230494154346393,0.008274050295482043,0.0083176065258599,0.008356251149245602,0.00837721372877644,0.00839817636906401,0.008419139072590322,0.008443750541699506,0.008506673473238916,0.008569596562785038,0.008632519814570996,0.008695443233003988,0.008729020601201447,0.00876126438117293,0.008793508527119204,0.008825753075374606,0.008763328048044071,0.008680973361508207,0.008598619746108536,0.00851626743321445,0.00847435352135048,0.008450131148352545,0.008425909003077606,0.008401687109318674,0.008375641124590768,0.008348192090610072,0.008320743410982365,0.008293295137987568,0.00825813401719136,0.008212945750359305,0.008167757520309108,0.008122569327040342,0.008093835919855791,0.00810271338449346,0.008111590854406533,0.00812046832952058,0.008140013063876324,0.008210227478544182,0.008280442239699782,0.008350657312356118,0.008427920637909975,0.00866034558436556,0.008892771978951894,0.009125199704915292,0.00935762867915883,0.009618070241088659,0.009881181340648451,0.010144294135879722,0.010407408541871803,0.01083724921927452,0.011313406006315151,0.011789566769576716,0.01226573154629137,0.012573464774270791,0.012791367072831043,0.013009270203938793,0.013227174171336438,0.013280864631359317,0.013184025602782569,0.013087186743219409,0.012990348052668643,0.012869510445401959,0.012711341292097316,0.01255317258966764,0.012395004338107534,0.01221831114570802,0.01198913010686812,0.01175995001460567,0.011530775444866914,0.011276756786822429,0.010857137348529444,0.01043752107827393,0.010017907974422974,0.009598298034750393
P_ij_2_4,0.004733857986266749,0.004648299531023196,0.004562741264142732,0.004477183185620021,0.0043916252954499975,0.0043257198792707435,0.004262762413553832,0.004199805049818909,0.004136847788064414,0.004089401803114119,0.004047430403168367,0.004005459048545755,0.003963487739245858,0.003952959825963824,0.003962645506080619,0.003972331188611113,0.003982016873555311,0.0039986509902860765,0.004022865223566805,0.004047079471932785,0.004071293735384107,0.004104491865978301,0.004154534767519369,0.004204577733491201,0.004254620763895173,0.0043022073238154785,0.00434095040675653,0.004379693528320388,0.004418436688507921,0.004459004749091219,0.004518733925795098,0.004578463194297565,0.0046381925546009894,0.004697922006707828,0.004770004558172535,0.004842648744845353,0.004915293067348069,0.004987937525689683,0.005036577804164798,0.005080164599047096,0.005123751442956142,0.005167338335921134,0.005191834050924278,0.00520797736727262,0.005224120690356684,0.005240264020179403,0.00525549490712437,0.005270023915495021,0.005284552929342264,0.005299081948672365,0.005297467613240451,0.005274866920465842,0.005252266240840673,0.0052296655743659555,0.005214434697849536,0.00521604903008456,0.005217663362395037,0.005219277694785447,0.005222295794607381,0.005231981790808886,0.0052416677895404115,0.0052513537910721135,0.00526321563413856,0.005322946046626076,0.005382676550974286,0.005442407147215916,0.005502137835352042,0.00555007686763985,0.005596892934427743,0.005643709057764903,0.005690525237645599,0.005820726454207351,0.005974090711114994,0.006127455573420913,0.00628082104086458,0.006386808513913371,0.006467527644319613,0.006548246942525275,0.006628966408559595,0.006642302684416557,0.006593870968184405,0.006545439312355352,0.006497007716926401,0.006436573593425038,0.0063574689072150746,0.00627836438210436,0.006199260018054301,0.006110890737004443,0.005996270674159867,0.005881650949238967,0.00576703156371216,0.005639989037753126,0.005430124117552407,0.005220260330945511,0.005010397677839495,0.004800536158142978
P_ij_2_5,0.009522329401965984,0.009354603143421432,0.009187292433845327,0.009020480158816629,0.0088542726783104,0.008726764821333565,0.008605467622362405,0.008484759639069903,0.008364762454793218,0.00827497513981025,0.008196109075925344,0.008117833612233363,0.008040259833082097,0.008021491061280476,0.008040238217535432,0.008059077278792494,0.008078007562054103,0.008109920851205165,0.008156054952306356,0.008202357590064593,0.008248816288437995,0.008312709370071463,0.008409276974266385,0.008506130831504087,0.008603239802832103,0.008695902326966012,0.00877188623578805,0.008847976131662487,0.008924166249745439,0.009003943216635016,0.009120556740017709,0.00923739514953251,0.009354434941270922,0.009471655935539624,0.009613564647312533,0.009756754215626783,0.009900094574896962,0.010043572033113053,0.01014092545754044,0.010228600140520776,0.010316330880488346,0.010404122620817871,0.010454119030361248,0.010487648455600337,0.010521292665697578,0.010555067564506559,0.01058723089845348,0.01061822070540827,0.010649425113924348,0.01068088326566551,0.010681389914019191,0.010641965980880342,0.01060359062877296,0.010566612408345397,0.010545138142298481,0.01055662638173099,0.010570438995055161,0.010587866250964634,0.01061347492318924,0.010659132793355567,0.010728851659652086,0.010898279356395325,0.010461764822090491,0.010604507942845821,0.010729256956137172,0.010850599501487533,0.010970518076152784,0.011066146838124461,0.011158888126252604,0.011251022441938933,0.011342502666669642,0.011590207186705248,0.01186166516563087,0.012053632861858475,0.012104791648298616,0.012122344813553967,0.012139033337643641,0.012154572149687397,0.012171528172334843,0.01217110226325441,0.012152920162506508,0.012134665125264432,0.012116034208729119,0.01209306850944528,0.01206376936630383,0.012030684997691209,0.011988151980505648,0.011921712104369604,0.011795481511256301,0.011595284958008876,0.011530403512972782,0.011276226760498846,0.010856598348917534,0.010436985551993478,0.010017362261822723,0.009597623671210379
P_ij_2_6,0.018961796508751808,0.018620841799454568,0.018280031389262076,0.017939389377995527,0.017598945653386315,0.017336867703339823,0.017086669185966685,0.01683664742105868,0.01658683194826523,0.016398749492923782,0.01623252346353775,0.016066453212459468,0.015900561695821786,0.01585914333806007,0.01589767390069243,0.015936228981867646,0.01597480830152491,0.016040894117307063,0.01613700244461022,0.016233156081069792,0.016329352164999117,0.016422164995402336,0.016508604026632075,0.0165950881131089,0.016681614401818843,0.01675843909353758,0.016800223198113008,0.01684202840522832,0.016883854620163275,0.016932940457465438,0.01705807107473835,0.017183253398226215,0.01730848375927469,0.017433758887609476,0.017500641682757702,0.017564895632990084,0.017629175794158885,0.017693481537293575,0.017569567586608357,0.017406100638749086,0.01724272593876367,0.01707945556760231,0.016996764573337392,0.01694936025355322,0.0169020434603917,0.016854827016762046,0.016804115601858318,0.016750768549725136,0.01669759106391837,0.016644616042605257,0.01657683655597762,0.016489948396281855,0.0164037178795694,0.016318368779096155,0.016266353358940597,0.016288913986825658,0.016312864622127103,0.016338991308873677,0.016389395977863333,0.016543232049331606,0.016710068754220708,0.016931528427081493,0.01683830028861301,0.01731278819465347,0.017779910414374222,0.018245695054578712,0.018710942355785,0.019231745468679468,0.01975763559553657,0.020283302080693948,0.020808719036354086,0.0216649044493352,0.022608871091765084,0.023536794412062453,0.024388951180993105,0.024876614188680504,0.02520818858568056,0.02553516606699566,0.025863167219899886,0.025946300318625225,0.025802770953875877,0.025659386753694953,0.0255158748867794,0.025337060468459807,0.025103235685607034,0.024864894087872885,0.024615740276658908,0.02431824302914701,0.023903408222023977,0.023450912893784648,0.023068757493795822,0.022560299859390974,0.021720629089758716,0.02088098997830417,0.020041356416663297,0.019201623637322144
