t,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
lambda,0.71,0.657,0.618,0.592,0.598,0.613,0.644,0.668,0.705,0.75,0.777,0.787,0.796,0.782,0.783,0.789,0.826,0.855,0.95,1.0,0.97,0.921,0.85,0.72
Irrad,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.5,0.8,0.9,1.0,1.0,0.99,0.9,0.7,0.4,0.1,0.0,0.0,0.0,0.0,0.0
cents/kWh,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,4.820404,4.820404
P_Subs,0.19208266524915787,0.17796676867141192,0.16760223873030894,0.16072301253542093,0.16239711713593447,0.16649337573469494,0.17021572455273243,0.1721036506091573,0.17749937612031963,0.18041930564939096,0.17396066019248055,0.17244444949144722,0.1709412970903094,0.16869891148617563,0.17471312331601452,0.14701865991845134,0.17198167913362036,0.19558588173943506,0.23534082783021068,0.2528069874079106,0.24288895133664998,0.2240069202592615,0.22666112282032616,0.19199510505922304
P_ij_1_2,0.19208266524915946,0.17796676867141364,0.16760223873031074,0.16072301253542282,0.16239711713593635,0.16649337573469677,0.17021572455273423,0.17210365060915908,0.17749937612032132,0.18041930564939265,0.1739606601924823,0.17244444949144896,0.17094129709031117,0.16869891148617744,0.17471312331601627,0.14701865991845342,0.17198167913362214,0.1955858817394366,0.23534082783021198,0.2528069874079118,0.24288895133665123,0.22400692025926286,0.2266611228203275,0.19199510505922465
P_ij_2_3,0.09741836524916106,0.09036895867141535,0.08520429873031257,0.08179165253542474,0.08266577713593823,0.08476208573469861,0.08901775455273603,0.09237231060916086,0.09750137612032306,0.10375455564939434,0.10769565019248405,0.10951268949145075,0.11147611709031297,0.11110035148617925,0.11651457831601801,0.08382023991845548,0.09451694913362392,0.10025493173943818,0.1133438778302133,0.11947698740791302,0.11355885133665249,0.10120999025926422,0.11333062282032885,0.09599750505922623
Q_ij_1_2,0.09484502231265732,0.0877793225964987,0.08258003186463514,0.07911383361633649,0.07991371114649745,0.08191341882457927,0.08604559256864029,0.08924318607301569,0.0941725125950272,0.1001609996983666,0.10373427243826246,0.10505587440860346,0.10624270757575036,0.10437566625642347,0.10450736382205705,0.10531087664624716,0.11027153109542212,0.11416128041918969,0.1268363641996506,0.1335023329486432,0.12950137212925056,0.12296278228024722,0.11350946242915307,0.0961785061500919
Q_ij_2_3,0.047413366528638326,0.043880489299631675,0.04128082258430932,0.03954770743522304,0.03994764473785355,0.04094749972968697,0.043013930409121555,0.04461374769614203,0.047080109215301626,0.050079773285619716,0.05187962098211053,0.052546131332312375,0.05314588654612512,0.05221215110753594,0.05227587252974869,0.052667545873096216,0.05514006293712977,0.05707452291565138,0.06340724662838233,0.06673974474656637,0.06473845310567711,0.0614659269797258,0.05674575601322457,0.048080216510527955
l_ij_1_2,0.04325697855284107,0.037116957514228124,0.03290599688017362,0.03024873732485157,0.030878522842180074,0.03245343797442344,0.03428903467386248,0.03542653672680025,0.03805682972152307,0.040138893120544,0.03866821620595714,0.03843324055817243,0.03818308979540428,0.037094544672535965,0.03906726793465292,0.030827473941199862,0.03934160479569119,0.048342572422228024,0.06736993922819856,0.07704236571306854,0.07141638991872629,0.06155051951186652,0.060570895144808054,0.04346538355355448
l_ij_2_3,0.011088882636347618,0.00953210203976432,0.008465516672380434,0.007794385756464427,0.007960312162736898,0.00836853140574991,0.009231447016442823,0.009939011237444962,0.011073412447913659,0.012538541978732413,0.013499197285940104,0.013937880329515753,0.014407729779126787,0.01423529348967142,0.015406281559494925,0.009256238828091286,0.011312105476963425,0.012575274896476554,0.015943924521848413,0.017706782016764035,0.016152479378841674,0.013252468651980235,0.015181391696501274,0.010889591687750007
v_j_1,1.0609000000000006,1.0609000000000006,1.0609000000000008,1.0609000000000008,1.0609000000000008,1.0609000000000008,1.0609000000000008,1.0609000000000006,1.0609000000000006,1.0609000000000006,1.0609000000000006,1.0609000000000006,1.0609000000000006,1.0609000000000006,1.0609000000000006,1.0609000000000006,1.0609000000000006,1.0609000000000006,1.0609000000000006,1.0609000000000006,1.0609000000000006,1.0609000000000006,1.0609000000000006,1.0609000000000006
v_j_2,1.0585706061061042,1.0587429709030467,1.0588696688303845,1.0589539504138754,1.0589339786258047,1.0588845859048366,1.0588111286824335,1.0587602729660945,1.0586668819773053,1.0585753537257905,1.0585702128016692,1.0585630475244676,1.0585574668676994,1.0585940384413228,1.0585561315316294,1.0587132841194107,1.0585014645260278,1.0583110598924184,1.0579147902681716,1.0577271483421247,1.0578363622490017,1.058030973396205,1.0581316400694785,1.0585546756783084
v_j_3,1.0570062032487388,1.057293450484132,1.0575045024855523,1.0576447751763398,1.0576111860744666,1.0575284657693147,1.057386747444375,1.0572825630629608,1.0571072996191784,1.056916074507778,1.0568495929350423,1.0568168360064591,1.0567855855726327,1.056840556687757,1.05675805113514,1.0571717299583745,1.056833153275283,1.0565647379081016,1.055958898060663,1.0556670438301585,1.0558568181392405,1.0562046502604552,1.0562855581959674,1.0569907195749588
q_D_j_2,-9.808578401901175e-5,-9.861429686705306e-5,-9.900328032582962e-5,-9.926218111346437e-5,-9.920040864391664e-5,-9.904809489232122e-5,-9.81141595187536e-5,-9.588237687368326e-5,-9.21683797255802e-5,-8.097641274690774e-5,-5.439245615194454e-5,-4.281407629110435e-5,-2.9889029625245363e-5,-2.9921148887555232e-5,-3.1230292308377384e-5,-4.306777315095096e-5,-6.452615829236275e-5,-8.647250353831885e-5,-9.546757126829634e-5,-9.558820207686264e-5,-9.592902357347796e-5,-9.654830052143189e-5,-9.675641592851761e-5,-9.804963956395876e-5
q_B_j_3,-7.979652863835887e-5,-8.027029963170549e-5,-8.061658430935036e-5,-8.084343522307738e-5,-8.077873785358329e-5,-8.062872968700124e-5,-8.038240912158034e-5,-8.01916961420615e-5,-7.987421530165781e-5,-7.952328561974497e-5,-7.936198211056437e-5,-7.920233231240498e-5,-7.89545461251438e-5,-7.855710753596258e-5,-7.561152974871623e-5,-6.728287309624176e-5,-7.312093712980146e-5,-7.423791565140535e-5,-7.359662838236175e-5,-7.274474656638606e-5,-7.1463105677125e-5,-6.56199797258255e-5,-7.88060132245967e-5,-7.997651052798962e-5
P_c_j_3,0.002754101986015966,0.0027711854098227927,0.002806395471451978,0.0028603292805031415,0.0029344738860529428,0.003030832491252166,0.0031532713173756223,0.003307907383787156,0.0035037629069904863,0.0037570924507533384,0.004098277012013417,0.0045820163333313785,0.0053454739608093035,0.006836328395893511,0.01211722528888457,-8.521613648296519e-10,-8.528230059576932e-10,-8.531107264411211e-10,-8.531824035213208e-10,-8.530883005792128e-10,-8.527956233174758e-10,-8.521329755056792e-10,1.7792194386782305e-7,6.250750387045726e-8
