t,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
lambda,0.71,0.657,0.618,0.592,0.598,0.613,0.644,0.668,0.705,0.75,0.777,0.787,0.796,0.782,0.783,0.789,0.826,0.855,0.95,1.0,0.97,0.921,0.85,0.72
Irrad,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.5,0.8,0.9,1.0,1.0,0.99,0.9,0.7,0.4,0.1,0.0,0.0,0.0,0.0,0.0
cents/kWh,4.0,4.0,4.0,4.0,4.0,6.0,6.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
P_Subs,0.18946592230470766,0.17531218769240733,0.17378816373587594,0.1928815418362178,0.15955921317616198,0.11684098540615136,0.12044467584541493,0.19291067688891989,0.17413143938341466,0.17678923847252134,0.21675207161999716,0.16542090441035984,0.1190043497548316,0.16197869763415548,0.16271256047332652,0.1501728936150309,0.1877419370336625,0.20950251093332128,0.24889867613799996,0.26693206224592825,0.2589156439364354,0.245823482174422,0.2268560401842056,0.19213495785769968
P_ij_1_2,0.18946592230470927,0.17531218769240905,0.17378816373587594,0.1928815418362178,0.1595592131761639,0.11684098540615136,0.12044467584541493,0.19291067688891989,0.17413143938341466,0.17678923847252134,0.21675207161999857,0.16542090441035984,0.11900434975483161,0.16197869763415548,0.16271256047332652,0.1501728936150309,0.1877419370336625,0.20950251093332128,0.24889867613799996,0.26693206224592825,0.2589156439364354,0.245823482174422,0.2268560401842056,0.19213495785769977
P_ij_2_3,0.0946995613557606,0.08762699409336908,0.09130435148333373,0.1138444047646861,0.07975548714815006,0.03507087967473745,0.03920545829043328,0.11307352782607238,0.0940472277077278,0.10003562501003821,0.15035055093727673,0.10241088765941407,0.059493127939184695,0.10430461996636438,0.10443787635244706,0.08690963558611091,0.11017673841230953,0.11404666347177393,0.126724879576616,0.1333980605460232,0.12939399244922742,0.12285434916145131,0.1133792022563025,0.09603239814462201
Q_ij_1_2,0.00010703537368082186,1.530150658499564e-5,-4.145887661519737e-5,-8.019879798567617e-5,-1.250636580310511e-5,4.978789191284595e-5,0.0007228254767489978,-6.514339469267249e-5,-3.5773391563237358e-6,0.00044903770266316155,0.03211902723207412,0.012649162024530897,0.04507037858899235,0.017988001102824648,0.017431818232617833,0.015890484491391473,0.009444078607185073,0.0060939816309738505,0.015792346776087422,0.022321836352280796,0.01829405221956014,0.011727091365552708,0.0024025970069300566,-1.8121104593675258e-5
Q_ij_2_3,-9.682640176289479e-5,-3.626867753072886e-5,1.3739888918098104e-6,7.768591855850777e-5,-1.2607271441724976e-5,0.010671334487394475,0.012737553865205262,2.7280263044908822e-5,-1.638215607459393e-5,-0.0003409165656616571,0.02176258875347127,-0.0029593688665859913,0.02285774642985423,-0.0033604756887130965,-0.0032928232839842314,0.00018045878601623616,-0.00038814824537996857,0.0015600141822197308,0.007875457004613451,0.011218303646100452,0.009212110467735799,0.005939389183947375,0.001267291161514579,-3.5229050972911667e-6
l_ij_1_2,0.033836390990950524,0.02897039125968294,0.02846933270836289,0.035068401647581904,0.023998228230193736,0.012868626817609594,0.013674852253517427,0.035079007766357286,0.02858186207810026,0.029461012191733197,0.04525755328131825,0.025944556170186605,0.015264299343812326,0.025036464586417336,0.025242495687407048,0.02149583087495405,0.03330848467814502,0.041407407887823114,0.058630156370395356,0.06763293259228553,0.06350529837898859,0.05709067509659827,0.04851559187090035,0.03479742179998611
l_ij_2_3,0.008462870305500815,0.007245464269906467,0.007866249355692393,0.01223044272841439,0.006001765819252924,0.001267910304884605,0.0016032425612626223,0.012065427773008716,0.008345926341150616,0.00944275814677111,0.02178956251077066,0.0099053068226325,0.0038337053548965746,0.010277543040106574,0.010303343341690556,0.007127489259119516,0.011456244094386043,0.012278309991362679,0.015220645721920311,0.01692274355209903,0.015888974239122885,0.014282461734111051,0.012134953363547455,0.008702866804071265
v_j_1,1.0609000000000006,1.0609000000000008,1.0608999999999997,1.0609000000000008,1.0609000000000008,1.0609,1.0609,1.0609000000000002,1.0609,1.0609,1.0609000000000004,1.0609000000000008,1.0609,1.0609,1.0609,1.0609,1.0609,1.0609,1.0609,1.0609,1.0609,1.0609,1.0609,1.0609
v_j_2,1.0597573005663572,1.0598435872300178,1.0598534580075198,1.059739064535568,1.0599387274698115,1.0601951360633353,1.0601651274016464,1.0597387034527839,1.0598509249110983,1.0598293464730857,1.059198121735359,1.0597471801954816,1.059626527650245,1.0597020077516714,1.0597044550986288,1.0597989493448836,1.059652432497358,1.059562890352768,1.0592063381545636,1.0590173836540464,1.0591152621493538,1.059274992758397,1.0595040998365393,1.0597427894036149
v_j_3,1.0589978912375904,1.059139966477299,1.0591196907015223,1.0588231063874392,1.059297926966456,1.0597374112097415,1.0596401470724892,1.0588297620827332,1.0590954280147877,1.0590311186398695,1.0576322152208155,1.0589730073865111,1.0587718882334156,1.0589192395577238,1.0589195031023795,1.0590975196056869,1.0587735816745103,1.058620897867866,1.0580586108205163,1.0577610724713027,1.0579241094986271,1.058190203026296,1.0585722846912675,1.0589711430209472
q_D_j_2,0.047338522579925726,0.043927433650738874,0.04141873152013246,0.03984116617325153,0.04001486524366046,0.05156783368964603,0.05503266793776227,0.04484246256793576,0.04716381728966784,0.049392108333096686,0.0417231182400921,0.03701850962233021,0.03094850033723868,0.03093962462072813,0.0316313983743966,0.037022894411267424,0.04544027163710776,0.05272185488637871,0.05577858422768208,0.05598085008213114,0.055976958187520784,0.05596492822424271,0.05583104819099102,0.04822958335959551
q_B_j_3,0.04750008113056838,0.04389614807576276,0.041263604060418464,0.03948988564914769,0.039928892842846286,0.030205976704004274,0.03020919550965763,0.04460562454314937,0.047085338948133514,0.05041891985934223,0.03021708924963191,0.055507859865581065,0.03024075295900229,0.05557869674470119,0.05557792378409087,0.052478493185678,0.05554942292846129,0.05554137253276675,0.05558352240851443,0.05558804113312787,0.055585712077276715,0.05557852206095833,0.05549958013034696,0.048075423806285836
P_c_j_3,1.2362546925334917e-6,6.340343283470508e-8,0.008874785471308617,0.03486386708354258,3.7314454013783944e-8,-5.440473359905657e-9,-5.442052283913153e-9,0.02396057379278543,1.602258545090744e-5,1.6165410979277419e-7,0.04666550347055457,5.022465927595329e-9,5.023957119573958e-9,5.285099844013324e-9,5.236133259446394e-9,5.025811672398156e-9,9.94520822546035e-8,1.4664679374617082e-7,1.78976117454375e-7,3.2733085887077545e-8,2.7654661941086622e-8,2.317235002643422e-8,1.7402771789703213e-8,2.6106101923812042e-8
P_d_j_3,1.0387497966104023e-8,1.8704545171179216e-8,1.0020482454393234e-8,1.0015066012072078e-8,2.7725368907749834e-8,0.04666550409405705,0.046665504096904065,1.0015205493972684e-8,1.0047739978177731e-8,1.2989616129997712e-8,-5.448382345717668e-9,0.002559663960436386,0.046652975262071385,7.789544987699453e-7,9.562816292600612e-7,0.01831640436903198,1.5108133720094804e-8,1.338106634327364e-8,1.29233851812023e-8,3.111081209266777e-8,3.6574788016784686e-8,4.439998948072767e-8,1.1880901552723125e-7,2.2865426865989547e-7
