t,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
lambda,0.71,0.657,0.618,0.592,0.598,0.613,0.644,0.668,0.705,0.75,0.777,0.787,0.796,0.782,0.783,0.789,0.826,0.855,0.95,1.0,0.97,0.921,0.85,0.72
Irrad,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.5,0.8,0.9,1.0,1.0,0.99,0.9,0.7,0.4,0.1,0.0,0.0,0.0,0.0,0.0
cents/kWh,4.0,4.0,4.0,4.0,4.0,6.0,6.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
P_Subs,0.20312337658487947,0.1887023567899129,0.1767248394141588,0.16794323181299975,0.17400975747003578,0.11679707041925101,0.12039698041851893,0.18863160901421125,0.22066115894646332,0.18817608496100763,0.195261120216869,0.1249521310289484,0.1498872512710071,0.14709329558665668,0.14843213040096473,0.1406840768296671,0.187596119074268,0.2093282071113606,0.24866070377910504,0.2666600600330491,0.2586596429544368,0.24559360322810578,0.22666087480982636,0.19199504684759977
P_ij_1_2,0.20312337658488092,0.18870235678991448,0.1767248394141605,0.16794323181300155,0.17400975747003752,0.11679707041925363,0.12039698041852147,0.18863160901421286,0.22066115894646468,0.1881760849610092,0.19526112021687056,0.12495213102894842,0.14988725127100916,0.14709329558665876,0.14843213040096678,0.14068407682966927,0.1875961190742696,0.20932820711136205,0.24866070377910657,0.26666006003304915,0.2586596429544372,0.24559360322810603,0.22666087480982647,0.19199504684759983
P_ij_2_3,0.10845907658488241,0.10110454678991607,0.09432689941416221,0.08901187181300337,0.09427841747003929,0.035065780419256266,0.03919901041852401,0.10890026901421446,0.14066315894646608,0.1115113349610108,0.12899611021687213,0.06202037102894844,0.0904220712710112,0.08949473558666086,0.09023358540096883,0.07748565682967146,0.11013138907427125,0.11399725711136352,0.1266637537791081,0.13333006003304929,0.12932954295443766,0.12279667322810625,0.1133303748098266,0.09599744684759991
Q_ij_1_2,0.09484103202990696,0.08777405627177334,0.08257633470152424,0.07911159655689796,0.07990765014940306,0.08184552993045288,0.0859792310028975,0.08923109277570848,0.09410325727770934,0.10015783567734625,0.10371697828906655,0.1049930840283351,0.10623773286162172,0.10437239613559492,0.10450818169570252,0.10530167394737501,0.11027598190579763,0.11416102223283296,0.12684094542063903,0.13350674135724894,0.12950728513969395,0.12297484118936768,0.11350946595538958,0.09617850567698055
Q_ij_2_3,0.04740963015287645,0.043875470852287164,0.04127733640463636,0.03954563755032506,0.03994185242073452,0.04087845415547794,0.042946418464062476,0.044602025169523954,0.04701178387080749,0.050076756956389946,0.05186259891653642,0.05248285943362318,0.053140763304333996,0.052208728539935675,0.05227649671688113,0.05265826632160283,0.05514475125097401,0.05707452386022428,0.06341206603426335,0.0667444702454794,0.06474472753459701,0.06147848171820683,0.056745759533954436,0.04808021603606036
l_ij_1_2,0.04736914645276761,0.040826528808057864,0.03586626441577807,0.03248522369834757,0.034559928595702366,0.019172633073915292,0.020631408292720744,0.0410444639808068,0.054243350078114504,0.042833284003038194,0.04607796837945316,0.025107533926342285,0.03181510413531522,0.030662677614883303,0.03106235967264733,0.029107787736389428,0.044634834647012275,0.05358755517928423,0.0734478000180244,0.08382659779871877,0.07887354868278908,0.07110852060713975,0.06057078992462398,0.043465362398217584
l_ij_2_3,0.013236646861769934,0.011473916715415939,0.010012500431541926,0.008959181610402293,0.00990096139523728,0.002738573866973807,0.003192255142376158,0.013081253548707579,0.02078238773892177,0.014116254794137006,0.018262433763805482,0.006234098246736519,0.01039033941663218,0.010139615994088736,0.010271825268531013,0.008289876424734811,0.014332731536259991,0.015358574363117118,0.01896780537536945,0.021020058950753026,0.01977611479819394,0.017826463717572426,0.01518133892727522,0.010889581082864587
v_j_1,1.0609000000000006,1.0609000000000006,1.0609000000000006,1.0609000000000008,1.0609000000000008,1.0609000000000008,1.0609000000000008,1.0609000000000006,1.0609000000000006,1.0609000000000006,1.0609000000000006,1.0609,1.0609000000000006,1.0609000000000006,1.0609000000000006,1.0609000000000006,1.0609000000000006,1.0609000000000006,1.0609000000000006,1.0609,1.0609000000000002,1.0609000000000002,1.0609,1.0609
v_j_2,1.0585040510028714,1.0586782722401764,1.0588146813311428,1.0589104212265465,1.0588639988534667,1.0591852224743188,1.0591124850269025,1.0586607154296281,1.058407358376786,1.0585285991198066,1.0584419287954239,1.0588503253623593,1.0586845392075304,1.0587244171516392,1.058714664531989,1.0587516118014064,1.0584072136970177,1.058228160929841,1.0578343800492247,1.0576435236862063,1.057741150766544,1.057900600424543,1.0581316415221051,1.0585546760353137
v_j_3,1.0568509038725493,1.0571424829161664,1.0573761948888345,1.0575432043453377,1.0574478955843425,1.0582299709312852,1.0580899319599009,1.057050256178319,1.056501730036553,1.0568069780314755,1.056550259306234,1.057487159617005,1.0570820902024014,1.057144776226833,1.0571279646495564,1.0572611625883528,1.0566132307115341,1.0563713027309478,1.0557712702409987,1.0554719143601192,1.0556346519932083,1.0559004383550628,1.0562855615854818,1.0569907204080016
q_D_j_2,-9.78318770305275e-5,-9.836641948619316e-5,-9.879229688790221e-5,-9.909500657293522e-5,-9.893172866856312e-5,-0.0001002047749749675,-9.926453883504928e-5,-9.551160618454626e-5,-9.123840690186875e-5,-8.0828720956316e-5,-5.412037253013923e-5,-4.329559471192652e-5,-3.0037557287745536e-5,-3.0073595659260372e-5,-3.142397882140005e-5,-4.314462577219863e-5,-6.428865482363819e-5,-8.621337260869314e-5,-9.522938637570864e-5,-9.527111176952627e-5,-9.5567605096926e-5,-9.605247116084329e-5,-9.67564214351388e-5,-9.804964092019971e-5
q_B_j_3,-7.606015287648023e-5,-7.525185228719662e-5,-7.713040463638197e-5,-7.877355032509111e-5,-7.498642073454732e-5,-1.1583155477970536e-5,-1.2870464062502732e-5,-6.846916952397836e-5,-1.1548870807524925e-5,-7.650695638997411e-5,-6.233991653645082e-5,-1.5930433623176135e-5,-7.383130433402068e-5,-7.51345399356978e-5,-7.623571688115694e-5,-5.800332160284965e-5,-7.780925097404482e-5,-7.423886022430833e-5,-7.841603426336206e-5,-7.747024547940356e-5,-7.77375345970196e-5,-7.817471820682707e-5,-7.880953395443442e-5,-7.997603606036098e-5
P_c_j_3,0.013794786635636054,0.013506746839781439,0.011928969462228982,0.010080521857546014,0.014547087517842125,-5.456058854358622e-9,-5.456279188073117e-9,0.01983583906714881,0.04666550349034592,0.011513845009156282,0.02539871027236913,5.047351451762515e-9,5.046402928241735e-9,5.045908725435956e-9,5.0452006460147845e-9,5.049495826792595e-9,8.196856616724285e-7,1.1893544675234131e-7,2.6521591170716857e-7,8.82710868402123e-8,2.5675801027159215e-8,3.622600698783721e-8,4.4002335522608896e-8,3.231457710726679e-8
P_d_j_3,1.0050752149203043e-8,1.004986378917535e-8,1.0048065065279118e-8,1.0044540818614205e-8,1.0047801080505007e-8,0.046665504124682226,0.04666550412519424,1.0052932739651519e-8,-5.45612153641528e-9,1.0048143865563223e-8,1.0055495415618092e-8,0.042910344018403004,0.015708613775389655,0.01476932945924577,0.014163809644229758,0.02771171821982218,1.061138878516441e-8,1.1824081768733159e-8,1.1436802061676964e-8,2.8238037460716215e-8,5.827213629293613e-7,2.9299790051064937e-7,1.6919250878407946e-7,1.8546697714360522e-7
