t,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
lambda,0.71,0.657,0.618,0.592,0.598,0.613,0.644,0.668,0.705,0.75,0.777,0.787,0.796,0.782,0.783,0.789,0.826,0.855,0.95,1.0,0.97,0.921,0.85,0.72
Irrad,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.5,0.8,0.9,1.0,1.0,0.99,0.9,0.7,0.4,0.1,0.0,0.0,0.0,0.0,0.0
cents/kWh,4.0,4.0,4.0,4.0,4.0,6.0,6.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
P_Subs,0.2024943116173921,0.188920971601843,0.16506801759366185,0.1680276534083137,0.16959951524374983,0.11679707041905821,0.12039698041718537,0.18862459445481286,0.18943856073014784,0.190958600591078,0.20009987187940323,0.12119699384891343,0.11893036174188763,0.1618614342745646,0.16259583796471333,0.1618133183938353,0.1875954378173821,0.20932816334195328,0.24866045636858958,0.26666005104204277,0.2586601972246732,0.2455934324324511,0.22666099816933735,0.19199509462416117
P_ij_1_2,0.20249431161739356,0.18892097160184462,0.16506801759366185,0.1680276534083155,0.16959951524375164,0.11679707041906083,0.12039698041718791,0.18862459445481444,0.1894385607301494,0.19095860059107958,0.20009987187940476,0.12119699384891608,0.11893036174189026,0.16186143427456598,0.16259583796471505,0.1618133183938372,0.1875954378173839,0.20932816334195486,0.24866045636859085,0.266660051042044,0.2586601972246744,0.24559343243245235,0.2266609981693387,0.19199509462416117
P_ij_2_3,0.10783001161739506,0.10132316160184619,0.08267007759366185,0.08909629340831732,0.08986817524375344,0.03506578041906347,0.03919901041719046,0.10889325445481601,0.10944056073015097,0.11429385059108116,0.13383486187940627,0.05826523384891873,0.059465181741892886,0.10426287427456735,0.1043972929647168,0.0986148983938391,0.11013070781738567,0.11399721334195644,0.12666350636859214,0.13333005104204515,0.12933009722467564,0.12279650243245357,0.1133304981693401,0.09599749462416117
Q_ij_1_2,0.09484161211316322,0.08777366198819038,0.08257534095230445,0.07911129404672415,0.0799112334299807,0.081845850635582,0.08597945683368699,0.08923051806615741,0.0941643062301617,0.10015518552485153,0.10370995077769493,0.10498863041238932,0.10617823434940095,0.10437189049226299,0.10451267328540963,0.10532228279547824,0.11027708547953187,0.11416525725535003,0.12683945341020442,0.13350640156358162,0.12950646527393625,0.12297503041466401,0.11350915365804798,0.09617850567509391
Q_ij_2_3,0.047410195757998264,0.043875081621953645,0.04127607264281007,0.03954533701356534,0.0399453337688023,0.04087877487399967,0.04294664430714907,0.04460144682762184,0.047072157159504587,0.05007415974684789,0.051856127028099816,0.052478367780406786,0.0530810451554605,0.0522083270449573,0.05228109282516705,0.05267910174662706,0.055145853150672317,0.05707877836085819,0.06341063905200271,0.06674412747206143,0.06474390757740986,0.061478670955447304,0.05674544712224684,0.04808021603527643
l_ij_1_2,0.04712873751119405,0.04090427867829395,0.03211060172088867,0.032511913616412695,0.03313205844020773,0.01917268255701483,0.02063144489677873,0.04104187292638141,0.042184828786236354,0.04382717346330556,0.04787983091381476,0.024235388664231746,0.02395913695316539,0.034963347563718127,0.03521567103469755,0.035136519241093414,0.04463482314238467,0.0535884493659123,0.07344732727197213,0.08382650775775452,0.07887361879164546,0.07110848539866249,0.060570775808546785,0.04346537969048419
l_ij_2_3,0.013108110832330783,0.01151569963706781,0.008063251234618332,0.008973363114216442,0.009134011556681218,0.0027385986330712166,0.0031922734663484037,0.013079761132908497,0.013407417251531028,0.014709807751643883,0.019463887505840743,0.005806944142593804,0.0060004467462406435,0.012843380475020908,0.01287713195255813,0.011807768585482206,0.014332704713346411,0.015359024629808034,0.01896757468974802,0.021020013336913685,0.01977614983342784,0.017826446083677838,0.01518133179921472,0.01088958975121326
v_j_1,1.0609000000000006,1.0609000000000006,1.0609,1.0609000000000008,1.0609000000000008,1.0609000000000008,1.0609000000000008,1.0609000000000006,1.0609000000000006,1.0609000000000006,1.0609000000000006,1.0609000000000008,1.0609000000000008,1.0609000000000006,1.0609000000000006,1.0609000000000006,1.0609000000000006,1.0609000000000006,1.0609000000000006,1.0609000000000006,1.0609000000000006,1.0609000000000006,1.0609000000000006,1.0609
v_j_2,1.0585078387494926,1.0586769582878053,1.0588850147071907,1.0589099156773782,1.0588905599170517,1.0591852185159878,1.0591124822395737,1.0586607648391644,1.0585949587686787,1.0585118459858291,1.0584128252103935,1.0588730336259637,1.0588720245493495,1.0586353329071896,1.0586291649086137,1.0586238928689355,1.0584072041858192,1.0582281089227372,1.0578343999570303,1.0576435279343819,1.0577411575421138,1.0579005991193589,1.0581316446324849,1.0585546757471194
v_j_3,1.0568597421797257,1.057139416948638,1.05754031055776,1.0575420247016085,1.057509873036623,1.0582299616912532,1.058089925453321,1.0570503715336974,1.056939474705839,1.056767886544272,1.0564823418721883,1.0575401462432932,1.0575195603046394,1.056936911280477,1.0569284637551914,1.0569631477764034,1.056613208533553,1.0563711810113234,1.0557713156388815,1.0554719243255246,1.0556346678138506,1.0559004353072474,1.0562855688485253,1.05699071973553
q_D_j_2,-9.784635516496871e-5,-9.83613662367539e-5,-9.906230949437488e-5,-9.909303315882343e-5,-9.90336611784108e-5,-0.00010020476158234927,-9.926452653793538e-5,-9.551523853558775e-5,-9.191407065712994e-5,-8.0775778003664e-5,-5.356474959513232e-5,-4.333363198254518e-5,-3.0257193940467678e-5,-2.996944730569333e-5,-3.131946024259239e-5,-4.291804885119217e-5,-6.429032885957065e-5,-8.619389449185287e-5,-9.516435820172026e-5,-9.527409152020538e-5,-9.556769652641048e-5,-9.605245921670978e-5,-9.675653580115206e-5,-9.804963981748923e-5
q_B_j_3,-7.662575799830214e-5,-7.4862621953675e-5,-7.586664281007449e-5,-7.847301356537984e-5,-7.846776880233089e-5,-1.1903873999705602e-5,-1.3096307149102747e-5,-6.789082762187141e-5,-7.19221595046211e-5,-7.390974684791747e-5,-5.5868028099844284e-5,-1.1438780406813468e-5,-1.4113155460531996e-5,-7.473304495732964e-5,-8.083182516707468e-5,-7.883874662708276e-5,-7.891115067235073e-5,-7.84933608582131e-5,-7.698905200274718e-5,-7.712747206144889e-5,-7.691757740988486e-5,-7.836395544732694e-5,-7.84971222468721e-5,-7.997603527642568e-5
P_c_j_3,0.013165721668216421,0.013725361651758208,0.0002721476464009557,0.010164943453149528,0.010136845287465977,-5.456114423344641e-9,-5.4566056715445325e-9,0.019828824509996137,0.015442920782337282,0.014296360640341005,0.030237461939400072,6.686342333679929e-10,-2.341298146661548e-9,5.207174733119507e-9,7.084728393544775e-9,5.040771452181592e-9,1.4140360647795633e-7,7.879724856804418e-8,3.008896538163157e-8,6.832805161597978e-8,2.2944224145957477e-8,1.3259974221738627e-8,2.5595812582437714e-8,2.0218219508216165e-8
