first,second
vald_pv_real_power_allT_kW,368.1907701293546
vald_pv_reactive_power_vs_t_1toT_kVAr,"[-0.09814973321170326, -0.09760450538215062, -0.09906807781836523, -0.09932846893937217, -0.09926837486341714, -0.1002048065504842, -0.09926476085492511, -0.09392254087606292, -0.09014360080148996, -0.08103803201137554, -0.05411009305287394, -0.04285599719959306, -0.029335762918566478, -0.030298932539111204, -0.03140768580139855, -0.04296303170485725, -0.06430062760905957, -0.08621936502201591, -0.09522421650789756, -0.09527107736901029, -0.09556760923556916, -0.09605249429517931, -0.0967564574305895, -0.0980497098199256]"
disc_PSubs_all_time_kW,0.33829065158471394
vald_PLoss_allT_kW,4.503807233763262
vald_total_gen_real_power_vs_t_1toT_kW,"[-0.00011331190094816511, -46.665418735776335, -2.442305554065731e-5, 1.100439505558258e-5, -1.3976014879766644e-5, 46.665525130167474, 51.33204269202709, -37.33230585084298, -32.6658379582243, 23.332697970017474, 10.05710912897531, 41.999110237545224, 93.3310566484131, 93.33100724372554, 57.200394885567775, 52.93000486483015, 32.66559925013193, 18.666091859403867, 4.666452103073585, -0.0001303757241925226, -1.443692369848261e-5, 1.6859180248941467e-5, 8.789869141957285e-6, 0.0004887692607387678]"
vald_PSubs_allT_kW,4491.133699501539
vald_battery_real_power_allT_kW,41.32298823876622
vald_PSubs_vs_t_1toT_kW,"[189.4995607152933, 222.09913590085696, 164.92528801248525, 157.98124277472638, 159.58359435956245, 116.86612766292065, 120.4721645127886, 215.6932439595252, 220.908955264816, 176.82763112168254, 197.35448420068255, 168.0267397909055, 119.02711850354981, 115.2889231744433, 151.7344151706421, 157.61141130043916, 187.78815263596798, 209.5521163435559, 248.95884330368452, 266.99842094341074, 258.97890930294733, 245.8811512248417, 226.90571560472156, 192.1703537170886]"
vald_battery_real_power_vs_t_1toT_kW,"[-0.00011339088478594943, -46.6654187063731, -2.4491864474106797e-5, 1.0999239928350737e-5, -1.3973603852765013e-5, 46.66552511516387, 46.665493082469595, -46.66539526892926, -46.66548575570048, -5.667754682253164e-5, -27.27527849143429, 0.00014515189313636504, 46.66553713778844, 46.66550468824503, 11.001570831321976, 10.931057316269982, -0.00024025375838886774, -0.00010382343010124477, -9.479806851015111e-5, -0.0001303427701141029, -1.4453913939503071e-5, 1.6841935780881972e-5, 8.767170745275416e-6, 0.0004887355458664374]"
vald_substation_real_power_peak_allT_kW,266.99842094341074
vald_terminal_soc_violation_kWh,60.66513692707958
vald_solution_time,0.0
