t,1,2,3
lambda,0.777,0.787,0.796
Irrad,0.8,0.9,1.0
cents/kWh,4.0,6.0,4.0
P_Subs,0.16998551576610466,0.12125759733349828,0.15473320269256577
P_ij_1_2,0.16998551576610466,0.12125759733350079,0.15473320269256577
P_ij_2_3,0.10363821981520006,0.058279968232677976,0.09519870359608108
Q_ij_1_2,0.0067741819494403005,0.03780570951784772,0.020925186800706735
Q_ij_2_3,-0.003513930813875774,0.022276582357123452,-0.0013482017997637325
l_ij_1_2,0.027280361749007734,0.01520703899006366,0.022981444674672172
l_ij_2_3,0.010147084483425113,0.003673831165066332,0.008554419131712957
v_j_1,1.0609,1.0609000000000004,1.0609
v_j_2,1.0597922191547975,1.0597025968087375,1.0597093675867983
v_j_3,1.059017327337372,1.058867272808929,1.0589665591826594
q_D_j_2,0.04168050140060895,0.03703164896512265,0.030935368677396203
q_B_j_3,0.05539774265168838,0.030220597600191627,0.054485572357300845
P_c_j_3,3.2508003831076355e-8,-8.488524559910587e-9,1.2132657146267391e-8
P_d_j_3,3.165779286049405e-8,0.046665508483189656,0.010966392210992873
B_j_3,0.11666374755861117,0.06754215161744749,0.05599859239505874
