first,second
vald_pv_real_power_allT_kW,125.99685584048879
vald_pv_reactive_power_vs_t_1toT_kVAr,"[5.041703926089269e-6, -4.997497539491747e-7, -4.093390498915994e-7]"
disc_PSubs_all_time_kW,160.02648354159663
vald_PLoss_allT_kW,0.49200917252013465
vald_total_gen_real_power_vs_t_1toT_kW,"[37.332407207090796, 41.998949252287, 46.66549938111101]"
vald_PSubs_allT_kW,503.81284596303294
vald_battery_real_power_allT_kW,0.0
vald_PSubs_vs_t_1toT_kW,"[170.02647354159663, 168.02660168855408, 165.75977073288217]"
vald_battery_real_power_vs_t_1toT_kW,"[0.0, 0.0, 0.0]"
vald_substation_real_power_peak_allT_kW,170.02647354159663
vald_terminal_soc_violation_kWh,2.0723645022258098e-14
vald_solution_time,0.0
vald_battery_reactive_power_vs_t_1toT_kVAr,"[0.0, 0.0, 0.0]"
vald_battery_real_power_transaction_magnitude_t_kW,0.0
disc_line_loss_all_time_kW,0.16414243417752733
vald_PLoss_vs_t_1toT_kW,"[0.1639477391064138, 0.16414243417752733, 0.1639189992361935]"
vald_QLoss_vs_t_1toT_kVAr,"[-0.3198497279856965, -0.32025010065321113, -0.3197947754022098]"
disc_voltage_all_time_pu,0.0019536511449780303
vald_load_real_power_vs_t_1toT_kW,"[207.19485688814507, 209.8614161371371, 212.26135697923198]"
vald_PSubsCost_allT_dollar,66.32291678218786
vald_PSubsCost_vs_t_1toT_dollar,"[8.195962931658064, 8.099561028859128, 50.027392821670674]"
vald_static_cap_reactive_power_allT_kVAr,0.0
vald_load_reactive_power_vs_t_1toT_kVAr,"[103.60058933151183, 104.93385094130619, 106.13385855834206]"
vald_battery_real_power_transaction_magnitude_vs_t_1toT_kW,"[0.0, 0.0, 0.0]"
vald_load_reactive_power_allT_kVAr,314.6682988311601
vald_QSubs_vs_t_1toT_kVAr,"[103.92036452060289, 105.25415293054886, 106.4535584023448]"
vald_total_gen_reactive_power_allT_kVAr,4.1326151222484945e-6
vald_battery_reactive_power_allT_kVAr,0.0
vald_pv_reactive_power_allT_kVAr,4.1326151222484945e-6
vald_QLoss_allT_kVAr,-0.9598946040411175
vald_static_cap_reactive_power_vs_t_1toT_kVAr,"[0.0, 0.0, 0.0]"
vald_battery_real_power_transaction_magnitude_allT_kW,0.0
vald_load_real_power_allT_kW,629.3176300045142
vald_voltages_vs_t_1toT_pu,"[Dict(2 => 1.0288894668830788, 3 => 1.0280691374282989, 1 => 1.0300098119663237), Dict(2 => 1.0288873216937389, 3 => 1.0280564220966917, 1 => 1.030009811964079), Dict(2 => 1.0288867613581887, 3 => 1.028046348855022, 1 => 1.0300098119620602)]"
vald_battery_reactive_power_transaction_magnitude_vs_t_1toT_kVAr,"[0.0, 0.0, 0.0]"
vald_battery_reactive_power_transaction_magnitude_t_kVAr,0.0
disc_QSubs_all_time_kVAr,106.4535584023448
vald_total_gen_real_power_allT_kW,125.99685584048879
vald_pv_real_power_vs_t_1toT_kW,"[37.332407207090796, 41.998949252287, 46.66549938111101]"
vald_total_gen_reactive_power_vs_t_1toT_kVAr,"[5.041703926089269e-6, -4.997497539491747e-7, -4.093390498915994e-7]"
vald_battery_reactive_power_transaction_magnitude_allT_kVAr,0.0
vald_QSubs_allT_kVAr,315.62807585349657
