t,1,2,3,4,5,6,7,8,9,10,11,12
lambda,0.644,0.668,0.705,0.75,0.777,0.787,0.796,0.782,0.783,0.789,0.826,0.855
Irrad,0.1,0.2,0.3,0.5,0.8,0.9,1.0,1.0,0.99,0.9,0.7,0.4
cents/kWh,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,30.18066,30.18066,30.18066
P_Subs,2.439991707978039e-5,2.3629289864086523e-5,2.339955898823366e-5,2.1744400291283e-5,1.7580826506485554e-5,1.62467689312892e-5,1.4848267422645025e-5,1.4254608394728046e-5,1.4435679596160242e-5,1.622877345539919e-5,2.1199235021029268e-5,2.7620347044567424e-5
P_ij_1_2,2.4399917095299765e-5,2.3629289879545718e-5,2.3399559004402386e-5,2.1744400307124048e-5,1.758082651354127e-5,1.6246768931752045e-5,1.4848267409226289e-5,1.425460836742905e-5,1.4435679558856949e-5,1.6228773417554076e-5,2.1199234990426686e-5,2.7620347021946565e-5
P_ij_2_3,2.4399917188416092e-5,2.3629289972300935e-5,2.33995591014148e-5,2.1744400402170245e-5,1.7580826555874778e-5,1.6246768934527755e-5,1.4848267328711585e-5,1.4254608203632139e-5,1.443567933503415e-5,1.622877319048147e-5,2.1199234806810722e-5,2.7620346886221282e-5
P_ij_2_11,-7.759695462300768e-14,-7.729602146177392e-14,-8.084368129128814e-14,-7.920514919005089e-14,-3.5277788285560425e-14,-2.312864602202235e-15,6.709596497698879e-14,1.3649791367944452e-13,1.8651950109879192e-13,1.8922749398784266e-13,1.5301337644708735e-13,1.1310442118120248e-13
P_ij_3_4,2.4399917203935474e-5,2.362928998776014e-5,2.3399559117583538e-5,2.1744400418011303e-5,1.75808265629305e-5,1.62467689349906e-5,1.4848267315292847e-5,1.425460817633314e-5,1.443567929773085e-5,1.622877315263635e-5,2.119923477620813e-5,2.762034686360041e-5
P_ij_4_5,2.439991721945486e-5,2.3629290003219345e-5,2.339955913375228e-5,2.174440043385236e-5,1.7580826569986225e-5,1.624676893545345e-5,1.4848267301874107e-5,1.4254608149034138e-5,1.4435679260427548e-5,1.6228773114791225e-5,2.119923474560553e-5,2.7620346840979528e-5
P_ij_5_6,1.98295407936574e-5,1.9689769125730167e-5,1.9976647269644485e-5,1.9605069684433035e-5,1.7720889533943503e-5,1.713310739107171e-5,1.6499230145513025e-5,1.6034287851839593e-5,1.613903103229214e-5,1.7143167725228412e-5,2.0148400475047744e-5,2.3804904131075263e-5
P_ij_6_7,1.51025808091768e-5,1.4786649141189383e-5,1.480194728581324e-5,1.4100069700274105e-5,1.2017709540999232e-5,1.1356527391534562e-5,1.0656590132094285e-5,1.0294407824540587e-5,1.0391810994988829e-5,1.1351907687383276e-5,1.4085560444445125e-5,1.752920410845436e-5
P_ij_7_8,1.0652540824696202e-5,1.0170769156648604e-5,9.930397301981995e-6,8.917569716115178e-6,6.6486395480549615e-6,5.918357391997413e-6,5.156230118675547e-6,4.8907877972415835e-6,4.981280957685518e-6,5.899917649538139e-6,8.377900413842505e-6,1.162115408583345e-5
P_ij_8_9,4.961279968961178e-6,4.268159969081539e-6,3.693599967662468e-6,2.2799999683178394e-6,-2.0976001411146722e-7,-1.0305600009257074e-6,-1.860479973162521e-6,-1.988159945401984e-6,-1.8878399253933672e-6,-1.0123199243097073e-6,1.1491200612052716e-6,4.1496000452418526e-6
P_ij_9_10,-1.5519412561681484e-14,-1.545923165054058e-14,-1.616876722739376e-14,-1.5841081471404988e-14,-7.05573416427032e-15,-4.628536984479187e-16,1.3418739494944598e-14,2.7299008025875316e-14,3.730331723749535e-14,3.784514805858682e-14,3.060263737071405e-14,2.2620928721532718e-14
P_ij_11_12,-6.207756801493056e-14,-6.183681921981117e-14,-6.467494619979978e-14,-6.336411310487804e-14,-2.8222182729813092e-14,-1.850211153239859e-15,5.367690633265128e-14,1.0919850378047341e-13,1.492157789736638e-13,1.5138210867865025e-13,1.2241072753792916e-13,9.048354313379938e-14
P_ij_12_13,-1.5519391979369585e-14,-1.545920482103758e-14,-1.6168736583773878e-14,-1.5841028445282626e-14,-7.055546624098234e-15,-4.625543446244379e-16,1.34192240118008e-14,2.7299622651369164e-14,3.730394136355274e-14,3.784552504472604e-14,3.0602681448650195e-14,2.2620885750163902e-14
P_ij_12_14,-1.551939256641902e-14,-1.5459205048531634e-14,-1.6168736667407977e-14,-1.5841027347187438e-14,-7.055538863208615e-15,-4.62541346563555e-16,1.341924565066791e-14,2.729965046247706e-14,3.730396999450325e-14,3.7845543235726644e-14,3.0602685568957995e-14,2.262088658843229e-14
P_ij_12_15,-1.551939256641902e-14,-1.5459205048531634e-14,-1.6168736667407977e-14,-1.5841027347187438e-14,-7.055538863208615e-15,-4.62541346563555e-16,1.341924565066791e-14,2.729965046247706e-14,3.730396999450325e-14,3.7845543235726644e-14,3.0602685568957995e-14,2.262088658843229e-14
Q_ij_1_2,8.589142936772456e-6,8.912458129288043e-6,9.411513790568906e-6,1.001445762697349e-5,1.0358974231852138e-5,1.0490908864768657e-5,1.0614068014390375e-5,1.046589348228965e-5,1.0537339724505257e-5,1.0687638479182777e-5,1.1249227902140109e-5,1.170733677454483e-5
Q_ij_2_3,8.589142936772612e-6,8.912458129288127e-6,9.411513790568964e-6,1.0014457626973314e-5,1.0358974231850662e-5,1.0490908864766165e-5,1.0614068014386209e-5,1.0465893482284285e-5,1.0537339724499724e-5,1.068763847917924e-5,1.1249227902139265e-5,1.1707336774544607e-5
Q_ij_2_11,-1.5444912308545444e-19,-8.313168508501231e-20,-5.60350180934803e-20,1.7623944179553654e-19,1.476522365376559e-18,2.4917571874326473e-18,4.165952439002677e-18,5.3643223332799305e-18,5.532574431031156e-18,3.53615110674262e-18,8.434584764725374e-19,2.2345522216058664e-19
Q_ij_3_4,8.589142936772616e-6,8.91245812928813e-6,9.411513790568967e-6,1.0014457626973318e-5,1.0358974231850662e-5,1.0490908864766166e-5,1.0614068014386207e-5,1.0465893482284284e-5,1.0537339724499721e-5,1.0687638479179237e-5,1.124922790213926e-5,1.1707336774544598e-5
Q_ij_4_5,8.589142936772622e-6,8.912458129288136e-6,9.411513790568974e-6,1.0014457626973323e-5,1.0358974231850666e-5,1.0490908864766166e-5,1.0614068014386207e-5,1.046589348228428e-5,1.0537339724499718e-5,1.068763847917923e-5,1.124922790213925e-5,1.1707336774544588e-5
Q_ij_5_6,6.866003670431183e-6,7.123303172794636e-6,7.520465523137533e-6,8.002483215960293e-6,8.287896070768647e-6,8.399810136647964e-6,8.50788508356986e-6,8.385367004180794e-6,8.434000537084362e-6,8.535117023407893e-6,8.962189281009086e-6,9.310956740325792e-6
Q_ij_6_7,5.288203670431199e-6,5.486703172794651e-6,5.793215523137549e-6,6.164983215960307e-6,6.384246070768653e-6,6.471660136647967e-6,6.557685083569859e-6,6.46946700418079e-6,6.515650537084352e-6,6.602067023407879e-6,6.938489281009064e-6,7.216206740325764e-6
Q_ij_7_8,3.8070036704312204e-6,3.950303172794671e-6,4.17171552313757e-6,4.439983215960325e-6,4.597146070768661e-6,4.6615601366479715e-6,4.726885083569858e-6,4.670867004180783e-6,4.71475053708434e-6,4.787367023407859e-6,5.0386892810090346e-6,5.249706740325725e-6
Q_ij_8_9,1.9334380956940306e-6,2.0065189250742523e-6,2.1195902625219574e-6,2.2559707892449894e-6,2.3335648670620207e-6,2.367680003577179e-6,2.40513834126275e-6,2.3877235850127884e-6,2.4254334325542406e-6,2.475945614241891e-6,2.612825356642767e-6,2.730413811940238e-6
Q_ij_9_10,-2.7942973830188375e-20,-2.6436218158194756e-20,-2.6876311707552567e-20,-2.346013440820815e-20,-1.0953916327969232e-20,-6.098591696014755e-21,1.2929461948780773e-21,8.307851395411247e-21,1.5709255935677138e-20,2.5867818960600187e-20,3.938482392152161e-20,5.0143966140635024e-20
