t,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
lambda,0.71,0.657,0.618,0.592,0.598,0.613,0.644,0.668,0.705,0.75,0.777,0.787,0.796,0.782,0.783,0.789,0.826,0.855,0.95,1.0,0.97,0.921,0.85,0.72
Irrad,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.5,0.8,0.9,1.0,1.0,0.99,0.9,0.7,0.4,0.1,0.0,0.0,0.0,0.0,0.0
cents/kWh,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,4.820404,4.820404
P_Subs,-6.824571661708813e-9,-6.827920098369194e-9,-6.836935795773872e-9,-6.868506565927686e-9,-6.857345213113502e-9,-6.841784977300033e-9,-6.854909523783349e-9,-6.899845771415819e-9,-6.919585444671742e-9,-7.006010658739795e-9,-7.026897885447188e-9,-7.028576804587117e-9,-7.029735234328436e-9,-7.029753649740586e-9,-7.028787270123739e-9,-9.680075426037434e-9,-9.679736222873106e-9,-9.668328747578497e-9,-9.665821780359427e-9,-9.66577477989696e-9,-9.66578238006628e-9,-9.665799949601703e-9,-5.075427689185392e-9,-5.1349276718958855e-9
P_ij_1_2,-6.805786029632294e-9,-6.8091336269703185e-9,-6.818161285433441e-9,-6.8499757396514956e-9,-6.8386914326264875e-9,-6.823019457950704e-9,-6.836219431432308e-9,-6.881646862726227e-9,-6.9016166434716364e-9,-6.988988681323227e-9,-7.009967877784394e-9,-7.011650077097062e-9,-7.0128117123656694e-9,-7.012830276133733e-9,-7.011863247770086e-9,-9.663146766204094e-9,-9.66271848250584e-9,-9.641750700277143e-9,-9.637975400043403e-9,-9.637929955801378e-9,-9.637936331960212e-9,-9.637952851011475e-9,-5.047580136755025e-9,-5.107068596424757e-9
P_ij_2_3,4.697045017100649e-8,4.69690123924852e-8,4.6914790540025266e-8,4.6112163246984403e-8,4.650566597998476e-8,4.68778614063812e-8,4.661358640755051e-8,4.504202209119652e-8,4.431216147890322e-8,4.144823729205748e-8,4.1250538699077786e-8,4.127096840687724e-8,4.129897678077103e-8,4.130459054709713e-8,4.130140451626204e-8,3.862033631350325e-8,3.87629521635532e-8,6.967360677190829e-8,7.413963502606666e-8,7.414760669168193e-8,7.41471991631947e-8,7.41436943359099e-8,7.866553746723367e-8,7.862700077437457e-8
P_ij_2_11,-3.6080925810974267e-9,-3.608254978712595e-9,-3.6059525874289197e-9,-3.5591411732767273e-9,-3.582745231217484e-9,-3.60422271563475e-9,-3.5897184950349425e-9,-3.4954475210053686e-9,-3.4512942770750493e-9,-3.269656037964612e-9,-3.2520248737803425e-9,-3.2514099250867233e-9,-3.2508117975859024e-9,-3.250785534016413e-9,-3.2509081523540867e-9,-3.251778043617926e-9,-3.2688526054486788e-9,-5.104119558866758e-9,-5.347738781460006e-9,-5.3474400738735975e-9,-5.347675728268522e-9,-5.347878332890697e-9,-5.348004510768835e-9,-5.350208696934213e-9
P_ij_3_4,1.589668251109659e-6,1.5897349922458484e-6,1.58863111265502e-6,1.567398751181309e-6,1.5780421737860525e-6,1.5878165163860067e-6,1.5811383415024913e-6,1.5386555946863161e-6,1.5188021243061948e-6,1.4381318639561148e-6,1.4309205258639952e-6,1.430870252408679e-6,1.4308756322075225e-6,1.4309062019548565e-6,1.4309196663020195e-6,1.428348095624891e-6,1.4351170912226224e-6,2.269894132173246e-6,2.383617059568331e-6,2.3835682534546816e-6,2.3836475820451985e-6,2.383694797160159e-6,2.3879053642337227e-6,2.3887251105237793e-6
P_ij_4_5,2.4279760023455525e-6,2.428081922483173e-6,2.42639837537941e-6,2.3939750150287318e-6,2.410224653688186e-6,2.425153852358767e-6,2.414942509083656e-6,2.350086538611971e-6,2.319786528938092e-6,2.1969376355707612e-6,2.18609073607301e-6,2.1860623153040724e-6,2.1861277030955753e-6,2.1861824443139487e-6,2.1861942308727154e-6,2.1836001621202297e-6,2.193753388402128e-6,3.470273111038127e-6,3.644658183393168e-6,3.6445996046083967e-6,3.6447157175754676e-6,3.6447802113851155e-6,3.648748965855594e-6,3.6500142459902816e-6
P_ij_5_6,-1.0946868531363557e-7,-6.676801343003807e-7,-1.1739808547524216e-6,-1.471215230468336e-6,-1.415956437777799e-6,-1.2346625875354842e-6,-9.178965307528062e-7,-5.996133685885393e-7,-1.5863475472012743e-7,5.994086368104504e-7,9.442134254945923e-7,1.0153867239555367e-6,1.0566480322359469e-6,9.392331975512115e-7,9.597467926703097e-7,1.0596822152006172e-6,1.4179414749546696e-6,1.0486491058123554e-6,2.253178408534298e-6,2.686256887069339e-6,2.3998674862654335e-6,1.982610919448435e-6,1.4178816786287704e-6,-2.443604506580786e-7
P_ij_6_7,-1.080514813597238e-6,-1.2513990598737728e-6,-1.4770658746647005e-6,-1.6430259630264162e-6,-1.6027891474017454e-6,-1.5036545494329906e-6,-1.4319807687529826e-6,-1.4033105117192448e-6,-1.2859750861298087e-6,-1.0717445489357631e-6,-9.4311392568385e-7,-9.451925558977233e-7,-9.697153911178691e-7,-9.842607716094905e-7,-9.710297786636828e-7,-9.150969718409257e-7,-8.106763435304866e-7,-1.3514936441182984e-7,3.7750398506741137e-7,4.436467128427829e-7,3.7743208075568355e-7,3.197889993773614e-7,2.751968850528044e-7,-4.334863306167575e-7
P_ij_7_8,-5.783371206591422e-6,-5.588661092205519e-6,-5.54565456110936e-6,-5.535459342769986e-6,-5.535079253511716e-6,-5.5379054995520746e-6,-5.681145126927936e-6,-5.824093387157193e-6,-5.964776155996979e-6,-6.071395839672914e-6,-6.129478313278091e-6,-6.200433485257339e-6,-6.286911096995437e-6,-6.2047974297549e-6,-6.198481426125733e-6,-6.184110906692175e-6,-6.334662616622872e-6,-5.740971086928079e-6,-5.866662765357056e-6,-6.145419002652194e-6,-6.004689517169184e-6,-5.724295053560425e-6,-5.278410081063485e-6,-5.090739321384898e-6
P_ij_8_9,-6.356855895168317e-6,-6.835779196312021e-6,-7.183773367510684e-6,-7.395094387587028e-6,-7.350985552047656e-6,-7.2268966128709025e-6,-7.846004606406828e-6,-8.490204749860365e-6,-9.031410991046775e-6,-1.0078901232765029e-5,-1.2360095635512505e-5,-1.3126744920828712e-5,-1.3893073960795381e-5,-1.4012713547385597e-5,-1.3922083607725172e-5,-1.3117039911282709e-5,-1.120110064811116e-5,-8.773139380245935e-6,-5.174708221953068e-6,-3.806870894328657e-6,-4.080425667808721e-6,-4.527235028286066e-6,-5.17483031260653e-6,-6.360105274154141e-6
P_ij_9_10,-6.457879213095743e-6,-6.455321322721377e-6,-6.451146325316892e-6,-6.437196796935172e-6,-6.442967971774353e-6,-6.449842718614002e-6,-6.444228983694805e-6,-6.417223660717312e-6,-6.398332105468628e-6,-6.193716437715848e-6,-6.08123829529128e-6,-6.050923831563078e-6,-6.0154661068077864e-6,-6.011481599931704e-6,-6.01655542451872e-6,-6.054509254162743e-6,-6.182087358462496e-6,-6.504965325676415e-6,-6.507011737916818e-6,-6.507107087075558e-6,-6.507081393123303e-6,-6.507040915283543e-6,-6.507116070036817e-6,-6.506978176264498e-6
