t,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
lambda,0.71,0.657,0.618,0.592,0.598,0.613,0.644,0.668,0.705,0.75,0.777,0.787,0.796,0.782,0.783,0.789,0.826,0.855,0.95,1.0,0.97,0.921,0.85,0.72
Irrad,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.5,0.8,0.9,1.0,1.0,0.99,0.9,0.7,0.4,0.1,0.0,0.0,0.0,0.0,0.0
cents/kWh,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,4.820404,4.820404
P_Subs,2.980726287795041e-5,2.767384778309044e-5,2.6116149044122007e-5,2.509362605498995e-5,2.5374552295506578e-5,2.6029943219129813e-5,2.5602315248471475e-5,2.4906616383604488e-5,2.4754435894775967e-5,2.3210532045233597e-5,1.9247011311158008e-5,1.815163496940197e-5,1.7194218437991286e-5,1.753836393138458e-5,2.026360429193929e-5,7.834492558470719e-6,1.4292300503485847e-5,2.1240945610838117e-5,3.0412624810314062e-5,3.3967900621031184e-5,3.205120116150646e-5,2.8172973511963382e-5,3.4453342921137426e-5,2.9054230341098697e-5
P_ij_1_2,2.980726284472028e-5,2.7673847747092036e-5,2.6116149007271347e-5,2.5093626019648157e-5,2.537455226509667e-5,2.602994319512618e-5,2.5602315231566826e-5,2.490661637636541e-5,2.4754435899810707e-5,2.3210532070617294e-5,1.924701139128739e-5,1.8151635111717066e-5,1.71942186772297e-5,1.7538364264105706e-5,2.0263604562212818e-5,7.834492582218268e-6,1.4292300517152338e-5,2.1240945619781273e-5,3.0412624815232847e-5,3.3967900624705654e-5,3.205120116457713e-5,2.8172973515714962e-5,3.4453343053723724e-5,2.9054230183451923e-5
P_ij_2_3,2.980726264545559e-5,2.76738475312177e-5,2.6116148786283534e-5,2.5093625807713595e-5,2.5374552082753433e-5,2.6029943051220635e-5,2.560231513025525e-5,2.490661633304734e-5,2.4754435930135635e-5,2.321053222303613e-5,1.9247011872180556e-5,1.815163596572475e-5,1.7194220112777667e-5,1.7538366260550426e-5,2.0263606183972148e-5,7.834492724819746e-6,1.4292300599267704e-5,2.1240945673556695e-5,3.041262484486207e-5,3.396790064686897e-5,3.2051201183117666e-5,2.8172973538340913e-5,3.445334384936027e-5,2.905422923768617e-5
P_ij_2_11,1.660346648183507e-13,1.798760310124705e-13,1.8413725770391926e-13,1.7659287788960825e-13,1.519334336483491e-13,1.1990201521676312e-13,8.440703260518412e-14,3.6079096256615816e-14,-2.529008367828929e-14,-1.2703502845555245e-13,-4.007636705440351e-13,-7.116924747216234e-13,-1.1963094321458851e-12,-1.66372347627492e-12,-1.3514856788741822e-12,-1.1885382031426925e-13,-6.844876765062938e-14,-4.48321566693989e-14,-2.4710326161936314e-14,-1.8488739976862222e-14,-1.5469747373697507e-14,-1.887426131054289e-14,-6.630501140572145e-13,7.881190720547721e-13
P_ij_3_4,2.9807262612225878e-5,2.767384749521971e-5,2.6116148749433295e-5,2.5093625772372226e-5,2.5374552052343947e-5,2.602994302721743e-5,2.560231511335103e-5,2.4906616325808696e-5,2.4754435935170812e-5,2.3210532248420277e-5,1.92470119523104e-5,1.815163610804032e-5,1.7194220352016573e-5,1.7538366593272073e-5,2.0263606454246202e-5,7.834492748567734e-6,1.4292300612934637e-5,2.1240945682500292e-5,3.0412624849781298e-5,3.3967900650543886e-5,3.205120118618878e-5,2.817297354209293e-5,3.445334398194714e-5,2.9054229080039748e-5
P_ij_4_5,2.9807262578996365e-5,2.7673847459221922e-5,2.611614871258326e-5,2.509362573703106e-5,2.5374552021934668e-5,2.602994300321443e-5,2.560231509644702e-5,2.4906616318570264e-5,2.4754435940206206e-5,2.3210532273804645e-5,1.9247012032440467e-5,1.8151636250356125e-5,1.719422059125573e-5,1.753836692599398e-5,2.026360672452053e-5,7.83449277231594e-6,1.4292300626601783e-5,2.1240945691444106e-5,3.0412624854700743e-5,3.3967900654219006e-5,3.205120118926011e-5,2.8172973545845167e-5,3.445334411453429e-5,2.9054228922393482e-5
P_ij_5_6,2.337311488604166e-5,2.167529437531509e-5,2.0432237819937866e-5,1.961176332636008e-5,1.982431863584478e-5,2.0331477249448652e-5,2.044739013435067e-5,2.0346170802510107e-5,2.0671889107940062e-5,2.0357024512543222e-5,1.857834590443943e-5,1.8112996538327233e-5,1.770544512911701e-5,1.7718836246765365e-5,1.913759334331862e-5,1.2843129710715715e-5,1.6605896193165622e-5,2.0557860254946108e-5,2.639797411933414e-5,2.8809789413490578e-5,2.7485812847250035e-5,2.4932366073272723e-5,2.7350542940389974e-5,2.3101980974780913e-5
P_ij_6_7,1.8161714852812644e-5,1.68529143393178e-5,1.589611778308833e-5,1.5266483291019423e-5,1.543499860543601e-5,1.5832057225446167e-5,1.5720430117447178e-5,1.54430507952722e-5,1.5497189112975992e-5,1.485202453792814e-5,1.287516598457007e-5,1.233641668064363e-5,1.1862805368356793e-5,1.1978956579487946e-5,1.3390373613593638e-5,7.0518697344644535e-6,1.0543056206833306e-5,1.428216026389046e-5,1.9424974124254123e-5,2.1469789417166243e-5,2.03660128503219e-5,1.8172226077025493e-5,2.111154307297788e-5,1.781718081713504e-5
P_ij_7_8,1.325561481958369e-5,1.2313044303320571e-5,1.1625737746238858e-5,1.1175763255678826e-5,1.13028185750273e-5,1.159622720144374e-5,1.1270390100543748e-5,1.082717078803436e-5,1.0625639118011985e-5,9.66952456331312e-6,7.5060960647007784e-6,6.898246822960096e-6,6.3624456075966485e-6,6.5753369122106076e-6,7.979843883868738e-6,1.5998797582132566e-6,4.835396220501054e-6,8.374110272834875e-6,1.2860474129174168e-5,1.4559789420841971e-5,1.366331285339383e-5,1.1808116080778327e-5,1.5238043205565875e-5,1.2841980659489208e-5
P_ij_8_9,6.475200066457182e-6,5.991840071993726e-6,5.636160073698211e-6,5.399040070680454e-6,5.453760060816671e-6,5.590560048004097e-6,4.961280033806095e-6,4.268160014474907e-6,3.6935999899272215e-6,2.279999949229224e-6,-2.097601602622626e-7,-1.0305602846338179e-6,-1.8604804784806486e-6,-1.9881606654463358e-6,-1.8878405405512427e-6,-1.0123200474983986e-6,1.1491199726637132e-6,4.1495999821103745e-6,7.751999990159115e-6,9.119999992647753e-6,8.84639999385535e-6,8.399519992493541e-6,7.751999734822876e-6,6.566400315291113e-6
P_ij_9_10,3.322855093388027e-14,3.5996821907912874e-14,3.684906454404574e-14,3.5340185482237325e-14,3.040829387546538e-14,2.400200678499284e-14,1.6903004849506864e-14,7.23741069462015e-15,-5.036433172759025e-15,-2.5385433151985238e-14,-8.013117830547618e-14,-1.4231695769051182e-13,-2.392403763988649e-13,-3.3272322418832747e-13,-2.7027567895905187e-13,-2.3749242686651994e-14,-1.3668187421724041e-14,-8.944856509797252e-15,-4.920486762188237e-15,-3.676168299381497e-15,-3.072369288924184e-15,-3.753274095150573e-15,-1.3258862482043128e-13,1.5764552616842986e-13
