first,second
vald_pv_real_power_allT_kW,29627.778286521167
vald_pv_reactive_power_vs_t_1toT_kVAr,"[540.9643097895269, 465.25478632692034, 407.0200012031646, 368.47010336347967, 378.96357964418337, 403.46211785579976, 398.6329764607442, 379.2468589077762, 375.20167825741066, 310.2522426238272, 149.46446095563803, 104.34201393177771, 64.14653496309455, 67.74006007239888, 101.83992830944156, -47.6599864166109, 81.29345200628784, 297.8589674493613, 603.0556747679532, 715.4727283363902, 648.3567653043561, 526.7516121823378, 733.8522837871197, 525.6750587479058]"
disc_PSubs_all_time_kW,8568.853298850861
vald_PLoss_allT_kW,11027.919546797972
vald_total_gen_real_power_vs_t_1toT_kW,"[-215.12333025745812, -0.002587484317041913, -0.04561888519655355, -0.026758069050500127, 0.006681262840774878, 0.01779847451372899, 364.75656148700205, 731.6653350790381, 1097.584073528353, 1840.3554406260052, 2997.8337374709195, 3392.452372517218, 3793.3006625090375, 3807.7183411535498, 3769.0460216252227, 5392.24857156343, 2560.6566006414964, 1419.9628884251692, 339.8435853040246, 0.010066321352747765, -0.09255058264233197, -0.003815347214404369, -14.338190930788409, 11.350762074844717]"
vald_PSubs_allT_kW,131490.86493232506
vald_battery_real_power_allT_kW,1661.3983619861822
vald_PSubs_vs_t_1toT_kW,"[6544.199187692541, 5894.508002861509, 5571.350008059602, 5354.158914074956, 5404.434787971554, 5529.868839838073, 5419.213082516377, 5249.695164949278, 5188.5667501272455, 4823.001848703106, 3928.9741174911114, 3637.7063566289253, 3336.6876540795415, 3215.3163048446386, 3262.2424826304223, 1810.6629913715187, 4708.443091549852, 6038.073755571927, 7847.544588729615, 8572.258086284382, 8340.392604571593, 7956.0973254008, 7462.493917399512, 6394.975068976998]"
vald_battery_real_power_vs_t_1toT_kW,"[-215.10655060506986, -0.0006893636720070618, -0.01197625247320724, -0.0070031731065263335, 0.0017534844424382642, 0.0046720188716126935, -0.006391422829756777, -0.008107010366400061, -0.004783243504271922, -0.0158196050728142, -0.0003341478258744317, -0.005203190995125453, -0.004231451300220172, -0.0005440898714765723, 0.001997117559890995, 1879.51935023302, 0.0006414406712876541, 0.0012382583403588968, 0.004720082458403226, 0.002549587577621878, -0.022589312776119072, -0.0008522435219989574, -14.309147981953515, 11.365662857579792]"
vald_substation_real_power_peak_allT_kW,8572.258086284382
vald_terminal_soc_violation_kWh,2.6629199999999997
vald_solution_time,0.0
vald_battery_reactive_power_vs_t_1toT_kVAr,"[230.3922386751313, 196.27820330255705, 170.39531880337802, 153.33854229930088, 157.83024985638934, 168.46314988391958, 167.29067099940687, 161.9393783051207, 165.8934376159143, 154.31150782082358, 109.82726617976351, 98.51688174869494, 89.28221904058164, 92.31027884284882, 116.65644536024412, -29.04807320295678, 48.711631590135376, 129.0697996965036, 239.37425330106134, 287.3027663434724, 248.29599536442203, 178.35147771581734, 314.31416234284956, 219.79293154484853]"
vald_battery_real_power_transaction_magnitude_t_kW,11.365662857579792
disc_line_loss_all_time_kW,954.9071352386142
