t,1,2,3
lambda,0.777,0.787,0.796
Irrad,0.8,0.9,1.0
cents/kWh,4.820404,4.820404,30.18066
P_Subs,0.008544010941948434,0.008448765109261387,0.0021769207406473505
P_ij_1_2,0.008544010941948434,0.008448765109261387,0.0021769207406473505
P_ij_2_3,0.0017480390806892535,0.0016141660993371574,0.0014762452747880564
P_ij_2_11,0.00679517810350251,0.006833802209344816,0.0007006484831678704
P_ij_3_4,0.001747997151056237,0.0016141273277098635,0.0014762090289999273
P_ij_4_5,0.0017479660227688455,0.001614098543905422,0.0014761821203620872
P_ij_5_6,0.0017670092744301456,0.0017079342367104188,0.0016456432579338637
P_ij_6_7,0.0011966505251396766,0.001130237847186895,0.0010613434841019653
P_ij_7_8,0.0006597370006034921,0.0005864147910743992,0.0005113019395708466
P_ij_8_9,-2.0971109236904806e-5,-0.00010305187239717116,-0.00018604467574051965
P_ij_9_10,-1.829130406905134e-14,-1.828922656254819e-14,-1.8111204789968235e-14
P_ij_11_12,-9.154100419708277e-13,-9.154100477537653e-13,-9.15410922333848e-13
P_ij_12_13,-1.7643377200090164e-13,-1.764337731123557e-13,-1.7643391338740962e-13
P_ij_12_14,-2.8127125704705334e-13,-2.812712588283262e-13,-2.8127155584541857e-13
P_ij_12_15,-2.8127125704705334e-13,-2.812712588283262e-13,-2.8127155584541857e-13
Q_ij_1_2,0.03729420572975169,0.037391013406692264,0.006709905395817751
Q_ij_2_3,0.003377205328642122,0.0032812279593400252,0.0032127630819637513
Q_ij_2_11,0.03391659577405356,0.03410937926918269,0.0034971285591197604
Q_ij_3_4,0.0033771839725957723,0.0032812082117627157,0.0032127446208736923
Q_ij_4_5,0.0033771681192821938,0.003281193552469962,0.0032127309165838197
Q_ij_5_6,0.0023102264865950094,0.0022477917512077356,0.0021722446813289146
Q_ij_6_7,0.002119826309857083,0.0020549436115335825,0.001977193799644968
Q_ij_7_8,0.001941094742640251,0.0018739135927172772,0.0017940954718893268
Q_ij_8_9,0.0008982381213841767,0.0008189556036814364,0.000717015252605866
Q_ij_9_10,-1.2965100616089682e-14,-1.2963628068067292e-14,-1.2837444061091488e-14
Q_ij_11_12,-1.7899078816906378e-13,-1.789907892983079e-13,-1.7899095428473213e-13
Q_ij_12_13,-4.602620261426256e-14,-4.602620290401735e-14,-4.602623949630479e-14
Q_ij_12_14,-4.346919357356956e-14,-4.3469193848748376e-14,-4.346923975018666e-14
Q_ij_12_15,-4.346919357356547e-14,-4.346919384873752e-14,-4.346923975018666e-14
l_ij_1_2,0.0013798264718533108,0.0013851159538607906,4.690528262030803e-5
l_ij_2_3,1.3631434258647083e-5,1.2604758270835578e-5,1.1783601297847336e-5
l_ij_2_11,0.0504417125867265,0.05072842560820715,0.005201027686894148
l_ij_3_4,1.3631434258647083e-5,1.2604758270835576e-5,1.1783601297847336e-5
l_ij_4_5,1.3631434258647083e-5,1.2604758270835578e-5,1.1783601297847335e-5
l_ij_5_6,7.974501806469672e-6,7.512703194725972e-6,7.0008209668102454e-6
l_ij_6_7,5.58613222057866e-6,5.1850804696470424e-6,4.7470782677857966e-6
l_ij_7_8,3.962360465014215e-6,3.6345904930157714e-6,3.2807650590020773e-6
l_ij_8_9,7.610416710616893e-7,6.422883022082964e-7,5.172821218907975e-7
l_ij_9_10,-2.8080938898332195e-12,-2.8077749523761323e-12,-2.7804449289259767e-12
l_ij_11_12,-1.4728384606674887e-12,-1.4728384699204684e-12,-1.4728396408761447e-12
l_ij_12_13,-1.4728386013184528e-12,-1.4728386105924367e-12,-1.472839781583265e-12
l_ij_12_14,-1.4728386829569141e-12,-1.4728386922816452e-12,-1.4728402475705226e-12
l_ij_12_15,-1.4728386829569141e-12,-1.4728386922816452e-12,-1.4728402475705226e-12
v_j_1,1.0609,1.0609,1.0609
v_j_2,1.0608682978647133,1.0608683506722734,1.0608935601416716
v_j_3,1.0608469622839025,1.0608481393838296,1.0608744118436402
v_j_4,1.0608311237298649,1.060833135463346,1.0608601970548588
v_j_5,1.0608146315076563,1.0608175123063448,1.06084539558348
v_j_6,1.0607761917002252,1.0607802270368143,1.0608094133971473
v_j_7,1.0607570277823828,1.0607617192555783,1.0607916669050566
v_j_8,1.0607454766624722,1.0607510161142022,1.0607818647105887
v_j_9,1.0607374518333847,1.0607447783525568,1.0607776349628886
v_j_10,1.0607374518333847,1.0607447783525568,1.0607776349628888
v_j_11,1.010002318991235,1.0100023189912537,1.0100023189849392
v_j_12,1.0100023189914429,1.0100023189914615,1.010002318985147
v_j_13,1.0100023189914655,1.0100023189914842,1.0100023189851697
v_j_14,1.010002318991498,1.0100023189915166,1.010002318985202
v_j_15,1.010002318991498,1.0100023189915166,1.010002318985202
q_D_j_5,-0.00032450141452202444,-0.00027399772649261926,-0.00022799977714333853
q_D_j_9,-0.0006620266076318738,-0.0005797046382190337,-0.00047502886430276397
q_B_j_5,-0.0005271947099668464,-0.0005413898099159405,-0.0005919801877110068
q_B_j_8,-0.0008159668090741494,-0.0008251486576427597,-0.0008446434068986349
P_c_j_5,7.307642825306133e-7,7.307643179440351e-7,7.294559582188418e-7
P_c_j_8,7.314209951499958e-7,7.314254581995807e-7,7.301226924909292e-7
P_d_j_5,6.934284857022013e-7,6.934284559260817e-7,6.946123329484825e-7
P_d_j_8,6.928985057585822e-7,6.92894496360793e-7,6.94069399691198e-7
B_j_5,0.002492964301346612,0.0024929286027582107,0.002492890415041731
B_j_8,0.002627965483097225,0.0026279309746547667,0.0026278939918445367
