first,second
vald_pv_real_power_allT_kW,9401.942434246728
vald_pv_reactive_power_vs_t_1toT_kVAr,"[-1898.0514416917476, -1660.351308259313, -1385.592692534335]"
disc_PSubs_all_time_kW,4167.912854743091
vald_PLoss_allT_kW,2404.4147811161297
vald_total_gen_real_power_vs_t_1toT_kW,"[2753.163139824217, 3130.983146898324, 3517.4373282062606]"
vald_PSubs_allT_kW,11653.354642789101
vald_battery_real_power_allT_kW,-0.35881931792682736
vald_PSubs_vs_t_1toT_kW,"[4176.45686568504, 3887.02733782042, 3589.8704392836426]"
vald_battery_real_power_vs_t_1toT_kW,"[-0.19386022553608928, -0.08798075190941745, -0.07697834048132063]"
vald_substation_real_power_peak_allT_kW,4176.45686568504
vald_terminal_soc_violation_kWh,0.34087835203048605
vald_solution_time,0.0
vald_battery_reactive_power_vs_t_1toT_kVAr,"[-2641.0812432195034, -2713.6180245612677, -2886.156820738044]"
vald_battery_real_power_transaction_magnitude_t_kW,0.07697834048132063
disc_line_loss_all_time_kW,846.9087769613451
vald_PLoss_vs_t_1toT_kW,"[853.7049240450073, 799.6841579318367, 751.0256991392858]"
vald_QLoss_vs_t_1toT_kVAr,"[-572.8591703485879, -537.7777588300978, -504.2721863522031]"
disc_voltage_all_time_pu,0.14246840918783654
vald_load_real_power_vs_t_1toT_kW,"[6076.185776099025, 6218.267514906857, 6356.26195155124]"
vald_PSubsCost_allT_dollar,1472.1391068058479
vald_PSubsCost_vs_t_1toT_dollar,"[201.32209381175628, 187.37042127338904, 1083.4465917207026]"
vald_static_cap_reactive_power_allT_kVAr,0.0
vald_load_reactive_power_vs_t_1toT_kVAr,"[2025.304245334303, 2072.947373888535, 2118.945567018194]"
vald_battery_real_power_transaction_magnitude_vs_t_1toT_kW,"[0.0, 0.0, 0.0]"
vald_load_reactive_power_allT_kVAr,6217.197186241032
vald_QSubs_vs_t_1toT_kVAr,"[7137.313515993485, 6984.471524460628, 6894.736943851206]"
vald_total_gen_reactive_power_allT_kVAr,-13184.85153100421
vald_battery_reactive_power_allT_kVAr,-8240.856088518816
vald_pv_reactive_power_allT_kVAr,-4943.995442485396
vald_QLoss_allT_kVAr,-1614.9091155308888
vald_static_cap_reactive_power_vs_t_1toT_kVAr,"[0.0, 0.0, 0.0]"
vald_battery_real_power_transaction_magnitude_allT_kW,0.35881931792682736
vald_load_real_power_allT_kW,18650.715242557122
vald_voltages_vs_t_1toT_pu,"[Dict(5 => 0.967798470011982, 12 => 1.0248805306169653, 8 => 0.8957199520542312, 1 => 1.0300001509983825, 6 => 0.9275712419963257, 11 => 1.024880522340902, 9 => 0.8874526809124608, 14 => 1.024880531733577, 3 => 1.002463777975354, 7 => 0.907836616890271, 4 => 0.9854104615400534, 13 => 1.0248805317992602, 15 => 1.024880531733577, 2 => 1.0256393447491186, 10 => 0.8874531017911793), Dict(5 => 0.9707581806489022, 12 => 1.025085533125902, 8 => 0.9009769617606879, 1 => 1.030000151007641, 6 => 0.9314837893002933, 11 => 1.0250855248481832, 9 => 0.8944853837511055, 14 => 1.025085534242737, 3 => 1.0037652230851788, 7 => 0.912284104205162, 4 => 0.9875248923205738, 13 => 1.0250855343084333, 15 => 1.025085534242737, 2 => 1.02584449904043, 10 => 0.8944858079651173), Dict(5 => 0.9735436022323589, 12 => 1.025276996052086, 8 => 0.9064253366530209, 1 => 1.0300001510130767, 6 => 0.9353987716116214, 11 => 1.025276987772821, 9 => 0.9019690110185475, 14 => 1.0252769971691296, 3 => 1.004984332196871, 7 => 0.9168500754924547, 4 => 0.9895100148061127, 13 => 1.0252769972348381, 15 => 1.0252769971691296, 2 => 1.0260361037243797, 10 => 0.9019694387817055)]"
vald_battery_reactive_power_transaction_magnitude_vs_t_1toT_kVAr,"[0.0, 0.0, 0.0]"
vald_battery_reactive_power_transaction_magnitude_t_kVAr,2886.156820738044
disc_QSubs_all_time_kVAr,7100.019310263734
vald_total_gen_real_power_allT_kW,9401.5836149288
vald_pv_real_power_vs_t_1toT_kW,"[2753.357000049753, 3131.0711276502334, 3517.514306546742]"
vald_total_gen_reactive_power_vs_t_1toT_kVAr,"[-4539.132684911251, -4373.969332820581, -4271.749513272379]"
vald_battery_reactive_power_transaction_magnitude_allT_kVAr,8240.856088518816
vald_QSubs_allT_kVAr,21016.52198430532
