t,1,2,3
lambda,0.777,0.787,0.796
Irrad,0.8,0.9,1.0
cents/kWh,4.820404,4.820404,30.18066
P_Subs,0.01231107224026937,0.01076861589065997,-8.918650711525374e-9
P_ij_1_2,0.01231107224029411,0.010768615890688253,-8.91902843427017e-9
P_ij_2_3,-0.002721679894295861,-0.003573871782253732,-0.008845258719151664
P_ij_2_11,0.015032752134614722,0.014342487672970278,0.008845249799745516
P_ij_3_4,-0.00272167989427107,-0.0035738717822253988,-0.008845258719529337
P_ij_4_5,-0.002721679894246252,-0.003573871782197039,-0.008845258719906985
P_ij_5_6,-1.2457023161537207e-13,-1.422793708631634e-13,1.887751693994191e-12
P_ij_6_7,-9.968630870290582e-14,-1.1385362995153025e-13,1.5101711582506856e-12
P_ij_7_8,-7.479464072798461e-14,-8.54201414448295e-14,1.1325983864759663e-12
P_ij_8_9,-4.9880898084107113e-14,-5.696457105081551e-14,7.550477432567251e-13
P_ij_9_10,-2.494584824418047e-14,-2.848768649312318e-14,3.775184592461826e-13
P_ij_11_12,0.015032752134639473,0.01434248767299857,0.008845249799367802
P_ij_12_13,-0.0019269300000247372,-0.002769830000028279,-0.003619639999622278
P_ij_12_14,0.006806519999975281,0.006894119999971739,0.00697296000037774
P_ij_12_15,0.00708623999997528,0.007177439999971739,0.00725952000037774
Q_ij_1_2,0.01048281781599989,0.010616630387549108,0.0107340748003144
Q_ij_2_3,0.002161044945070677,0.0021877252782766133,0.0022089775572352406
Q_ij_2_11,0.008321772870929216,0.0084289051092725,0.008525097243079163
Q_ij_3_4,0.0021610449450707022,0.0021877252782766385,0.0022089775572352657
Q_ij_4_5,0.002161044945070741,0.002187725278276677,0.0022089775572353048
Q_ij_5_6,-5.988424234271888e-16,-5.990326387846944e-16,-6.002629531029715e-16
Q_ij_6_7,-5.11586444448081e-16,-5.117492485953169e-16,-5.128022342958662e-16
Q_ij_7_8,-3.987287316046484e-16,-3.988557525605534e-16,-3.996772853674606e-16
Q_ij_8_9,-2.785758899254847e-16,-2.786647421219304e-16,-2.7923939950234595e-16
Q_ij_9_10,-1.4311496561943443e-16,-1.4316064318540897e-16,-1.4345606252849835e-16
Q_ij_11_12,0.008321772870929221,0.008428905109272503,0.008525097243079167
Q_ij_12_13,0.0017871929361943392,0.0018102109461305596,0.0018307097397025841
Q_ij_12_14,0.002268840000000002,0.0022980400000000016,0.002324320000000001
Q_ij_12_15,0.0023620800000000025,0.0023924800000000024,0.0024198400000000012
l_ij_1_2,0.00024644355647957775,0.0002155489951805202,0.0001086062416993343
l_ij_2_3,1.1384567769820316e-5,1.6551050545876388e-5,7.834732480535945e-5
l_ij_2_11,0.0002782931409143618,0.0002608711946248118,0.00014225339105283988
l_ij_3_4,1.1384460756552327e-5,1.6550814483798103e-5,7.834381754655009e-5
l_ij_4_5,1.1384381307521548e-5,1.6550639230756695e-5,7.83412139545312e-5
l_ij_5_6,1.4627232922019814e-26,1.9081352777148175e-26,3.358682921420406e-24
l_ij_6_7,9.367119575786955e-27,1.2218562862460731e-26,2.14947113895915e-24
l_ij_7_8,5.273232254861279e-27,6.87776973011303e-27,1.2090135158130113e-24
l_ij_8_9,2.345339244819438e-27,3.0587053728807588e-27,5.373139447174368e-25
l_ij_9_10,5.865897134083052e-28,7.649673874092417e-28,1.3432463562237832e-25
l_ij_11_12,0.00029085752725086634,0.00027269045486564354,0.0001488579650278608
l_ij_12_13,6.8324366820709795e-6,1.0830376275828356e-5,1.627151195479673e-5
l_ij_12_14,5.091977690842128e-5,5.2238575037710676e-5,5.3427757481407895e-5
l_ij_12_15,5.51909610476857e-5,5.662038082527769e-5,5.790931266868533e-5
v_j_1,1.0609000000000037,1.0609000000000037,1.0609000000000037
v_j_2,1.0608796878215148,1.060881383965963,1.0608937045851972
v_j_3,1.060889660016942,1.060896515164621,1.060941198255905
v_j_4,1.0608970637148725,1.0609077488780607,1.0609764576625162
v_j_5,1.060904772603615,1.060919445793375,1.061013171492378
v_j_6,1.0609047726036203,1.0609194457933806,1.0610131714923627
v_j_7,1.060904772603624,1.0609194457933842,1.0610131714923625
v_j_8,1.0609047726036271,1.0609194457933875,1.0610131714923552
v_j_9,1.0609047726036294,1.06091944579339,1.061013171492347
v_j_10,1.0609047726036307,1.0609194457933913,1.061013171492343
v_j_11,1.015052088379335,1.0148994548694208,1.0138236606212252
v_j_12,1.010930380709311,1.010936427295102,1.0111716676124343
v_j_13,1.011280341463305,1.0114868942151425,1.011924453670279
v_j_14,1.0081967436259873,1.008167608267335,1.008371184834512
v_j_15,1.0080844023759874,1.0080538211840016,1.0082560965011786
q_D_j_5,-4.749693622916773e-6,-3.7521899831613454e-6,-2.6169081144907496e-6
q_D_j_13,-9.293619434008977e-8,-1.1094613056069136e-7,9.026029741320274e-8
q_B_j_5,-4.005251448473806e-6,-3.983088294165471e-6,-1.4406491214652462e-6
q_B_j_12,-9.93473487726308e-9,-2.4163141939647518e-8,-2.7503376582798206e-8
P_c_j_5,4.543513077393885e-8,4.5451974711716986e-8,4.649850018552855e-8
P_c_j_12,4.544273600978835e-8,4.5458224713740985e-8,4.652619133666757e-8
P_d_j_5,0.0025305953292276136,0.0026348872340010887,0.007150065220672546
P_d_j_12,0.002636303307997627,0.0027358677851130643,0.007610276728334461
B_j_5,0.02226625860628233,0.01949273627618329,0.011966396006968786
B_j_12,0.02350498705690949,0.02062516941578965,0.012614396006922253
