t,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
lambda,0.71,0.657,0.618,0.592,0.598,0.613,0.644,0.668,0.705,0.75,0.777,0.787,0.796,0.782,0.783,0.789,0.826,0.855,0.95,1.0,0.97,0.921,0.85,0.72
Irrad,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.5,0.8,0.9,1.0,1.0,0.99,0.9,0.7,0.4,0.1,0.0,0.0,0.0,0.0,0.0
cents/kWh,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,4.820404,4.820404
P_Subs,0.005454235888841424,0.005060847436379106,0.004772587761249188,0.004582077259218052,0.004630779186659917,0.004747730090253844,0.00483174190349111,0.004865582803291962,0.004998655653376879,0.005041263323278992,0.004801809286574436,0.004751969662247416,0.004712567359277178,0.004701261086326376,0.005024480597672747,0.0032414341186829585,0.004099442046591878,0.004877525650897355,0.006072107999901598,0.006569592222164476,0.006244409139907347,0.005603985509649885,0.0063299166307689185,0.005352467949854698
P_ij_1_2,0.005454235888842986,0.005060847436380785,0.004772587761250968,0.004582077259219908,0.004630779186661765,0.004747730090255659,0.0048317419034929095,0.0048655828032937685,0.0049986556533786605,0.0050412633232807865,0.004801809286576361,0.004751969662249417,0.004712567359279272,0.004701261086328578,0.005024480597674865,0.003241434118685714,0.004099442046594058,0.0048775256508991885,0.006072107999903071,0.006569592222165836,0.006244409139908777,0.005603985509651477,0.006329916630770588,0.005352467949856074
P_ij_2_3,0.004589605551443289,0.004258259962157432,0.004015448338147467,0.003854954356760463,0.003895925261961474,0.003994363609809102,0.004069174177072335,0.004101703216262819,0.004217777708645236,0.004261743742288982,0.00407220207731517,0.00403397258433563,0.004004280901528074,0.003993370533153815,0.0042596555399746295,0.0027938645996898014,0.0035023948602017924,0.0041431372067640285,0.005136306931177787,0.005551803087495792,0.005280128539608981,0.004746598396208454,0.00533156609750551,0.004508023476974023
P_ij_2_19,0.0007853158571423978,0.0007290016973525994,0.0006877486405726294,0.0006605011099577612,0.0006675145252256732,0.0006843138828369603,0.0006930374709341143,0.0006946021487066526,0.0007104077889652045,0.000709932272966038,0.0006657721287540455,0.0006556501582800076,0.0006473088270176161,0.0006471782401285313,0.0006996331756746586,0.0004064389787646799,0.0005421470453173227,0.00066589647029606,0.0008476376662293478,0.0009216106337931508,0.0008728176020501041,0.0007750447257709494,0.0009060554323497241,0.0007665331041009702
P_ij_2_34,7.931448025924716e-5,7.358577687282949e-5,6.93907825330555e-5,6.66217925039511e-5,6.733939947687453e-5,6.905259761181895e-5,6.953025548866422e-5,6.927743832650646e-5,7.047015577040169e-5,6.958730802796088e-5,6.383508050947784e-5,6.23469196361917e-5,6.097763073609024e-5,6.0712313048856346e-5,6.519188202811432e-5,4.113054023442539e-5,5.490014107753748e-5,6.849197384133115e-5,8.816340249777685e-5,9.617850087860933e-5,9.146299825148435e-5,8.234238767404341e-5,9.229510091741438e-5,7.791136878282878e-5
P_ij_3_4,0.0031766473414584105,0.002946712700317955,0.002778159511786336,0.0026666725890095123,0.00269491376957444,0.00276296972341654,0.002818071464558925,0.002843754692852529,0.002927292855487187,0.0029641516403217977,0.0028422675553387467,0.0028179537968785,0.002798818376416529,0.0027874870582605665,0.0029591959857192727,0.0020253878173042313,0.0024974647574756764,0.002926997568592638,0.003604353979822303,0.0038903602576675447,0.003706375742422862,0.0033486255227951076,0.0036989141256506698,0.003127865126976874
P_ij_3_23,0.001288272802919943,0.0011957540161335733,0.001128002397123072,0.0010832831735394582,0.0010948806917225695,0.0011225768815769498,0.0011410666680752388,0.0011478130556994025,0.0011779849534761023,0.0011854800775454285,0.001125281976421305,0.001112993439257096,0.0011036750466441206,0.001103550526189156,0.0011882797009724372,0.0007114324394067481,0.0009248518722737151,0.001115472046567083,0.0014018458899431776,0.0015195598327009496,0.001440010464465488,0.0012808711944155046,0.0014894133356123755,0.001259115185708411
P_ij_3_53,0.00012468540706849296,0.0001157932457096446,0.00010928642924195061,0.0001049985942154969,0.00010613080066845393,0.00010881700481955442,0.00011003604444208303,0.00011013546771480172,0.00011249989968581707,0.00011211202442563269,0.00010465254555916772,0.00010302534820418125,0.00010178747847169592,0.00010233294870851447,0.00011217985328724189,5.704434298388872e-5,8.007823045675721e-5,0.00010066759160820548,0.00013010706141566617,0.00014188299713047253,0.0001337423327239187,0.0001171016790013822,0.00014323863624616384,0.00012104316429202928
P_ij_4_5,0.0030773845058389066,0.0028546590278109864,0.002691393030252031,0.002583406654880474,0.002610770861643215,0.002676704268605877,0.002731201157222434,0.0027572048900846905,0.0028392541479096787,0.0028772014064673192,0.0027624977989470162,0.0027400986276708995,0.0027227317974486726,0.002711875020565877,0.0028786139686038346,0.001969723800755254,0.00242524813347558,0.0028381708989841455,0.0034910148072041986,0.0037668961628099496,0.0035884979142778353,0.0032414924976531994,0.0035829879732963863,0.003029814083585862
P_ij_4_69,9.926283562401922e-5,9.205367251170471e-5,8.676648153922099e-5,8.326593413408718e-5,8.414290793625611e-5,8.626545481563714e-5,8.687030734142648e-5,8.654980277277401e-5,8.803870758238881e-5,8.695023385936228e-5,7.976975639680987e-5,7.785516921279244e-5,7.608657897318811e-5,7.56120377001975e-5,8.05820171208368e-5,5.566401655518113e-5,7.221662400551307e-5,8.88266696133857e-5,0.00011333917262235938,0.00012346409486162322,0.000117877828149194,0.00010713302514637797,0.00011592615235895991,9.805104339521808e-5
P_ij_5_6,0.0029871749849328,0.002770948114093304,0.002612441262064739,0.002507596482479859,0.0025341469494712843,0.0025981363111324423,0.0026513788317168913,0.0026769538812834036,0.0027569301116084012,0.002794440847513924,0.0026840993865850263,0.002662614311571005,0.0026459608060727807,0.00263518730945715,0.0027963782962478465,0.0019185549604434798,0.0023593395902337115,0.002758881347601864,0.003391516979201666,0.0036590496247864038,0.003486104798156777,0.0031499338128506606,0.0034783501481469776,0.0029413941675255563
P_ij_5_82,9.02095209115587e-5,8.371091372339374e-5,7.895176819321275e-5,7.581017240668896e-5,7.662391217798426e-5,7.856795747942126e-5,7.9822325511482e-5,8.025100880722409e-5,8.232403630714798e-5,8.276055895926577e-5,7.839841236807887e-5,7.748431610611041e-5,7.677099138226508e-5,7.66877111153004e-5,8.223567236244396e-5,5.1168840319096224e-5,6.59085432483259e-5,7.928955138814913e-5,9.94978280076589e-5,0.00010784653802840458,0.00010239311612608057,9.155868480791565e-5,0.00010463782515504018,8.841991606540228e-5
P_ij_6_7,0.0016756224673001266,0.001554755890186276,0.001466191554472788,0.0014076625681744683,0.001422633972512901,0.0014585784602324972,0.0014709368183261685,0.0014678857308787065,0.001495329193067936,0.0014815125827297069,0.001367567428022905,0.0013388257865933528,0.0013133312280293452,0.001310274063992342,0.0014117938888578547,0.0008747828230222834,0.0011650531795774507,0.0014445403723756588,0.0018519828595076754,0.0020182958829469103,0.0019183694623451189,0.0017217871365900288,0.0019450114393996308,0.0016444235008190073
