t,1,2,3
lambda,0.777,0.787,0.796
Irrad,0.8,0.9,1.0
cents/kWh,4.820404,4.820404,30.18066
P_Subs,0.0039950957801544555,0.0038917567348199025,0.0020162652696268145
P_ij_1_2,0.003995095780154603,0.0038917567348200448,0.0020162652696270648
P_ij_2_3,0.0034099181852490184,0.003327484944012469,0.0017899399137651587
P_ij_2_19,0.0005326906483704532,0.0005140744391982265,0.00020326413024390663
P_ij_2_34,5.248694653530135e-5,5.0197351609513756e-5,2.3061225618272937e-5
P_ij_3_4,0.002418592427712691,0.0023659656351708667,0.001381841457300742
P_ij_3_23,0.0009111445649656333,0.0008845929992935739,0.0003881808692396231
P_ij_3_53,8.018119257096124e-5,7.692630954828825e-5,1.9917587225170883e-5
P_ij_4_5,0.002350688624012949,0.0023007667258921616,0.0013454811615868601
P_ij_4_69,6.790380370006805e-5,6.519890927902307e-5,3.6360295714322405e-5
P_ij_5_6,0.002286310898107205,0.00223826813494769,0.001315620843512855
P_ij_5_82,6.437772590612759e-5,6.249859094484674e-5,2.9860318074508378e-5
P_ij_6_7,0.0011197105962461628,0.0010744271903413041,0.0004844229006697106
P_ij_6_26,0.0011054686851620337,0.0011067870163099089,0.0008144541960297544
P_ij_6_95,6.113161669951052e-5,5.705392829696811e-5,1.6743746814020773e-5
P_ij_7_8,0.0009896652240106274,0.0009480711132643277,0.0004130572886477002
P_ij_7_108,7.776585859722522e-5,7.591778236175406e-5,4.6665272665450095e-5
P_ij_7_127,5.227951363882701e-5,5.04382947157281e-5,2.4700339357207517e-5
P_ij_8_9,0.0008690752705194781,0.0008320322680569719,0.00036218050083226317
P_ij_8_146,6.122041518524236e-5,5.900631448821121e-5,2.9695703530780646e-5
P_ij_8_165,5.9369538306475215e-5,5.703253071970104e-5,2.1181084285360452e-5
P_ij_9_10,0.0008036101021775097,0.0007685992300081644,0.00032444773204740724
P_ij_9_184,6.54651683426036e-5,6.343303804942983e-5,3.773276878563446e-5
P_ij_10_11,0.0007043401343479743,0.0006716728828975102,0.0002729164472132724
P_ij_10_197,9.926996783023097e-5,9.692634711133597e-5,5.15312848349807e-5
P_ij_11_12,0.0006275569842840897,0.0005961383071703813,0.0002313901895301008
P_ij_11_210,7.678315006459012e-5,7.553457572782055e-5,4.152625768402868e-5
P_ij_12_13,0.0005487176589430814,0.000523272772214534,0.00023374746112693858
P_ij_12_220,7.883932534173039e-5,7.286553495655529e-5,-2.3572715959620675e-6
