Total loading: 50000.0 kW, 37500.0 kVAr
Substation voltages (pu): grid1=1.07, grid2=1.07
Substation BasekV: grid1=11.5470, grid2=11.5470
delta  | PSubs1 [kW]  | PSubs2 [kW]  | QSubs1 [kVAr] | QSubs2 [kVAr]
--------------------------------------------------------------------
-10.0  | -111097.19   | 170886.48    | 109388.77    | -69928.60   
-5.0   | -44422.26    | 97120.57     | 64022.41     | -25982.91   
-2.0   | -2982.79     | 53696.05     | 36842.94     | 801.97      
-1.5   | 4015.26      | 46528.31     | 32320.92     | 5287.74     
-1.0   | 11040.58     | 39384.45     | 27804.09     | 9780.82     
-0.5   | 18090.70     | 32263.18     | 23291.32     | 14279.33    
-0.5   | 18090.52     | 32263.01     | 23291.16     | 14279.17    
-0.4   | 19503.51     | 30841.55     | 22389.15     | 15179.53    
-0.3   | 20917.43     | 29420.99     | 21487.29     | 16080.06    
-0.2   | 22332.31     | 28001.37     | 20585.62     | 16980.78    
-0.1   | 23748.15     | 26582.68     | 19684.12     | 17881.70    
0.0    | 25164.94     | 25164.94     | 18782.82     | 18782.82    
0.1    | 26582.68     | 23748.15     | 17881.70     | 19684.12    
0.2    | 28001.36     | 22332.31     | 16980.78     | 20585.61    
0.3    | 29420.99     | 20917.42     | 16080.05     | 21487.29    
0.4    | 30841.54     | 19503.50     | 15179.52     | 22389.14    
0.5    | 32263.03     | 18090.54     | 14279.19     | 23291.18    
0.6    | 33685.44     | 16678.55     | 13379.06     | 24193.39    
1.1    | 40811.29     | 9633.37      | 8881.65      | 28707.04    
1.6    | 47959.53     | 2613.01      | 4389.65      | 33224.58    
5.0    | 97119.80     | -44423.08    | -25983.25    | 64022.07    
10.0   | 170883.99    | -111100.13   | -69930.61    | 109386.89   
Optimal | 28571.43     | 21428.57     | 12984.81     | 24515.19    
