iteration,objective,r_norm,s_norm,rho,eff_time_this_k,cum_eff_time,max_sp_time_this_k,mean_ipopt_iters_this_k
1,360118.486376,1.3524302237e+00,1.5098470190e+04,30000.00,279.6050,279.6050,279.6050,50.00
2,3450275.228506,2.4005341391e-01,4.7243360733e+03,30000.00,262.4920,542.0970,262.4920,45.75
3,3310770.586708,2.1577897566e-01,3.7383041897e+03,30000.00,131.9780,674.0750,131.9780,19.02
4,3090886.205722,2.0766868560e-01,2.4594765229e+03,30000.00,134.3320,808.4070,134.3320,18.65
5,3051536.039933,2.0150676042e-01,1.7117842947e+03,30000.00,112.4200,920.8270,112.4200,17.92
6,3070416.916399,1.6227626977e-01,3.4451976033e+03,60000.00,124.2640,1045.0910,124.2640,17.71
7,3064319.929828,1.1242964123e-01,3.0526158621e+03,60000.00,122.5240,1167.6150,122.5240,17.17
8,3061243.004900,4.2985715425e-02,1.1021794545e+03,60000.00,114.8990,1282.5140,114.8990,17.75
9,3086328.529805,1.5646275790e-02,6.9034276607e+02,60000.00,114.5920,1397.1060,114.5920,18.10
10,3092020.864809,1.3763130832e-02,3.6656257243e+02,60000.00,114.5000,1511.6060,114.5000,16.46
11,3098271.088790,1.0402590933e-02,5.5237177595e+02,120000.00,102.1130,1613.7190,102.1130,15.54
12,3197610.847374,4.9568606318e-02,3.9199664918e+03,120000.00,103.0300,1716.7490,103.0300,13.77
13,3119699.003264,3.2902026019e-02,8.3686655021e+02,120000.00,81.2160,1797.9650,81.2160,11.10
14,3126145.126264,1.0430155050e-02,7.9979546469e+01,120000.00,79.6730,1877.6380,79.6730,10.29
15,3126398.252959,8.4275975446e-04,1.4299373041e+01,120000.00,73.2410,1950.8790,73.2410,9.88
16,3126520.545628,7.6507254131e-04,1.0857356738e+01,24000.00,151.9460,2102.8250,151.9460,10.04
17,3126085.651422,7.5889824363e-04,1.0331124338e+01,24000.00,126.4020,2229.2270,126.4020,9.35
18,3125653.452426,7.5335641874e-04,1.0442957255e+01,24000.00,90.3580,2319.5850,90.3580,9.23
19,3125233.129456,6.1131874071e-04,1.0305930044e+01,24000.00,73.7920,2393.3770,73.7920,9.10
20,3124811.829066,5.3275537213e-04,1.0282766401e+01,24000.00,148.9420,2542.3190,148.9420,9.25
21,3122620.561915,5.3258211059e-04,1.0282517124e+01,4800.00,70.8360,2613.1550,70.8360,9.77
22,3120429.166470,5.3256362669e-04,1.0282104988e+01,4800.00,79.7570,2692.9120,79.7570,9.44
23,3118238.410055,5.3256796073e-04,1.0281707283e+01,4800.00,68.7470,2761.6590,68.7470,9.62
24,3116266.186340,5.3256283584e-04,9.4836014585e+00,4800.00,68.3090,2829.9680,68.3090,9.54
25,3115004.365992,5.3256136068e-04,7.3959593020e+00,4800.00,66.1960,2896.1640,66.1960,9.79
26,3112389.822613,5.3256729434e-04,4.1860760695e+00,960.00,72.7520,2968.9160,72.7520,10.96
27,3111779.858013,5.3256322419e-04,1.9571158971e+00,960.00,75.1290,3044.0450,75.1290,11.25
28,3111234.099624,5.3256127385e-04,1.9173939934e+00,960.00,75.9270,3119.9720,75.9270,10.85
29,3110689.055783,5.3256142562e-04,1.9163430500e+00,960.00,71.9380,3191.9100,71.9380,11.02
30,3110144.575931,5.3256150518e-04,1.9153778311e+00,960.00,76.6810,3268.5910,76.6810,11.15
31,3107642.050954,5.4022102979e-04,1.8955301292e+00,192.00,97.0290,3365.6200,97.0290,16.25
32,3105258.772075,6.0887677371e-04,1.8679261606e+00,192.00,97.8430,3463.4630,97.8430,16.12
33,3102459.087518,6.3286829792e-04,1.8476791828e+00,192.00,93.5710,3557.0340,93.5710,15.21
34,3099794.458739,6.3006954206e-04,1.8359778939e+00,192.00,99.5220,3656.5560,99.5220,14.96
35,3097253.512465,6.0878461020e-04,1.8309154787e+00,192.00,104.6760,3761.2320,104.6760,14.62
36,3085143.652701,1.4171710464e-03,1.8100729128e+00,38.40,101.1500,3862.3820,101.1500,17.79
37,3073580.796965,1.5100439082e-03,1.7930931480e+00,38.40,124.4020,3986.7840,124.4020,18.15
38,3065481.298576,2.3927720364e-03,1.7484632189e+00,38.40,184.4830,4171.2670,184.4830,18.19
39,3047900.446706,4.4470836655e-03,1.6920950378e+00,38.40,124.9450,4296.2120,124.9450,18.73
40,3031790.799028,6.5488227473e-03,1.6178847265e+00,38.40,121.0530,4417.2650,121.0530,18.90
